match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_challengeLost,stat_interceptionWon,stat_totalOffside,stat_shotOffTarget,stat_hitWoodwork,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_accurateCross,stat_totalContest,stat_wonContest,stat_wasFouled,stat_bigChanceCreated,stat_goals,stat_dispossessed,stat_blockedScoringAttempt,stat_goodHighClaim,stat_totalKeeperSweeper,player_sofascoreId
12117303,home,Juventude,Gabriel Vasconcelos,gabriel-vasconcelos,G. Vasconcelos,G,1,193,501,M,147467,EUR,717552000,G,1,1,False,24.0,18.0,11.0,5.0,0.0,14.0,16.0,4.0,8.0,1.0,6.0,1.0,2.0,1.0,90.0,29.0,6.9,6.0,0.00124788,1.0,0,0.1166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117303,home,Juventude,João Lucas,joao-lucas,J. Lucas,D,2,181,682,M,981019,EUR,889401600,D,2,2,False,37.0,31.0,6.0,3.0,0.0,13.0,13.0,18.0,28.0,2.0,3.0,,,,90.0,55.0,6.7,12.0,0.0230643,1.0,1,,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.144,0.0877,,,,,,,,,,,,,,,,,,,,,,,
12117303,home,Juventude,Rodrigo Sam,rodrigo-sam,R. Sam,D,34,185,108,M,794640,EUR,806544000,D,34,34,False,23.0,22.0,1.0,1.0,0.0,21.0,21.0,1.0,2.0,2.0,2.0,,,,45.0,29.0,6.5,1.0,0.00057171,,0,,,,1.0,1.0,1.0,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
12117303,home,Juventude,Danilo Boza,danilo-boza,D. Boza,D,3,184,230,M,924226,EUR,894412800,D,4,4,False,52.0,48.0,2.0,1.0,0.0,35.0,36.0,13.0,16.0,2.0,4.0,,,,90.0,64.0,7.1,7.0,0.00434607,,2,,,2.0,5.0,3.0,7.0,,,,0.0748,,,,1.0,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,
12117303,home,Juventude,Lucas Freitas,lucas-freitas,L. Freitas,D,43,184,1198,M,1069729,EUR,979948800,D,43,43,False,38.0,26.0,5.0,2.0,0.0,17.0,22.0,9.0,18.0,2.0,7.0,,,,90.0,53.0,6.9,17.0,0.00558828,,1,,2.0,2.0,1.0,4.0,3.0,,,1.0,0.029,,,,1.0,,,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,
12117303,home,Juventude,Jádson,jadson,Jádson,M,16,171,454,M,243651,EUR,746668800,M,16,16,False,33.0,25.0,3.0,2.0,0.0,6.0,8.0,21.0,31.0,,6.0,,,,90.0,53.0,7.6,14.0,0.210181,5.0,1,,6.0,,2.0,4.0,5.0,,1.0,,0.0377,0.1145,,,2.0,2.0,,,,,2.0,2.0,,True,2.0,3.0,1.0,1.0,,,,,,,
12117303,home,Juventude,Ronaldo,ronaldo,Ronaldo,M,16,175,619,M,824152,EUR,846028800,M,96,96,False,29.0,24.0,2.0,2.0,1.0,11.0,11.0,13.0,18.0,2.0,4.0,,,,90.0,38.0,7.4,7.0,0.292456,1.0,0,,,1.0,1.0,4.0,5.0,,,3.0,,,,,,,,,,,3.0,1.0,2.0,,,1.0,1.0,,1.0,,,,,,
12117303,home,Juventude,Lucas Barbosa,lucas-barbosa,L. Barbosa,M,21,193,762,M,1067641,EUR,982800000,M,21,21,False,19.0,12.0,4.0,2.0,0.0,5.0,8.0,7.0,12.0,,2.0,,,,83.0,34.0,7.5,14.0,0.00734214,,6,,1.0,1.0,2.0,6.0,2.0,,4.0,1.0,0.3088,0.888,Lucas Barbosa,,2.0,,,2.0,1.0,,,,3.0,,,2.0,,,,1.0,,,,,
12117303,home,Juventude,Luis Mandaca,luis-mandaca,L. Mandaca,M,44,178,388,M,1116677,EUR,1001980800,M,44,44,False,7.0,4.0,,,0.0,2.0,2.0,2.0,6.0,1.0,2.0,,,,45.0,19.0,6.8,8.0,0.00204305,,2,,1.0,,,3.0,2.0,,1.0,1.0,0.1608,0.0877,Luis Mandaca,,,1.0,,1.0,,,1.0,1.0,2.0,,,1.0,,1.0,,,1.0,,,,
12117303,home,Juventude,Edson Carioca,edson-carioca,E. Carioca,F,95,180,201,M,1048612,EUR,896918400,M,17,17,False,12.0,10.0,1.0,1.0,0.0,,,10.0,13.0,,3.0,,,,66.0,37.0,6.5,10.0,0.089057,,1,,1.0,,,7.0,6.0,1.0,,1.0,0.2269,,,,2.0,1.0,1.0,,,,1.0,,,,,4.0,2.0,3.0,,,2.0,1.0,,,
