match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,captain,stat_outfielderBlock,stat_interceptionWon,player_firstName,player_lastName,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_errorLeadToAShot,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_bigChanceMissed
13473426,home,Ceará,Fernando Miguel,fernando-miguel,F. Miguel,G,16,191,318,M,358418,EUR,476150400,G,16,16,False,38.0,21.0,27.0,10.0,0.0,12.0,13.0,9.0,25.0,1.0,8.0,1.0,1.0,4.0,90.0,46.0,7.8,17.0,0.0097534,0,1.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13473426,home,Ceará,Fabiano Souza,fabiano-silva,F. Souza,D,70,175,374,M,1130513,EUR,952992000,D,70,70,False,37.0,28.0,7.0,4.0,0.0,16.0,19.0,12.0,18.0,7.0,3.0,3.0,,,90.0,75.0,7.4,20.0,0.0664915,1,,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,6.0,2.0,2.0,1.0,1.0,0.0142,1.0,,,,,,,,,,,,,,,,,
13473426,home,Ceará,Marllon,marllon,Marllon,D,3,184,365,M,221206,EUR,703382400,D,3,3,False,52.0,47.0,4.0,1.0,0.0,27.0,28.0,20.0,24.0,3.0,3.0,1.0,,,90.0,66.0,7.3,7.0,0.00808918,0,,,,,1.0,,,,,7.0,1.0,,2.0,,,,True,1.0,1.0,,,,,,,,,,,,,,
13473426,home,Ceará,Willian Machado,willian-machado,W. Machado,D,23,185,452,M,925871,EUR,847843200,D,23,23,False,39.0,37.0,3.0,2.0,0.0,32.0,33.0,5.0,6.0,7.0,1.0,2.0,,,90.0,51.0,7.2,3.0,0.00122102,0,,,,,3.0,,,,,7.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
13473426,home,Ceará,Matheus Bahia,matheus-bahia,M. Bahia,D,79,181,700,M,1047204,EUR,934329600,D,79,79,False,26.0,20.0,2.0,,0.0,17.0,19.0,3.0,7.0,3.0,4.0,1.0,,,90.0,37.0,7.2,7.0,0.0139791,0,,2.0,1.0,,,1.0,,,,2.0,2.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,
13473426,home,Ceará,Lourenço,lourenco,Lourenço,M,97,169,376,M,879871,EUR,873590400,M,97,97,False,34.0,29.0,4.0,2.0,0.0,16.0,17.0,13.0,17.0,4.0,5.0,1.0,,,77.0,46.0,6.6,7.0,0.00352109,1,,,,1.0,2.0,6.0,,,,5.0,1.0,,1.0,4.0,0.0446,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,
13473426,home,Ceará,Dieguinho,dieguinho,Dieguinho,M,20,175,466,M,1016930,EUR,815097600,M,20,20,False,35.0,31.0,3.0,2.0,1.0,20.0,20.0,11.0,15.0,9.0,5.0,1.0,,,90.0,56.0,7.9,7.0,0.253797,1,,,,1.0,1.0,3.0,5.0,4.0,,2.0,3.0,,2.0,1.0,0.0193,2.0,,,1.0,,,1.0,,,1.0,1.0,0.0107,,,,,,
13473426,home,Ceará,Antonio Galeano,antonio-galeano,Galeano,M,27,169,1101,M,883207,EUR,953683200,M,27,27,False,10.0,8.0,1.0,,0.0,4.0,6.0,4.0,4.0,2.0,3.0,1.0,,,85.0,25.0,7.1,10.0,0.00890763,1,,4.0,,4.0,,5.0,1.0,,,,1.0,,3.0,,0.285,,,,1.0,,,,,,,1.0,0.4424,1.0,,,,,
13473426,home,Ceará,Lucas Mugni,lucas-mugni,L. Mugni,M,10,184,605,M,249881,EUR,695174400,M,10,10,False,19.0,14.0,2.0,2.0,0.0,6.0,8.0,8.0,11.0,4.0,1.0,,,,77.0,37.0,7.6,14.0,0.0121936,1,,4.0,,1.0,,3.0,2.0,1.0,,1.0,3.0,2.0,3.0,,0.0738,,,,,,,,1.0,,,1.0,0.4254,1.0,1.0,1.0,,,
13473426,home,Ceará,Pedro Henrique,pedro-henrique,P. Henrique,M,7,179,1742,M,219190,EUR,645580800,M,7,7,False,11.0,7.0,2.0,2.0,0.0,5.0,7.0,2.0,4.0,4.0,2.0,,,,71.0,19.0,6.5,7.0,0.00105306,2,,,,,1.0,3.0,2.0,,1.0,,3.0,2.0,1.0,1.0,0.0489,,,,,,,,,1.0,,,,,1.0,1.0,,,
