match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_onTargetScoringAttempt,stat_fouls,stat_shotOffTarget,stat_goals,stat_errorLeadToAGoal,captain,stat_dispossessed,stat_outfielderBlock,stat_goalAssist,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_bigChanceMissed,stat_hitWoodwork,stat_bigChanceCreated
10408573,home,Valencia,Giorgi Mamardashvili,giorgi-mamardashvili,G. Mamardashvili,G,25,200,17187,M,mamardashvili,930997,EUR,970185600,G,25,25,False,25.0,12.0,22.0,9.0,5.0,7.0,7.0,18.0,4.0,1.0,1.0,1.0,90.0,27.0,6.3,14.0,0.0,0.0,0.00124857,0,-0.3171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408573,home,Valencia,Dimitri Foulquier,dimitri-foulquier,D. Foulquier,D,20,183,461,M,,151138,EUR,732844800,D,20,20,False,39.0,29.0,7.0,3.0,15.0,18.0,16.0,25.0,8.0,,,,90.0,65.0,6.9,15.0,0.0643,0.0,0.14519,1,,,,4.0,2.0,1.0,1.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,
10408573,home,Valencia,Gabriel Paulista,gabriel-paulista,G. Paulista,D,3,187,5224,M,,124737,EUR,659577600,D,5,5,False,27.0,22.0,3.0,2.0,14.0,16.0,8.0,11.0,4.0,,,,90.0,41.0,6.9,7.0,0.054,0.0614,0.00617344,1,,,,,,2.0,3.0,4.0,5.0,1.0,,,,4.0,2.0,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,
10408573,home,Valencia,Mouctar Diakhaby,mouctar-diakhaby,M. Diakhaby,D,4,192,4026,M,mouctar_dkh,797306,EUR,850953600,D,12,12,False,35.0,21.0,3.0,,16.0,20.0,5.0,15.0,4.0,,,,90.0,47.0,7.0,14.0,0.1461,0.4544,0.00192058,4,,,,,,,2.0,,4.0,,,,,3.0,,2.0,1.0,,,,2.0,,2.0,1.0,1.0,,,,,,,,,,
10408573,home,Valencia,Cenk Özkaçar,cenk-ozkacar,C. Özkaçar,D,39,190,733,M,,953097,EUR,970790400,D,15,15,False,20.0,14.0,3.0,1.0,7.0,11.0,8.0,10.0,6.0,,,,45.0,29.0,6.8,7.0,0.0202,0.0,0.053344,1,,,,1.0,1.0,,,1.0,4.0,,,,,1.0,,2.0,1.0,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,
10408573,home,Valencia,José Luis Gayà,jose-luis-gaya,J. L. Gayà,D,14,172,1685,M,,227922,EUR,801360000,D,14,14,False,38.0,31.0,5.0,1.0,11.0,13.0,22.0,35.0,6.0,,,,90.0,79.0,6.6,20.0,0.035,0.0,0.101989,1,,,,10.0,2.0,1.0,,7.0,4.0,2.0,3.0,2.0,,,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,,,True,2.0,,,,,,,,
10408573,home,Valencia,Yunus Musah,yunus-musah,Y. Musah,M,6,178,4211,M,yunusmusah8,983815,EUR,1038528000,M,4,4,False,11.0,7.0,1.0,,2.0,2.0,6.0,12.0,2.0,,,,84.0,32.0,7.0,10.0,0.1358,0.0256,0.00628119,2,,,,3.0,1.0,2.0,1.0,7.0,8.0,,2.0,2.0,1.0,1.0,,2.0,2.0,4.0,3.0,,1.0,6.0,,,,,,,,,,,,,
10408573,home,Valencia,Nico González,nico-gonzalez,N. González,M,14,186,19859,M,nico14,954056,EUR,1010016000,M,17,17,False,27.0,24.0,1.0,,8.0,8.0,16.0,20.0,3.0,,,,84.0,39.0,7.0,6.0,0.0479,0.0,0.0162149,1,,,,1.0,,,,4.0,3.0,,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,,2.0,,3.0,,,,,1.0,3.0,,,,,,,
10408573,home,Valencia,André Almeida,andre-almeida,A. Almeida,M,10,176,1200,M,,845693,EUR,959644800,M,18,18,False,52.0,48.0,8.0,7.0,17.0,18.0,35.0,43.0,9.0,,,,89.0,77.0,7.3,14.0,0.0242,0.0,0.144118,1,,,,9.0,4.0,1.0,1.0,8.0,4.0,1.0,2.0,1.0,,2.0,,2.0,2.0,,,3.0,,1.0,1.0,,,,4.0,,1.0,,,,,,
10408573,home,Valencia,Samuel Lino,samuel-lino,S. Lino,M,16,178,22125,M,osamuellino,874705,EUR,945907200,M,16,16,False,37.0,29.0,2.0,1.0,3.0,4.0,29.0,37.0,6.0,,,,89.0,64.0,6.7,16.0,0.1731,0.0,0.166548,4,,,,4.0,3.0,3.0,1.0,10.0,7.0,1.0,2.0,1.0,1.0,1.0,,1.0,,2.0,4.0,1.0,,1.0,3.0,,,,4.0,,,1.0,,,,,
