match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_possessionLostCtrl,stat_keyPass,stat_totalLongBalls,stat_accurateLongBalls,stat_challengeLost,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_outfielderBlock,captain,stat_crossNotClaimed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_errorLeadToAShot,stat_clearanceOffLine
14429144,home,Al-Hilal,Bono,,,bono,Bono,G,37,195.0,54623,M,BonoY,360938,EUR,670809600,G,37,37,False,10.0,10.0,0.0,10.0,10.0,2.0,1.0,90.0,11.0,6.2,9.616e-05,0.0463,0,-0.3082,0.02,0.01,-0.1,-0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14429144,home,Al-Hilal,Hamad Al Yami,Hamad,Al Yami,hamad-al-yami,H. A. Yami,D,88,170.0,585,M,,981158,EUR,926899200,D,88,88,False,45.0,40.0,0.0,14.0,14.0,6.0,,89.0,66.0,6.2,0.0942561,,0,,-0.08,0.12,-0.15,,26.0,31.0,4.0,2.0,5.0,1.0,7.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14429144,home,Al-Hilal,Kalidou Koulibaly,,,kalidou-koulibaly,K. Koulibaly,D,3,187.0,26133,M,kkoulibaly26,126071,EUR,677376000,D,3,3,False,53.0,50.0,1.0,17.0,18.0,4.0,,89.0,63.0,7.2,0.112076,,1,,0.53,0.23,-0.18,,33.0,35.0,,,4.0,,6.0,3.0,,,,2.0,3.0,2.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.7122,0.05,,,,,,,,,,,,,
14429144,home,Al-Hilal,Hassan Al Tambakti,,,hassan-al-tambakti,H. A. Tambakti,D,87,182.0,1188,M,,881837,EUR,918518400,D,87,87,False,62.0,60.0,0.0,15.0,15.0,3.0,,90.0,74.0,7.0,0.0307339,,0,,0.37,0.28,-0.13,,45.0,47.0,,,1.0,,2.0,1.0,,1.0,1.0,8.0,,,,3.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
14429144,home,Al-Hilal,Theo Hernández,,,theo-hernandez,T. Hernández,D,19,184.0,26472,M,TheoHdez,788027,EUR,876096000,D,19,19,False,55.0,54.0,0.0,14.0,14.0,2.0,,90.0,72.0,8.6,0.386782,,1,,0.5,-0.02,-0.19,,40.0,41.0,6.0,,,1.0,1.0,4.0,1.0,1.0,1.0,,,,,9.0,,2.0,2.0,,,,,2.0,,,0.0441,0.56,1.0,1.0,2.0,0.4534,,,,,,,,,
14429144,home,Al-Hilal,Nasser Al-Dawsari,,,nasser-al-dawsari,N. Al-Dawsari,M,16,178.0,1153,M,,872607,EUR,914025600,M,16,16,False,45.0,40.0,0.0,12.0,14.0,2.0,,89.0,57.0,6.9,0.296939,,2,,0.46,0.05,-0.11,,28.0,31.0,2.0,1.0,1.0,2.0,5.0,3.0,,,,2.0,,,,6.0,1.0,1.0,1.0,2.0,,,2.0,1.0,2.0,,0.1451,-0.22,,,1.0,,,,,,,,,,
14429144,home,Al-Hilal,Rúben Neves,,,ruben-neves,R. Neves,M,8,181.0,15472,M,rubenneves,280955,EUR,858211200,M,8,8,False,106.0,98.0,0.0,15.0,16.0,9.0,,90.0,132.0,7.6,0.134439,,3,,0.45,0.38,-0.06,,83.0,90.0,17.0,1.0,,1.0,1.0,2.0,,1.0,,,,,,25.0,1.0,7.0,5.0,,,,2.0,,,,0.1059,-0.01,,,1.0,,1.0,,,,,,,,
14429144,home,Al-Hilal,Kaio César,Kaio César,,kaio-cesar,Kaio César,M,37,168.0,5030,M,,1396009,EUR,1076803200,M,11,11,False,29.0,25.0,1.0,3.0,3.0,4.0,,83.0,49.0,6.9,0.130126,,1,,0.19,0.47,-0.06,,22.0,26.0,5.0,,,,2.0,6.0,,4.0,4.0,,1.0,,3.0,13.0,3.0,1.0,1.0,,,1.0,,1.0,2.0,,0.5143,-0.72,1.0,,1.0,,,1.0,,,,,,,
14429144,home,Al-Hilal,Sergej Milinković-Savić,,,sergej-milinkovic-savic,S. Milinković-Savić,M,22,191.0,13384,M,sms,331447,EUR,793843200,M,22,22,False,62.0,47.0,0.0,7.0,8.0,2.0,,90.0,87.0,7.3,0.30387,,4,,-0.03,0.32,-0.14,,40.0,54.0,4.0,,1.0,1.0,6.0,6.0,2.0,,,2.0,4.0,3.0,3.0,25.0,2.0,5.0,4.0,1.0,1.0,,1.0,1.0,2.0,,0.241,0.37,3.0,,1.0,0.6785,,,,,,,,,
14429144,home,Al-Hilal,Salem Al-Dawsari,,,salem-al-dawsari,S. Al-Dawsari,M,29,171.0,11126,M,29salem,160893,EUR,682560000,M,29,29,False,42.0,35.0,0.0,1.0,1.0,5.0,,90.0,61.0,6.8,0.664093,,1,,0.67,-0.24,-0.08,,34.0,41.0,3.0,1.0,1.0,,6.0,3.0,,3.0,1.0,1.0,,,5.0,16.0,3.0,,,1.0,1.0,,,,2.0,,0.0555,0.0,,,2.0,,1.0,,True,,,,,,
