match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_expectedGoals,stat_keyPass,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_bigChanceCreated,captain,stat_penaltyWon,stat_bigChanceMissed,stat_goalAssist,stat_penaltyFaced,stat_penaltyConceded,stat_totalOffside
11396290,home,SC Freiburg,Noah Atubolu,noah-atubolu,N. Atubolu,G,1,190,1842,M,980626,EUR,1022284800,G,1,1,False,47.0,34.0,22.0,9.0,29.0,31.0,5.0,16.0,1.0,8.0,2.0,2.0,2.0,2.0,90.0,54.0,6.5,13.0,0.0550612,0,-0.7951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396290,home,SC Freiburg,Lukas Kübler,lukas-kubler,L. Kübler,D,17,183,237,M,142525,EUR,715132800,D,17,17,False,71.0,60.0,8.0,5.0,33.0,34.0,27.0,37.0,2.0,5.0,,,,,90.0,93.0,6.6,11.0,0.0366284,0,,1.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11396290,home,SC Freiburg,Yannik Keitel,yannik-keitel,Y. Keitel,M,14,186,246,M,877842,EUR,950572800,D,14,14,False,74.0,61.0,14.0,5.0,42.0,45.0,19.0,29.0,,7.0,,,,,77.0,78.0,6.3,14.0,0.0290397,0,,,1.0,1.0,4.0,1.0,,,,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11396290,home,SC Freiburg,Manuel Gulde,manuel-gulde,M. Gulde,D,,184,63,M,71952,EUR,666316800,D,5,5,False,72.0,64.0,5.0,2.0,48.0,49.0,16.0,23.0,1.0,6.0,,,,,90.0,78.0,6.5,9.0,0.0188142,1,,,3.0,,4.0,,,,,1.0,,,,1.0,,,1.0,0.0622,1.0,,,,,,,,,,,,,,,,,,
11396290,home,SC Freiburg,Ritsu Doan,ritsu-doan,R. Doan,M,20,172,5674,M,790965,EUR,897955200,M,42,42,False,36.0,26.0,,,10.0,12.0,17.0,26.0,,3.0,,,,,90.0,62.0,6.7,25.0,0.0392922,1,,2.0,,10.0,4.0,,,,1.0,1.0,1.0,1.0,1.0,7.0,,,,0.2865,1.0,doanritsu,2.0,1.0,3.0,6.0,2.0,1.0,1.0,0.6774,,,,,,,,,
11396290,home,SC Freiburg,Maximilian Eggestein,maximilian-eggestein,M. Eggestein,M,8,181,429,M,569784,EUR,850003200,M,8,8,False,45.0,34.0,1.0,1.0,11.0,14.0,23.0,31.0,,4.0,,,,,90.0,55.0,7.3,14.0,0.106341,2,,,5.0,1.0,7.0,,,,,1.0,,,,1.0,,,1.0,0.0647,1.0,,,,,2.0,1.0,,,,1.0,,,,,,,,
11396290,home,SC Freiburg,Nicolas Höfler,nicolas-hofler,N. Höfler,M,27,181,162,M,49639,EUR,636940800,M,27,27,False,72.0,61.0,6.0,3.0,36.0,41.0,25.0,32.0,,8.0,,,,,90.0,82.0,6.3,16.0,0.031099,0,,,2.0,5.0,5.0,1.0,,,,1.0,1.0,2.0,,1.0,,,,,,,1.0,,3.0,,,,,,,,,,,,,,
11396290,home,SC Freiburg,Jordy Makengo,makengo-jordy,J. Makengo,D,33,191,319,M,1131339,EUR,996710400,M,33,33,False,17.0,15.0,1.0,,6.0,8.0,9.0,11.0,1.0,5.0,,,,,77.0,34.0,6.2,8.0,0.0238124,0,,1.0,1.0,4.0,3.0,,,,,1.0,1.0,,,2.0,,,,,,,2.0,,,3.0,1.0,,,,,,,,,,,,
11396290,home,SC Freiburg,Roland Sallai,roland-sallai,R. Sallai,F,7,182,8489,M,355088,EUR,864259200,F,22,22,False,19.0,16.0,,,6.0,6.0,12.0,16.0,,,,,,,88.0,31.0,6.7,8.0,0.218888,3,,6.0,,11.0,1.0,,,,,1.0,3.0,,,2.0,,,2.0,0.187,1.0,rolandsallai,3.0,2.0,1.0,1.0,,1.0,,0.1584,,1.0,,,,,,,
11396290,home,SC Freiburg,Vincenzo Grifo,vincenzo-grifo,V. Grifo,M,32,181,2068,M,171961,EUR,734140800,F,32,32,False,33.0,29.0,5.0,3.0,13.0,13.0,18.0,30.0,,2.0,,,,,82.0,48.0,7.4,14.0,0.0845938,1,,1.0,,2.0,2.0,,,,,,,1.0,1.0,1.0,,,,0.7884,1.0,,10.0,2.0,,2.0,1.0,1.0,1.0,0.9824,,,True,,,,,,
11396290,home,SC Freiburg,Lucas Höler,lucas-holer,L. Höler,F,9,184,586,M,280009,EUR,773798400,F,9,9,False,18.0,9.0,1.0,,1.0,2.0,9.0,17.0,,1.0,,,,,77.0,27.0,7.6,11.0,0.115927,1,,2.0,4.0,2.0,7.0,,,,1.0,2.0,,1.0,1.0,2.0,,,,0.1422,2.0,,1.0,1.0,,,,1.0,,0.1574,,,,1.0,,,,,
11396290,home,SC Freiburg,Kiliann Sildillia,kiliann-sildillia,K. Sildillia,D,25,186,666,M,1014222,EUR,1021507200,D,25,25,True,23.0,21.0,3.0,1.0,16.0,17.0,5.0,6.0,1.0,,,,,,13.0,30.0,6.6,4.0,0.00207892,0,,,,2.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,
11396290,home,SC Freiburg,Michael Gregoritsch,michael-gregoritsch,M. Gregoritsch,F,38,193,1525,M,111483,EUR,766627200,F,38,38,True,8.0,4.0,,,2.0,3.0,2.0,5.0,,1.0,,,,,13.0,12.0,7.0,4.0,0.0135104,3,,1.0,2.0,1.0,3.0,,,,,,,,,,,,,0.7205,,,,,,1.0,1.0,3.0,1.0,0.9869,,,,,2.0,,,,
