match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,player_sofascoreId,stat_blockedScoringAttempt,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_keyPass,stat_shotOffTarget,stat_goals,stat_wasFouled,captain,stat_goalAssist,stat_savedShotsFromInsideTheBox,stat_saves,stat_errorLeadToAShot
10388504,home,VfL Wolfsburg,Koen Casteels,koen-casteels,K. Casteels,G,1,197,1416,M,70987,EUR,709430400,G,1,1,False,45.0,40.0,12.0,7.0,37.0,38.0,3.0,7.0,5.0,1.0,90.0,47.0,5.4,5.0,0.0,0.0,0.00062938,0,-3.1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388504,home,VfL Wolfsburg,Maxence Lacroix,maxence-lacroix,M. Lacroix,D,5,192,6983,M,879674,EUR,954979200,D,4,4,False,11.0,6.0,3.0,1.0,5.0,5.0,1.0,6.0,2.0,,30.0,14.0,6.0,5.0,0.0,0.0,0.00071362,0,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388504,home,VfL Wolfsburg,Sebastiaan Bornauw,sebastiaan-bornauw,S. Bornauw,D,23,190,839,M,826167,EUR,922060800,D,3,3,False,87.0,80.0,7.0,6.0,41.0,44.0,39.0,43.0,5.0,,90.0,97.0,6.7,8.0,0.0,0.0,0.0289785,0,,3.0,1.0,4.0,4.0,,1.0,,3.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10388504,home,VfL Wolfsburg,Micky van de Ven,micky-van-de-ven,M. van de Ven,D,37,193,12555,M,998247,EUR,987638400,D,5,5,False,83.0,81.0,4.0,4.0,43.0,44.0,38.0,39.0,11.0,,90.0,95.0,6.9,2.0,0.0871,0.0,0.0229032,1,,1.0,1.0,4.0,5.0,1.0,4.0,1.0,1.0,4.0,2.0,,2.0,,,mickyvdven,1.0,,,,,,,,,,,,,,,,,,
10388504,home,VfL Wolfsburg,Ridle Baku,ridle-baku,R. Baku,M,17,176,1448,M,856553,EUR,891993600,M,20,20,False,53.0,42.0,1.0,1.0,15.0,17.0,29.0,44.0,5.0,,90.0,88.0,6.8,25.0,0.4149,0.2158,0.372621,2,,2.0,,7.0,3.0,2.0,3.0,,,,,4.0,2.0,,,,1.0,8.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,
10388504,home,VfL Wolfsburg,Mattias Svanberg,svanberg-mattias,M. Svanberg,M,32,185,641,M,796987,EUR,915494400,M,32,32,False,31.0,24.0,3.0,2.0,7.0,7.0,18.0,27.0,8.0,,90.0,55.0,7.2,14.0,0.7608,0.4177,0.0765645,6,,4.0,,8.0,5.0,1.0,,,2.0,1.0,1.0,2.0,,,,,2.0,3.0,1.0,2.0,3.0,2.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,,
10388504,home,VfL Wolfsburg,Maximilian Arnold,maximilian-arnold,M. Arnold,M,27,184,898,M,147289,EUR,769996800,M,27,27,False,37.0,31.0,8.0,3.0,16.0,19.0,18.0,24.0,6.0,,74.0,55.0,6.6,13.0,0.0228,0.0,0.135687,1,,,1.0,6.0,5.0,4.0,,,1.0,3.0,1.0,,,,,,,6.0,3.0,2.0,,,,,,,1.0,1.0,,1.0,True,,,,
10388504,home,VfL Wolfsburg,Felix Nmecha,nmecha-felix,F. Nmecha,M,8,190,3992,M,907463,EUR,971136000,M,22,22,False,49.0,39.0,3.0,2.0,14.0,17.0,26.0,34.0,10.0,,90.0,70.0,6.6,15.0,0.0687,0.0,0.124553,2,,3.0,3.0,9.0,9.0,2.0,,,1.0,4.0,2.0,2.0,2.0,,,,2.0,2.0,1.0,2.0,1.0,1.0,,,,,1.0,,,1.0,,,,,
10388504,home,VfL Wolfsburg,Paulo Otávio,paulo-otavio,P. Otávio,D,6,173,323,M,552180,EUR,785548800,M,6,6,False,34.0,28.0,1.0,,13.0,13.0,15.0,24.0,1.0,,66.0,50.0,7.2,9.0,0.2734,0.0,0.179412,4,,2.0,,6.0,2.0,3.0,,,,2.0,1.0,,1.0,,,,1.0,3.0,,,,,2.0,,,,2.0,3.0,,,,1.0,,,
10388504,home,VfL Wolfsburg,Patrick Wimmer,patrick-wimmer,P. Wimmer,M,39,182,1034,M,987504,EUR,991180800,F,39,39,False,23.0,19.0,,,3.0,4.0,16.0,19.0,1.0,,66.0,42.0,6.3,11.0,0.4766,0.0,0.398245,3,,3.0,,7.0,2.0,,1.0,,2.0,2.0,2.0,3.0,,,,,1.0,,,2.0,2.0,,,1.0,,,2.0,2.0,,,,,,,
