match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_unsuccessfulTouch,stat_fouls,captain,stat_aerialWon,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,stat_challengeLost,stat_totalContest,stat_totalOffside,stat_wonContest,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalsPrevented,player_sofascoreId,stat_errorLeadToAGoal
13473376,home,Ceará,Bruno Ferreira,Bruno Ferreira,Ventura Diniz,bruno-ferreira,B. Ferreira,G,94,197,350,M,1066241,EUR,763776000,G,94,94,False,10.0,4.0,7.0,1.0,0.0,3.0,4.0,1.0,6.0,2.0,2.0,1.0,64.0,13.0,6.6,6.0,0.00024186,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13473376,home,Ceará,Fabiano Souza,,,fabiano-silva,F. Souza,D,70,175,374,M,1130513,EUR,952992000,D,70,70,False,27.0,23.0,1.0,1.0,0.0,8.0,10.0,15.0,17.0,3.0,3.0,,90.0,47.0,6.3,12.0,0.0201448,0,3.0,1.0,3.0,6.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13473376,home,Ceará,Marllon,,,marllon,Marllon,D,3,184,365,M,221206,EUR,703382400,D,3,3,False,35.0,29.0,2.0,2.0,0.0,18.0,20.0,11.0,15.0,5.0,3.0,,90.0,43.0,6.9,6.0,0.00830527,0,,,2.0,2.0,,,,True,4.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
13473376,home,Ceará,Willian Machado,,,willian-machado,W. Machado,D,23,185,452,M,925871,EUR,847843200,D,23,23,False,35.0,33.0,4.0,3.0,0.0,26.0,26.0,7.0,9.0,9.0,1.0,,90.0,48.0,7.1,2.0,0.00213566,0,,,1.0,1.0,,,,,3.0,4.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
13473376,home,Ceará,Matheus Bahia,,,matheus-bahia,M. Bahia,D,79,181,700,M,1047204,EUR,934329600,D,79,79,False,34.0,28.0,5.0,3.0,0.0,14.0,18.0,14.0,16.0,2.0,5.0,,90.0,62.0,7.2,11.0,0.244612,1,6.0,3.0,,3.0,,2.0,3.0,,,6.0,1.0,,4.0,1.0,2.0,1.0,0.0159,1.0,,,,,,,,,,,,,,,,,
13473376,home,Ceará,Fernando Sobral,,,fernando-sobral,F. Sobral,M,88,178,655,M,931479,EUR,787708800,M,88,88,False,41.0,35.0,5.0,2.0,0.0,18.0,19.0,17.0,22.0,3.0,4.0,,90.0,56.0,6.8,9.0,0.0125967,0,2.0,,1.0,7.0,,,4.0,,1.0,4.0,,2.0,3.0,2.0,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
13473376,home,Ceará,Dieguinho,,,dieguinho,Dieguinho,M,20,175,466,M,1016930,EUR,815097600,M,20,20,False,35.0,31.0,2.0,1.0,0.0,20.0,23.0,11.0,12.0,,8.0,,89.0,41.0,6.6,7.0,0.00450438,0,,,2.0,3.0,1.0,2.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
13473376,home,Ceará,Antonio Galeano,,,antonio-galeano,Galeano,M,27,169,1101,M,883207,EUR,953683200,M,27,27,False,28.0,22.0,2.0,,0.0,5.0,7.0,17.0,21.0,,4.0,,90.0,49.0,7.3,10.0,0.122488,4,4.0,3.0,1.0,4.0,1.0,1.0,1.0,,1.0,10.0,,,2.0,1.0,6.0,2.0,0.1783,3.0,,2.0,,1.0,2.0,,,,,,,,,,,,
13473376,home,Ceará,Lucas Mugni,,,lucas-mugni,L. Mugni,M,10,184,605,M,249881,EUR,695174400,M,10,10,False,29.0,21.0,3.0,,1.0,6.0,7.0,15.0,22.0,,6.0,,71.0,50.0,7.4,17.0,0.311937,0,5.0,1.0,,4.0,2.0,2.0,1.0,,,5.0,,1.0,2.0,1.0,1.0,,,3.0,1.0,3.0,,2.0,,1.0,,,,,,,,,,,
13473376,home,Ceará,Aylon,,,aylon,Aylon,F,11,180,434,M,364528,EUR,702604800,M,11,11,False,13.0,12.0,,,0.0,5.0,5.0,7.0,8.0,,3.0,,71.0,30.0,6.5,6.0,0.0401446,1,1.0,1.0,3.0,5.0,1.0,4.0,,,,3.0,,1.0,2.0,1.0,,1.0,0.4262,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,
