match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_outfielderBlock,stat_interceptionWon,stat_bigChanceMissed,stat_shotOffTarget,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,player_firstName,stat_accurateCross,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,player_lastName,player_sofascoreId,stat_bigChanceCreated,captain,stat_goals,stat_blockedScoringAttempt,stat_totalOffside
14025148,home,West Ham United,Mads Hermansen,mads-hermansen,M. Hermansen,G,1,187,1770,M,856640,EUR,963273600,G,1,1,False,33.0,16.0,22.0,5.0,0.0,11.0,13.0,5.0,20.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,90.0,39.0,6.0,17.0,0.00115736,0.5215,0,-0.773,0.0,-0.02,-0.39,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025148,home,West Ham United,Kyle Walker-Peters,kyle-walker-peters,K. Walker-Peters,D,2,173,1504,M,823085,EUR,860889600,D,2,2,False,29.0,26.0,1.0,,0.0,12.0,13.0,14.0,16.0,,5.0,3.0,6.0,,,,90.0,56.0,6.2,7.0,0.0112811,,0,,0.11,0.0,-0.44,,1.0,1.0,5.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14025148,home,West Ham United,Konstantinos Mavropanos,konstantinos-mavropanos,K. Mavropanos,D,15,194,2680,M,829022,EUR,881798400,D,15,15,False,39.0,31.0,7.0,2.0,0.0,19.0,20.0,12.0,19.0,5.0,5.0,7.0,3.0,,,,90.0,51.0,6.6,8.0,0.00726438,,0,,0.16,0.09,-0.26,,,1.0,1.0,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,
14025148,home,West Ham United,Max Kilman,max-kilman,M. Kilman,D,3,192,1250,M,894474,EUR,864345600,D,3,3,False,36.0,31.0,6.0,1.0,0.0,22.0,22.0,9.0,14.0,4.0,4.0,8.0,5.0,,,,90.0,48.0,6.3,6.0,0.00292454,,1,,0.1,0.05,-0.08,,,3.0,5.0,,,1.0,,,,,,1.0,,1.0,1.0,1.0,0.2016,-0.54,,,,,,,,,,,,
14025148,home,West Ham United,El Hadji Malick Diouf,diouf-el-hadji-malick,E. H. M. Diouf,M,12,183,14539,M,1471764,EUR,1104192000,D,12,12,False,21.0,15.0,5.0,2.0,0.0,6.0,10.0,9.0,11.0,1.0,5.0,5.0,4.0,,,,90.0,49.0,6.2,14.0,0.0425477,,1,,0.17,0.01,-0.4,,3.0,1.0,4.0,,,3.0,1.0,3.0,1.0,,,,,,,1.0,0.0129,-0.05,El Hadji Malick Diouf,1.0,1.0,3.0,0.0088,,,,,,,
14025148,home,West Ham United,Tomáš Souček,tomas-soucek,T. Souček,M,28,192,3256,M,799041,EUR,793843200,M,28,28,False,24.0,17.0,4.0,,0.0,12.0,15.0,5.0,9.0,5.0,6.0,8.0,1.0,,,,54.0,38.0,6.1,9.0,0.00451578,,1,,-0.06,0.06,0.28,,,,3.0,1.0,,,,1.0,,,,,1.0,,,2.0,0.0134,-0.1,,,1.0,2.0,0.0108,,,,,,,
14025148,home,West Ham United,James Ward-Prowse,james-ward-prowse,J. Ward-Prowse,M,20,177,4256,M,161717,EUR,783648000,M,8,8,False,31.0,28.0,6.0,4.0,0.0,10.0,11.0,18.0,20.0,1.0,1.0,1.0,1.0,,,,89.0,39.0,7.0,4.0,0.243266,,0,,0.45,0.22,-0.15,,3.0,1.0,3.0,2.0,,,,,,,2.0,1.0,,,,,,,,2.0,,,,,prowsey16,1.0,,,,
14025148,home,West Ham United,Jarrod Bowen,jarrod-bowen,J. Bowen,M,20,174,9125,M,552884,EUR,851040000,M,20,20,False,18.0,15.0,1.0,,0.0,5.0,6.0,10.0,12.0,,5.0,3.0,4.0,,,,90.0,39.0,6.3,11.0,0.0220969,,3,,0.06,0.3,-0.21,,1.0,1.0,9.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,,,1.0,,1.0,1.0,0.117,-0.51,,,2.0,1.0,0.2664,,jarrodbowen,,True,,,
14025148,home,West Ham United,Mateus Fernandes,mateus-fernandes,M. Fernandes,M,18,178,3830,M,1142562,EUR,1089417600,M,18,18,False,21.0,18.0,1.0,1.0,0.0,8.0,9.0,10.0,12.0,,2.0,,1.0,,,,61.0,29.0,6.6,6.0,0.150196,,0,,0.0,0.36,-0.18,,1.0,,3.0,1.0,,,,2.0,2.0,,2.0,,,,,2.0,,,,,,2.0,,,,,,,,
14025148,home,West Ham United,Crysencio Summerville,crysencio-summerville,C. Summerville,M,7,174,5285,M,917005,EUR,1004400000,M,7,7,False,12.0,10.0,1.0,,0.0,1.0,1.0,9.0,11.0,,6.0,2.0,1.0,,,,61.0,25.0,6.7,4.0,0.0142011,,0,,0.14,0.01,-0.11,,,1.0,5.0,2.0,,4.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,csummerville7,,,,,
14025148,home,West Ham United,Lucas Paquetá,lucas-paqueta,L. Paquetá,M,20,180,63569,M,839981,EUR,872640000,F,10,10,False,24.0,14.0,3.0,1.0,0.0,5.0,6.0,9.0,18.0,3.0,3.0,1.0,1.0,,,,68.0,31.0,6.1,12.0,0.0105058,,1,,-0.08,0.11,-0.07,,,4.0,7.0,1.0,1.0,,,,,,1.0,,,,1.0,1.0,0.2543,-0.56,,,,,,,Paqueta,,,,,
14025148,home,West Ham United,Luis Guilherme,luis-guilherme,Luis Guilherme,M,31,175,4554,M,1464248,EUR,1139443200,F,17,17,True,4.0,4.0,,,0.0,4.0,4.0,,,,,1.0,2.0,,,,29.0,8.0,6.4,2.0,1.727e-05,,0,,0.0,0.0,0.15,,,,1.0,,1.0,,,,,,,,,,,,,,Luis Guilherme,,,1.0,,,guilhermelira06,,,,,
14025148,home,West Ham United,Soungoutou Magassa,soungoutou-magassa,S. Magassa,M,27,188,1742,M,1170560,EUR,1065571200,M,27,27,True,13.0,12.0,1.0,1.0,0.0,11.0,12.0,1.0,1.0,,2.0,,,,,,29.0,19.0,6.8,2.0,0.00023312,,0,,-0.03,-0.1,0.31,,,,2.0,1.0,,1.0,,2.0,2.0,,,1.0,,,,,,,Soungoutou Magassa,,,,,,,,,,,
14025148,home,West Ham United,Callum Wilson,callum-wilson,C. Wilson,F,9,180,3241,M,113956,EUR,699148800,F,9,9,True,5.0,2.0,,,0.0,1.0,2.0,1.0,3.0,1.0,1.0,,2.0,,,,22.0,5.0,6.5,3.0,0.00238481,,0,,-0.03,-0.02,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025148,home,West Ham United,Andy Irving,andy-irving,A. Irving,M,18,186,452,M,845464,EUR,958176000,M,39,39,True,,,,,0.0,,,,,,,,,,,,1.0,1.0,,,,,0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
