match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalOffside,stat_shotOffTarget,stat_hitWoodwork,stat_fouls,player_firstName,player_lastName,player_sofascoreId,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_keyPass,captain,stat_dispossessed,stat_blockedScoringAttempt,stat_aerialLost,stat_bigChanceMissed,stat_goals,stat_errorLeadToAGoal,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle,stat_goalAssist,stat_bigChanceCreated
10388286,home,Eintracht Frankfurt,Kevin Trapp,kevin-trapp,K. Trapp,G,35,189,1775,M,38440,EUR,647395200,G,1,1,False,27.0,20.0,12.0,5.0,16.0,17.0,4.0,10.0,1.0,5.0,1.0,4.0,1.0,90.0,36.0,5.7,8.0,0.0,0.0,0.00097711,0,-2.2533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388286,home,Eintracht Frankfurt,Almamy Touré,almamy-toure,A. Touré,D,,182,276,M,580952,EUR,830649600,D,18,18,False,46.0,33.0,3.0,1.0,22.0,28.0,11.0,18.0,1.0,8.0,,,,90.0,59.0,6.1,15.0,0.0,0.0,0.00408881,0,,1.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10388286,home,Eintracht Frankfurt,Tuta,tuta,Tuta,D,3,184,1088,M,964191,EUR,931046400,D,35,35,False,36.0,32.0,4.0,2.0,25.0,26.0,7.0,10.0,3.0,10.0,,,,81.0,47.0,6.4,4.0,0.0637,0.0,0.00409527,1,,1.0,2.0,1.0,1.0,,,2.0,3.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10388286,home,Eintracht Frankfurt,Evan Ndicka,evan-ndicka,E. Ndicka,D,5,190,9201,M,848287,EUR,935107200,D,2,2,False,38.0,35.0,2.0,1.0,31.0,33.0,4.0,5.0,5.0,6.0,,,,90.0,51.0,6.1,3.0,0.0,0.0,0.00215608,0,,1.0,3.0,2.0,1.0,,,3.0,2.0,,,,,,,2.0,,,evanndicka,1.0,,,,,,,,,,,,,,,,
10388286,home,Eintracht Frankfurt,Ansgar Knauff,ansgar-knauff,A. Knauff,M,7,180,2079,M,997012,EUR,1010620800,M,36,36,False,40.0,19.0,6.0,,7.0,14.0,13.0,30.0,3.0,2.0,,,,90.0,72.0,6.4,33.0,0.1707,0.3585,0.062055,3,,,4.0,6.0,1.0,4.0,2.0,,,4.0,2.0,4.0,,2.0,,1.0,,,,,4.0,1.0,1.0,1.0,,,,,,,,,,,,
10388286,home,Eintracht Frankfurt,Sebastian Rode,sebastian-rode,S. Rode,M,,179,171,M,35194,EUR,655603200,M,17,17,False,14.0,12.0,1.0,,4.0,4.0,8.0,10.0,,3.0,,,,45.0,20.0,6.0,4.0,0.0,0.0,0.0190214,0,,,3.0,2.0,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,,,True,1.0,,,,,,,,,,
10388286,home,Eintracht Frankfurt,Djibril Sow,djibril-sow,D. Sow,M,20,184,1940,M,799054,EUR,855187200,M,8,8,False,35.0,30.0,3.0,3.0,17.0,20.0,13.0,15.0,1.0,7.0,,,,90.0,40.0,6.2,5.0,0.0,0.0,0.0711963,0,,,3.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
10388286,home,Eintracht Frankfurt,Filip Kostić,filip-kostic,F. Kostić,M,18,184,7062,M,126588,EUR,720576000,M,10,10,False,26.0,18.0,5.0,1.0,8.0,9.0,11.0,24.0,,3.0,,,,74.0,48.0,6.4,19.0,0.0226,0.0,0.0694861,1,,,3.0,4.0,,2.0,1.0,,1.0,2.0,,,,,,1.0,,,filipkostic,1.0,7.0,1.0,,1.0,,1.0,1.0,,,,,,,,,
10388286,home,Eintracht Frankfurt,Jesper Lindstrøm,jesper-lindstrom,J. Lindstrøm,M,19,182,2675,M,947929,EUR,951782400,F,29,29,False,12.0,10.0,,,5.0,6.0,5.0,6.0,,1.0,,,,45.0,18.0,5.8,6.0,0.4528,0.0,0.00212468,1,,1.0,5.0,1.0,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,
10388286,home,Eintracht Frankfurt,Mario Götze,mario-gotze,M. Götze,M,27,176,5881,M,66518,EUR,707529600,F,27,27,False,30.0,21.0,2.0,1.0,5.0,8.0,16.0,23.0,,9.0,,,,90.0,46.0,6.7,16.0,0.0,0.0,0.1907,0,,,6.0,8.0,1.0,5.0,1.0,,,3.0,2.0,,1.0,,,,,,MarioGotze,4.0,1.0,,,1.0,,1.0,,,,,,,,,,
10388286,home,Eintracht Frankfurt,Rafael Borré,rafael-borre,R. Borré,F,19,174,5880,M,560116,EUR,811123200,F,19,19,False,9.0,8.0,1.0,1.0,4.0,4.0,4.0,5.0,,1.0,,,,45.0,18.0,6.6,5.0,0.0,0.0,0.0157059,0,,,2.0,4.0,,4.0,3.0,,1.0,,,3.0,1.0,,,,,,rafaelsantosborre,1.0,,,,,,,,1.0,,,,,,,,
10388286,home,Eintracht Frankfurt,Kristijan Jakić,kristijan-jakic,K. Jakić,M,17,181,2258,M,796206,EUR,863568000,M,6,6,True,11.0,7.0,2.0,,3.0,3.0,4.0,8.0,,1.0,,,,45.0,17.0,6.6,4.0,0.0,0.0,0.0118809,0,,,2.0,3.0,1.0,,,,1.0,2.0,1.0,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,
