match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_totalCross,stat_aerialWon,captain,stat_totalContest,stat_wonContest,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,stat_punches,stat_goals,stat_totalOffside
14025083,home,Manchester City,James Trafford,,,james-trafford,J. Trafford,G,1,197,21722,M,980643,EUR,1034208000,G,1,1,False,37.0,26.0,13.0,4.0,0.0,25.0,27.0,1.0,10.0,3.0,3.0,10.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,90.0,51.0,6.3,11.0,9.578e-05,0.1289,0,0.0815,-0.1,0.02,-0.24,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025083,home,Manchester City,Rico Lewis,Rico Lewis,,rico-lewis,R. Lewis,D,82,170,17497,M,1136731,EUR,1100995200,D,82,82,False,50.0,43.0,4.0,2.0,0.0,24.0,24.0,19.0,26.0,2.0,2.0,3.0,2.0,1.0,,,,,,,90.0,77.0,6.2,11.0,0.078341,,1,,0.13,0.02,-0.18,,Rico_Lewis,1.0,6.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0241,1.0,-0.16,,,,,,,,,,,,,,,
14025083,home,Manchester City,John Stones,,,john-stones,J. Stones,D,5,188,22354,M,152077,EUR,770083200,D,5,5,False,83.0,76.0,4.0,1.0,0.0,52.0,56.0,24.0,27.0,4.0,7.0,4.0,,,,,,,,,90.0,96.0,6.4,11.0,0.0151105,,0,,0.12,0.08,-0.38,,johnstones5,1.0,1.0,,,,,1.0,2.0,,,,,2.0,4.0,,,,,,,,,,,,,
14025083,home,Manchester City,Rúben Dias,,,ruben-dias,R. Dias,D,3,188,40519,M,318941,EUR,863568000,D,3,3,False,64.0,59.0,3.0,1.0,0.0,42.0,45.0,17.0,19.0,4.0,4.0,2.0,2.0,,,,,,,,90.0,75.0,6.3,6.0,0.0106356,,0,,-0.05,0.08,-0.35,,RúbenD,2.0,3.0,,,,,1.0,,,,,,,2.0,True,1.0,,,,,,,,,,,
14025083,home,Manchester City,Rayan Aït-Nouri,,,rayan-ait-nouri,R. A. Nouri,M,21,179,44710,M,931278,EUR,991785600,D,21,21,False,7.0,7.0,,,0.0,4.0,4.0,3.0,3.0,,,2.0,,,,,,,,,23.0,11.0,6.6,1.0,0.00217056,,0,,0.01,0.01,-0.04,,r_aitnouri,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14025083,home,Manchester City,Nico González,,,nico-gonzalez,N. González,M,14,186,19859,M,954056,EUR,1010016000,M,14,14,False,55.0,51.0,3.0,1.0,0.0,23.0,25.0,28.0,30.0,8.0,1.0,2.0,3.0,3.0,,1.0,,,,,75.0,65.0,7.0,6.0,0.0239554,,0,,0.16,0.1,-0.16,,nico14,1.0,4.0,1.0,1.0,,,,1.0,1.0,,,,,3.0,,1.0,1.0,,,,,,,,,,
14025083,home,Manchester City,Oscar Bobb,Oscar Bobb,,oscar-bobb,O. Bobb,M,14,174,21551,M,1065216,EUR,1057968000,M,52,52,False,28.0,26.0,1.0,1.0,0.0,5.0,6.0,21.0,22.0,8.0,,2.0,3.0,2.0,,4.0,,,,,75.0,51.0,7.2,10.0,0.212626,,0,,0.31,0.3,-0.1,,oscarbobb,,6.0,,2.0,,,,3.0,1.0,,2.0,,1.0,,,4.0,1.0,1.0,,,,,,,,,
14025083,home,Manchester City,Rayan Cherki,,,cherki-rayan,R. Cherki,M,10,176,76914,M,979128,EUR,1061078400,M,10,10,False,42.0,34.0,4.0,1.0,0.0,17.0,18.0,17.0,24.0,5.0,,3.0,4.0,1.0,,,,,,,54.0,57.0,7.2,14.0,0.439103,,0,,0.54,0.11,-0.03,,rayan_cherki,,6.0,,3.0,,,1.0,,1.0,,1.0,,2.0,,,3.0,1.0,1.0,1.0,,,,,,,,
14025083,home,Manchester City,Tijjani Reijnders,,,tijjani-reijnders,T. Reijnders,M,4,185,38485,M,893549,EUR,901670400,M,4,4,False,40.0,35.0,1.0,,0.0,8.0,9.0,27.0,31.0,2.0,,4.0,1.0,,,1.0,,,,,90.0,49.0,6.7,10.0,0.0390577,,1,,0.2,0.28,-0.13,,tijjanireijnders,,,,,,,,1.0,,0.0416,,-0.17,3.0,,,,,,,1.0,,,,,,,
14025083,home,Manchester City,Omar Marmoush,,,omar-marmoush,O. Marmoush,F,7,183,196585,M,873554,EUR,918345600,M,7,7,False,14.0,11.0,,,0.0,4.0,4.0,7.0,10.0,4.0,1.0,1.0,1.0,1.0,,1.0,,,,,54.0,29.0,6.6,9.0,0.00963131,,3,,-0.41,0.34,-0.11,,OMarmoush,,2.0,1.0,1.0,1.0,1.0,,3.0,,0.6473,,0.05,2.0,1.0,,1.0,1.0,,,,1.0,2.0,0.5919,,,,
