match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_penaltyConceded,stat_fouls,stat_goalAssist,stat_challengeLost,stat_bigChanceCreated,stat_outfielderBlock,stat_totalTackle,stat_wasFouled,stat_keyPass,stat_dispossessed,stat_shotOffTarget,stat_wonTackle,stat_expectedGoals,captain,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_clearanceOffLine,player_sofascoreId,stat_errorLeadToAGoal,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_hitWoodwork,stat_blockedScoringAttempt,stat_penaltyWon
10388326,home,1. FC Union Berlin,Frederik Rønnow,frederik-ronnow,F. Rønnow,G,1,188,637,M,137692,EUR,712886400,G,1,1,False,35.0,22.0,24.0,11.0,12.0,13.0,10.0,22.0,1.0,8.0,2.0,3.0,1.0,4.0,90.0,44.0,6.7,14.0,0.0114877,0,0.29427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388326,home,1. FC Union Berlin,Danilho Doekhi,danilho-doekhi,D. Doekhi,D,5,187,772,M,830803,EUR,899164800,D,5,5,False,27.0,19.0,4.0,1.0,13.0,14.0,6.0,13.0,1.0,2.0,,,,,90.0,32.0,5.9,8.0,0.0264657,0,,,,4.0,1.0,7.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388326,home,1. FC Union Berlin,Robin Knoche,robin-knoche,R. Knoche,D,31,190,148,M,130433,EUR,706492800,D,31,31,False,44.0,34.0,10.0,6.0,21.0,26.0,13.0,18.0,8.0,7.0,,,,,90.0,57.0,7.8,10.0,0.150276,0,,,,1.0,1.0,3.0,3.0,1.0,,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10388326,home,1. FC Union Berlin,Diogo Leite,leite-diogo,D. Leite,D,4,188,993,M,855663,EUR,917049600,D,4,4,False,41.0,27.0,7.0,,19.0,24.0,8.0,17.0,7.0,6.0,,,,,90.0,62.0,7.1,15.0,0.00644547,1,,,,1.0,5.0,4.0,13.0,1.0,,2.0,,,,1.0,4.0,4.0,,1.0,1.0,3.0,0.0368,,,,,,,,,,,,,,,,,,,
10388326,home,1. FC Union Berlin,Christopher Trimmel,christopher-trimmel,C. Trimmel,M,28,189,354,M,48557,EUR,541123200,M,28,28,False,22.0,15.0,3.0,,7.0,9.0,9.0,18.0,2.0,5.0,,,,,90.0,46.0,6.4,13.0,0.037028,1,,,,1.0,1.0,4.0,2.0,,,2.0,,,,,,1.0,1.0,1.0,1.0,,0.0361,True,5.0,1.0,,,,,,,,,,,,,,,,
10388326,home,1. FC Union Berlin,András Schäfer,andras-schafer,A. Schäfer,M,13,179,2407,M,877302,EUR,923961600,M,13,13,False,18.0,16.0,,,11.0,11.0,5.0,8.0,,6.0,,,,,63.0,26.0,6.6,5.0,0.0022922,1,,,,,1.0,2.0,3.0,,,1.0,,,,,,1.0,,1.0,1.0,,0.0501,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,
10388326,home,1. FC Union Berlin,Rani Khedira,rani-khedira,R. Khedira,M,8,188,962,M,149479,EUR,759628800,M,8,8,False,25.0,12.0,6.0,1.0,7.0,14.0,5.0,11.0,2.0,8.0,,,,,90.0,32.0,6.1,13.0,0.00835806,0,,,,3.0,,6.0,1.0,,,2.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10388326,home,1. FC Union Berlin,Janik Haberer,janik-haberer,J. Haberer,M,19,187,178,M,168985,EUR,765244800,M,19,19,False,17.0,15.0,2.0,1.0,6.0,7.0,9.0,11.0,,5.0,,,,,71.0,25.0,6.4,6.0,0.0398659,0,,,,1.0,1.0,4.0,3.0,,,1.0,,1.0,,,,2.0,2.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,
10388326,home,1. FC Union Berlin,Jérôme Roussillon,jerome-roussillon,J. Roussillon,D,21,175,187,M,146500,EUR,726278400,M,26,26,False,15.0,9.0,3.0,,4.0,8.0,5.0,10.0,,5.0,,,,,86.0,36.0,6.3,13.0,0.186751,0,,,,1.0,1.0,4.0,5.0,,,1.0,,1.0,,,1.0,2.0,,1.0,,1.0,,,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,
10388326,home,1. FC Union Berlin,Kevin Behrens,kevin-behrens,K. Behrens,F,91,184,493,M,164171,EUR,665539200,F,17,17,False,23.0,13.0,1.0,1.0,6.0,7.0,7.0,16.0,1.0,,,,,,63.0,33.0,7.4,12.0,0.118293,1,,,,7.0,9.0,10.0,10.0,,,2.0,,,,,,,1.0,,,,0.1429,,,,2.0,1.0,1.0,1.0,1.0,1.0,0.350023,,,,,,,,,
