match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_goalAssist,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_keyPass,stat_outfielderBlock,stat_wonTackle,stat_fouls,stat_unsuccessfulTouch,captain,stat_dispossessed,stat_totalContest,stat_wonContest,stat_wasFouled,stat_totalOffside,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_accurateCross,stat_bigChanceCreated,player_sofascoreId,stat_errorLeadToAGoal,stat_lastManTackle,stat_bigChanceMissed
10388287,home,1. FSV Mainz 05,Robin Zentner,robin-zentner,R. Zentner,G,27,193,298,M,174345,EUR,783302400,G,27,27,False,25.0,16.0,19.0,10.0,7.0,7.0,9.0,18.0,1.0,1.0,1.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,90.0,32.0,6.6,9.0,0.0,0.0,0.00629169,0,0.54873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388287,home,1. FSV Mainz 05,Andreas Hanche-Olsen,andreas-hanche-olsen,A. Hanche-Olsen,D,25,185,370,M,794294,EUR,853459200,D,25,25,False,23.0,12.0,9.0,1.0,9.0,11.0,3.0,13.0,,1.0,2.0,8.0,,,,,,,90.0,29.0,6.4,12.0,0.0,0.0,0.011959,0,,,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10388287,home,1. FSV Mainz 05,Stefan Bell,stefan-bell,S. Bell,D,16,192,142,M,106662,EUR,682992000,D,16,16,False,18.0,15.0,3.0,2.0,9.0,10.0,6.0,9.0,3.0,5.0,6.0,5.0,,,,,,,90.0,36.0,7.0,5.0,0.0,0.0,0.00829824,0,,,,,1.0,3.0,6.0,2.0,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10388287,home,1. FSV Mainz 05,Edimilson Fernandes,edimilson-fernandes,E. Fernandes,M,6,190,345,M,330099,EUR,829526400,D,20,20,False,17.0,6.0,11.0,2.0,3.0,3.0,3.0,17.0,2.0,3.0,7.0,4.0,,,,,,,83.0,36.0,6.3,16.0,0.0,0.0,0.0385945,0,,,,,3.0,,3.0,3.0,2.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,
10388287,home,1. FSV Mainz 05,Silvan Widmer,silvan-widmer,S. Widmer,M,30,182,532,M,157377,EUR,731289600,M,30,30,False,18.0,12.0,3.0,2.0,4.0,5.0,8.0,14.0,,7.0,1.0,4.0,,,,,,,90.0,39.0,6.7,11.0,0.0,0.0,0.00589662,0,,,,,1.0,,7.0,5.0,,3.0,,2.0,2.0,,,True,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,
10388287,home,1. FSV Mainz 05,Leandro Barreiro,leandro-barreiro,L. Barreiro,M,18,170,2537,M,906800,EUR,946857600,M,8,8,False,18.0,11.0,1.0,1.0,5.0,7.0,6.0,11.0,,8.0,2.0,7.0,,,,,,,90.0,39.0,7.8,9.0,0.4387,0.903467,0.0081517,3,,,,,,3.0,7.0,1.0,2.0,7.0,1.0,,3.0,2.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,
10388287,home,1. FSV Mainz 05,Dominik Kohr,dominik-kohr,D. Kohr,D,31,183,342,M,152206,EUR,759974400,M,31,31,False,20.0,14.0,2.0,1.0,6.0,7.0,8.0,13.0,2.0,4.0,,7.0,,,,,,,64.0,27.0,6.6,8.0,0.0,0.0,0.00776452,0,,,,,,1.0,7.0,1.0,1.0,2.0,,,1.0,4.0,1.0,,1.0,,,,,,,,,,,,,,,
10388287,home,1. FSV Mainz 05,Anthony Caci,anthony-caci,A. Caci,M,19,184,357,M,846471,EUR,867715200,M,19,19,False,12.0,8.0,3.0,1.0,2.0,5.0,6.0,8.0,,1.0,1.0,6.0,,,,,,,45.0,24.0,6.4,7.0,0.0,0.0,0.00811843,0,,,,,1.0,,3.0,1.0,1.0,,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,
10388287,home,1. FSV Mainz 05,Karim Onisiwo,karim-onisiwo,K. Onisiwo,F,9,188,465,M,165413,EUR,700790400,F,9,9,False,17.0,10.0,,,2.0,4.0,9.0,14.0,3.0,4.0,,4.0,,,,,,,90.0,34.0,6.4,18.0,0.0282,0.0,0.278028,1,,,,1.0,1.0,3.0,14.0,4.0,,,2.0,,,1.0,5.0,,1.0,6.0,1.0,,,,,1.0,,,1.0,1.0,,,,
10388287,home,1. FSV Mainz 05,Jae-sung Lee,jae-sung-lee,J. Lee,F,7,180,2646,M,537552,EUR,713404800,F,7,7,False,22.0,17.0,2.0,1.0,4.0,4.0,13.0,18.0,1.0,2.0,1.0,5.0,,,,,,,77.0,29.0,7.1,5.0,0.1011,0.174374,0.0987262,2,,,,,,,1.0,,1.0,,2.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,
