match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_unsuccessfulTouch,stat_wasFouled,stat_outfielderBlock,stat_fouls,captain,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_ownGoals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_challengeLost,stat_blockedScoringAttempt,stat_goals,stat_interceptionWon,stat_keyPass,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,stat_accurateCross,player_sofascoreId,stat_errorLeadToAShot,stat_goodHighClaim
13472618,home,Ceará,Bruno Ferreira,Bruno Ferreira,Ventura Diniz,bruno-ferreira,B. Ferreira,G,94,197.0,350,M,1066241,EUR,763776000,G,94,94,False,22.0,11.0,15.0,4.0,0.0,8.0,9.0,3.0,13.0,1.0,4.0,2.0,4.0,90.0,30.0,7.0,12.0,0.00036479,5.1470908288081,1.0,2.52,2.52,0,-0.4504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472618,home,Ceará,Fabiano Souza,,,fabiano-silva,F. Souza,D,70,175.0,374,M,1130513,EUR,952992000,D,70,70,False,26.0,18.0,4.0,,0.0,5.0,7.0,13.0,19.0,8.0,3.0,,,90.0,47.0,6.7,13.0,0.00899216,20.739602747177,3.0,9.765,9.345,0,,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
13472618,home,Ceará,Marcos Victor,Marcos Victor,,marcos-victor,M. Victor,D,44,184.0,514,M,1174196,EUR,1009324800,D,44,44,False,21.0,19.0,4.0,2.0,0.0,12.0,12.0,7.0,9.0,4.0,2.0,,,90.0,29.0,6.8,2.0,0.00247871,70.729387379061,6.0,54.495,22.47,0,,,,,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
13472618,home,Ceará,Willian Machado,,,willian-machado,W. Machado,D,23,185.0,452,M,925871,EUR,847843200,D,23,23,False,27.0,23.0,9.0,6.0,0.0,14.0,15.0,9.0,12.0,9.0,4.0,,,90.0,43.0,7.1,4.0,0.0625135,70.699226823435,6.0,53.34,27.09,1,,,1.0,2.0,4.0,5.0,,,,1.0,1.0,3.0,True,1.0,2.0,1.0,1.0,0.0185,0.1462,,,,,,,,,,,,,
13472618,home,Ceará,Matheus Bahia,,,matheus-bahia,M. Bahia,D,79,181.0,700,M,1047204,EUR,934329600,D,79,79,False,22.0,13.0,5.0,1.0,0.0,6.0,9.0,7.0,13.0,1.0,3.0,,,90.0,40.0,6.3,16.0,0.0486054,102.24839478557,7.0,84.0,43.995,0,,3.0,,1.0,2.0,3.0,,1.0,,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,
13472618,home,Ceará,Vinicius Zanocelo,,,vinicius-zanocelo,Vinicius Zanocelo,M,25,184.0,587,M,973841,EUR,980812800,M,25,25,False,26.0,23.0,3.0,2.0,0.0,6.0,7.0,17.0,19.0,,1.0,,,85.0,31.0,7.3,3.0,0.079609,64.080927716011,9.0,29.61,11.235,2,,,,3.0,5.0,5.0,,,,1.0,,3.0,,1.0,1.0,,,0.1058,0.1801,2.0,1.0,1.0,1.0,2.0,,,,,,,,
13472618,home,Ceará,Dieguinho,,,dieguinho,Dieguinho,M,20,175.0,466,M,1016930,EUR,815097600,M,20,20,False,22.0,16.0,3.0,1.0,0.0,6.0,8.0,10.0,14.0,2.0,4.0,,,85.0,37.0,7.0,11.0,0.0141216,74.140809718238,8.0,26.565,13.125,0,,,,2.0,2.0,7.0,2.0,2.0,2.0,2.0,,,,,1.0,,,,,,,,,2.0,2.0,,,,,,,
13472618,home,Ceará,Antonio Galeano,,,antonio-galeano,Galeano,M,27,169.0,1101,M,883207,EUR,953683200,M,27,27,False,15.0,13.0,,,0.0,3.0,4.0,10.0,11.0,3.0,5.0,,,90.0,34.0,6.6,7.0,0.00527745,66.351734762648,9.0,26.985,11.235,2,,,2.0,,5.0,8.0,1.0,3.0,3.0,3.0,,1.0,,,3.0,2.0,,0.271,,,1.0,,,,2.0,1.0,1.0,2.0,,,,
13472618,home,Ceará,Lucas Mugni,,,lucas-mugni,L. Mugni,M,10,184.0,605,M,249881,EUR,695174400,M,10,10,False,24.0,21.0,,,1.0,9.0,11.0,12.0,13.0,,5.0,,,73.0,43.0,7.5,11.0,0.431271,60.655977197307,7.0,12.915,13.86,1,,4.0,2.0,,6.0,4.0,2.0,1.0,2.0,2.0,1.0,,,,2.0,1.0,,0.025,,1.0,1.0,,1.0,3.0,,,,1.0,1.0,,,
13472618,home,Ceará,Fernandinho,,,fernandinho,Fernandinho,M,11,174.0,370,M,871219,EUR,869270400,M,77,77,False,5.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,,2.0,,,65.0,19.0,6.6,6.0,0.0640758,102.70716251097,7.0,58.17,53.025,2,,2.0,2.0,,9.0,2.0,1.0,1.0,,,,1.0,,1.0,2.0,2.0,,0.2072,0.47,4.0,1.0,,,,,,,,1.0,,,
