match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_blockedScoringAttempt,stat_outfielderBlock,stat_aerialLost,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_errorLeadToAGoal,stat_totalOffside,captain,stat_bigChanceCreated,stat_wonContest,stat_bigChanceMissed,stat_goals,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_goalAssist
10433972,home,Kasımpaşa,Ertuğrul Taşkıran,,,ertugrul-taskiran,E. Taşkıran,G,1,191,137,M,105974,EUR,626227200,G,1,1,False,26.0,22.0,8.0,4.0,21.0,22.0,1.0,4.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,90.0,35.0,5.6,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433972,home,Kasımpaşa,Florent Hadergjonaj,,,florent-hadergjonaj,F. Hadergjonaj,D,94,183,410,M,354860,EUR,775612800,D,94,94,False,51.0,37.0,12.0,7.0,17.0,18.0,22.0,38.0,4.0,1.0,9.0,1.0,,,,90.0,75.0,6.0,20.0,1,5.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10433972,home,Kasımpaşa,Jeffrey Bruma,,,jeffrey-bruma,J. Bruma,D,,190,56,M,87223,EUR,689990400,D,5,5,False,48.0,41.0,8.0,5.0,34.0,37.0,7.0,11.0,2.0,2.0,3.0,1.0,,,,90.0,54.0,6.3,7.0,1,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
10433972,home,Kasımpaşa,Sadık Çiftpınar,,,sadik-ciftpinar,S. Çiftpınar,D,5,181,71,M,111811,EUR,725846400,D,18,18,False,47.0,46.0,1.0,1.0,35.0,36.0,11.0,11.0,8.0,5.0,9.0,3.0,,,,90.0,70.0,6.9,4.0,2,,,4.0,,1.0,,1.0,3.0,3.0,2.0,1.0,2.0,,2.0,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,
10433972,home,Kasımpaşa,Mortadha Ben Ouanes,,,mortadha-ben-ouanes,M. B. Ouanes,M,12,182,1246,M,919225,EUR,773107200,D,12,12,False,52.0,45.0,10.0,7.0,18.0,20.0,28.0,39.0,3.0,,7.0,1.0,,,,90.0,72.0,6.9,16.0,0,7.0,1.0,2.0,,1.0,,,4.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,
10433972,home,Kasımpaşa,Mickael Tirpan,,,mickael-tirpan,M. Tirpan,D,25,177,58,M,800340,EUR,751334400,M,24,24,False,49.0,44.0,7.0,5.0,21.0,21.0,24.0,30.0,2.0,1.0,9.0,,,,,90.0,64.0,6.5,10.0,3,2.0,1.0,9.0,3.0,2.0,,2.0,1.0,2.0,1.0,,3.0,,,,,1.0,1.0,,,,,,,,,,,,
10433972,home,Kasımpaşa,Mamadou Fall,,,mamadou-fall,M. Fall,M,7,184,380,M,822228,EUR,694137600,M,7,7,False,24.0,17.0,2.0,1.0,3.0,4.0,14.0,22.0,5.0,,6.0,2.0,,,,73.0,45.0,6.5,16.0,1,2.0,,7.0,,2.0,1.0,,1.0,3.0,2.0,3.0,,1.0,,1.0,1.0,4.0,,,,2.0,,,,,,,,,
10433972,home,Kasımpaşa,Haris Hajradinović,,,haris-hajradinovic,H. Hajradinović,M,10,179,1215,M,254979,EUR,761529600,M,10,10,False,51.0,42.0,6.0,5.0,13.0,14.0,30.0,45.0,6.0,,5.0,1.0,,,,90.0,70.0,7.3,19.0,0,8.0,1.0,4.0,1.0,2.0,,,,5.0,3.0,,1.0,3.0,,,,,,,,,True,1.0,,,,,,,
10433972,home,Kasımpaşa,Aytaç Kara,,,aytac-kara,A. Kara,M,35,188,161,M,128196,EUR,732844800,M,35,35,False,36.0,31.0,2.0,,9.0,11.0,23.0,27.0,3.0,1.0,4.0,,,,,67.0,47.0,6.6,7.0,5,2.0,1.0,3.0,2.0,,,,2.0,,,1.0,1.0,1.0,3.0,4.0,,,1.0,,,,,,,,,,,,
10433972,home,Kasımpaşa,Bersant Celina,,,bersant-celina,B. Celina,M,10,181,399,M,281013,EUR,842227200,M,59,59,False,27.0,21.0,,,4.0,4.0,19.0,28.0,4.0,1.0,4.0,1.0,,,,67.0,47.0,6.9,13.0,4,5.0,2.0,3.0,,,5.0,1.0,1.0,,,1.0,,4.0,,2.0,,1.0,1.0,,,1.0,,,3.0,1.0,,,,,
10433972,home,Kasımpaşa,Stéphane Bahoken,,,stephane-bahoken,S. Bahoken,F,,185,234,M,153220,EUR,707011200,F,19,19,False,23.0,21.0,,,9.0,10.0,12.0,14.0,1.0,1.0,,,,,,90.0,33.0,7.6,4.0,5,1.0,,5.0,,1.0,,1.0,,,,,3.0,2.0,1.0,1.0,,1.0,3.0,,,1.0,,,,,1.0,,,,
10433972,home,Kasımpaşa,Raoul Petretta,,,raoul-petretta,R. Petretta,D,18,175,133,M,788275,EUR,859161600,D,28,28,True,25.0,24.0,3.0,2.0,12.0,12.0,12.0,13.0,,,2.0,,,,,23.0,28.0,6.6,1.0,0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
10433972,home,Kasımpaşa,Yunus Malli,,,yunus-malli,Y. Malli,M,,179,114,M,136262,EUR,698889600,M,11,11,True,17.0,12.0,,,4.0,4.0,8.0,15.0,2.0,,1.0,1.0,,,,23.0,24.0,6.6,8.0,0,2.0,,3.0,,1.0,,,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
10433972,home,Kasımpaşa,Ahmet Engin,,,engin-ahmet,A. Engin,M,17,180,26,M,791087,EUR,839548800,M,17,17,True,3.0,2.0,,,,,2.0,4.0,,,,,,,,17.0,5.0,6.6,2.0,1,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
10433972,home,Kasımpaşa,Erdem Canpolat,Erdem Canpolat,,erdem-canpolat,E. Canpolat,G,1,194,88,M,1066726,EUR,987120000,G,22,22,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433972,home,Kasımpaşa,Mehmet Feyzi Yıldırım,,,mehmet-feyzi-yildirim,M. F. Yıldırım,D,26,175,17,M,787897,EUR,822355200,D,23,23,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433972,home,Kasımpaşa,Ryan Donk,,,ryan-donk,R. Donk,D,,192,133,,14900,EUR,512524800,D,4,4,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433972,home,Kasımpaşa,Daniel Graovac,,,daniel-graovac,D. Graovac,D,4,186,248,M,94815,EUR,744768000,D,6,6,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433972,home,Kasımpaşa,Turgay Gemicibaşı,,,turgay-gemicibasi,T. Gemicibaşi,M,8,180,33,M,807398,EUR,830217600,M,81,81,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433972,home,Kasımpaşa,Tunay Torun,,,tunay-torun,T. Torun,M,,176,12,,30241,EUR,640656000,M,8,8,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433972,home,Kasımpaşa,Ali Sühan Demirel,Ali Demirel,,ali-suhan-demirel,A. S. Demirel,F,,182,27,M,1138089,EUR,1041465600,M,99,99,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433972,away,Adana Demirspor,Ertaç Özbir,,,ertac-ozbir,E. Özbir,G,,186,92,M,126077,EUR,625276800,G,25,25,False,44.0,36.0,10.0,3.0,35.0,39.0,1.0,5.0,,1.0,15.0,,7.0,1.0,1.0,90.0,66.0,8.4,8.0,0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,5.0,1.0,
10433972,away,Adana Demirspor,Jonas Svensson,,,jonas-svensson,J. Svensson,D,71,170,1475,M,98199,EUR,731376000,D,22,22,False,30.0,25.0,1.0,1.0,18.0,20.0,7.0,11.0,4.0,1.0,3.0,1.0,,,,90.0,48.0,7.4,7.0,0,1.0,,2.0,1.0,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,3.0,,,,,,,,,,,,,,
10433972,away,Adana Demirspor,Samet Akaydın,,,samet-akaydin,S. Akaydın,D,3,190,969,M,863600,EUR,763516800,D,5,5,False,32.0,25.0,8.0,3.0,18.0,21.0,7.0,11.0,3.0,3.0,3.0,2.0,,,,67.0,42.0,6.7,8.0,0,,,2.0,,,,,2.0,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,
10433972,away,Adana Demirspor,Yaroslav Rakitskyi,,,yaroslav-rakitskyi,Y. Rakitskyi,D,,180,204,M,70797,EUR,618105600,D,44,44,False,70.0,62.0,6.0,4.0,48.0,52.0,14.0,18.0,1.0,3.0,9.0,,,,,90.0,78.0,7.3,9.0,0,,,1.0,,,,,,,,1.0,,,1.0,,4.0,1.0,,,,,,,,,,,,,
10433972,away,Adana Demirspor,Kévin Rodrigues,,,kevin-rodrigues,K. Rodrigues,D,77,169,248,M,234232,EUR,762825600,D,77,77,False,56.0,43.0,6.0,2.0,33.0,37.0,10.0,19.0,9.0,6.0,6.0,1.0,,,,90.0,89.0,7.5,19.0,1,,,5.0,,2.0,1.0,1.0,2.0,5.0,3.0,2.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,
10433972,away,Adana Demirspor,Benjamin Stambouli,,,benjamin-stambouli,B. Stambouli,M,21,180,161,M,105951,EUR,650505600,M,90,90,False,41.0,34.0,5.0,2.0,24.0,28.0,11.0,14.0,4.0,3.0,3.0,1.0,,,,90.0,60.0,7.4,12.0,0,1.0,1.0,3.0,,1.0,,,3.0,2.0,,3.0,,1.0,1.0,,1.0,2.0,,,,,True,,,,,,,,1.0
10433972,away,Adana Demirspor,Badou Ndiaye,,,badou-ndiaye,B. Ndiaye,M,,180,427,M,228342,EUR,656985600,M,17,17,False,44.0,40.0,4.0,2.0,23.0,24.0,17.0,21.0,6.0,1.0,9.0,5.0,,,,90.0,62.0,7.4,10.0,1,1.0,,5.0,1.0,1.0,1.0,,,1.0,,3.0,2.0,3.0,,,,,1.0,,,,,,,,1.0,,,,
10433972,away,Adana Demirspor,Babajide David Akintola,,,babajide-david-akintola,D. Babajide,M,11,178,297,M,798676,EUR,821491200,M,11,11,False,27.0,23.0,4.0,4.0,15.0,16.0,8.0,13.0,2.0,3.0,8.0,,,,,87.0,42.0,7.0,10.0,2,2.0,,7.0,1.0,1.0,3.0,,1.0,,,1.0,3.0,,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,,,
10433972,away,Adana Demirspor,Emre Akbaba,,,emre-akbaba,E. Akbaba,M,8,180,414,M,343527,EUR,718156800,M,20,20,False,20.0,14.0,2.0,1.0,5.0,7.0,10.0,15.0,9.0,,7.0,3.0,,,,78.0,38.0,7.2,12.0,1,2.0,1.0,4.0,,2.0,2.0,1.0,,4.0,2.0,2.0,,,,,,2.0,,,,,,,2.0,,,,,,
