match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_outfielderBlock,stat_wasFouled,stat_errorLeadToAShot,stat_keyPass,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside,player_sofascoreId,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
10388380,home,TSG Hoffenheim,Oliver Baumann,oliver-baumann,O. Baumann,G,1,185,1392,M,40244,EUR,644284800,G,1,1,False,True,51.0,40.0,21.0,10.0,34.0,38.0,6.0,13.0,1.0,1.0,3.0,11.0,3.0,4.0,1.0,90.0,69.0,7.9,14.0,0.0,0.0,0.00124305,0,0.3056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388380,home,TSG Hoffenheim,Ozan Kabak,ozan-kabak,O. Kabak,D,5,185,2402,M,857740,EUR,953942400,D,5,5,False,,58.0,47.0,3.0,,35.0,40.0,12.0,18.0,3.0,7.0,2.0,4.0,,,,90.0,74.0,7.0,14.0,0.0605,0.0,0.00970112,1,,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,
10388380,home,TSG Hoffenheim,Kevin Vogt,kevin-vogt,K. Vogt,D,7,194,163,M,48660,EUR,685584000,D,22,22,False,,49.0,44.0,6.0,3.0,32.0,36.0,12.0,13.0,,2.0,1.0,3.0,,,,90.0,56.0,6.7,6.0,0.0,0.0,0.0143987,0,,1.0,7.0,1.0,,,,,,1.0,,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,
10388380,home,TSG Hoffenheim,Kevin Akpoguma,kevin-akpoguma,K. Akpoguma,D,25,192,335,M,187423,EUR,798249600,D,25,25,False,,60.0,45.0,6.0,1.0,34.0,40.0,11.0,20.0,2.0,7.0,4.0,4.0,,,,90.0,82.0,6.9,18.0,0.097,0.0,0.0572,1,,2.0,7.0,3.0,,1.0,,1.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
10388380,home,TSG Hoffenheim,Pavel Kadeřábek,pavel-kaderabek,P. Kadeřábek,M,3,182,266,M,109296,EUR,704160000,M,3,3,False,,38.0,30.0,4.0,1.0,10.0,13.0,21.0,30.0,1.0,1.0,2.0,6.0,,,,90.0,54.0,6.8,13.0,0.0,0.0,0.0515315,0,,,,,,,,,2.0,,,1.0,,,,,,,,5.0,1.0,,,,,,,,,
10388380,home,TSG Hoffenheim,Grischa Prömel,grischa-promel,G. Prömel,M,6,182,280,M,253993,EUR,789609600,M,6,6,False,,44.0,34.0,6.0,1.0,16.0,19.0,18.0,25.0,2.0,6.0,3.0,6.0,,,,90.0,65.0,6.9,13.0,0.3632,0.3401,0.0458414,3,,1.0,7.0,1.0,1.0,,,1.0,2.0,1.0,1.0,2.0,4.0,,3.0,,,,,,,2.0,,,,,,,,
10388380,home,TSG Hoffenheim,Dennis Geiger,dennis-geiger,D. Geiger,M,8,172,160,M,795004,EUR,897436800,M,8,8,False,,37.0,29.0,2.0,1.0,17.0,20.0,13.0,19.0,1.0,2.0,,7.0,,,,64.0,46.0,6.9,9.0,0.0234,0.0,0.0754373,1,,,,,,,,,,1.0,1.0,,,,,,1.0,,,2.0,1.0,,1.0,,,,,,,
10388380,home,TSG Hoffenheim,Christoph Baumgartner,christoph-baumgartner,C. Baumgartner,M,14,180,2738,M,825956,EUR,933465600,M,14,14,False,,24.0,21.0,1.0,1.0,13.0,15.0,8.0,9.0,1.0,1.0,1.0,6.0,,,,64.0,34.0,6.3,6.0,0.0198,0.0,0.00813893,1,,2.0,4.0,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,
10388380,home,TSG Hoffenheim,Angeliño,angelino,Angeliño,M,3,171,3342,M,848355,EUR,852336000,M,11,11,False,,32.0,22.0,7.0,4.0,10.0,12.0,14.0,29.0,1.0,2.0,3.0,1.0,,,,90.0,59.0,6.9,23.0,0.0,0.0,0.0686564,0,,2.0,4.0,,1.0,1.0,1.0,,,,,2.0,1.0,,,,1.0,,,9.0,2.0,,,,1.0,1.0,,,,
10388380,home,TSG Hoffenheim,Georginio Rutter,rutter-georginio,G. Rutter,M,10,182,3506,M,946695,EUR,1019260800,F,33,33,False,,16.0,10.0,1.0,1.0,3.0,3.0,7.0,13.0,1.0,11.0,,2.0,,,,90.0,39.0,7.0,17.0,0.1075,0.1539,0.0485191,2,,2.0,9.0,,3.0,11.0,8.0,,,,,5.0,1.0,,2.0,,,,,,,1.0,1.0,,,2.0,,,,
