match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,captain,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalContest,stat_wonContest,stat_penaltyConceded,stat_wasFouled,stat_challengeLost,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_lastManTackle,stat_goodHighClaim,stat_ownGoals,player_sofascoreId,stat_penaltyWon
11396336,home,1. FC Heidenheim,Kevin Müller,kevin-muller,K. Müller,G,22,190,180,M,121908,EUR,668995200,G,1,1,False,42.0,37.0,11.0,6.0,35.0,35.0,2.0,7.0,9.0,2.0,1.0,2.0,90.0,47.0,7.0,5.0,0.00168669,0,-0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396336,home,1. FC Heidenheim,Marnon Busch,marnon-busch,M. Busch,D,2,182,76,M,168861,EUR,786844800,D,2,2,False,40.0,35.0,7.0,5.0,18.0,19.0,17.0,24.0,4.0,,,,74.0,61.0,6.9,14.0,0.164939,1,,3.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0344,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11396336,home,1. FC Heidenheim,Patrick Mainka,patrick-mainka,P. Mainka,D,6,194,320,M,254429,EUR,784080000,D,6,6,False,72.0,64.0,3.0,,50.0,53.0,14.0,19.0,5.0,,,,90.0,89.0,6.9,10.0,0.0077856,0,,,4.0,8.0,6.0,8.0,,7.0,,,,1.0,,,True,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
11396336,home,1. FC Heidenheim,Benedikt Gimber,benedikt-gimber,B. Gimber,D,5,185,137,M,798936,EUR,856310400,D,5,5,False,68.0,56.0,10.0,6.0,52.0,58.0,4.0,11.0,3.0,,,,74.0,84.0,6.6,15.0,0.00216094,0,,1.0,,4.0,3.0,9.0,,5.0,2.0,1.0,,2.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
11396336,home,1. FC Heidenheim,Jonas Föhrenbach,jonas-fohrenbach,J. Föhrenbach,D,19,185,79,M,311676,EUR,822614400,D,19,19,False,33.0,24.0,9.0,4.0,15.0,19.0,9.0,16.0,2.0,,,,90.0,54.0,6.1,17.0,0.00843603,1,,2.0,1.0,1.0,7.0,3.0,,2.0,1.0,,3.0,2.0,0.0731,,,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,
11396336,home,1. FC Heidenheim,Eren Dinkçi,eren-dinkci,E. Dinkçi,M,8,188,848,M,1067120,EUR,1008201600,M,8,8,False,26.0,18.0,3.0,2.0,6.0,11.0,14.0,20.0,4.0,,,,90.0,49.0,7.5,19.0,0.123705,3,,5.0,1.0,1.0,4.0,4.0,,,1.0,,7.0,2.0,0.3227,3.0,,,,,1.0,,,3.0,,2.0,,,2.0,1.0,1.0,0.4325,,,,,,,,
11396336,home,1. FC Heidenheim,Jan Schöppner,jan-schoppner,J. Schöppner,M,3,190,163,M,933707,EUR,929145600,M,3,3,False,32.0,26.0,1.0,,14.0,17.0,12.0,16.0,4.0,,,,90.0,39.0,6.3,9.0,0.0450144,0,,1.0,3.0,1.0,6.0,2.0,,1.0,,,1.0,1.0,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
11396336,home,1. FC Heidenheim,Lennard Maloney,lennard-maloney,L. Maloney,M,15,187,256,M,893962,EUR,939340800,M,33,33,False,33.0,32.0,5.0,5.0,15.0,16.0,17.0,18.0,7.0,,,,74.0,43.0,6.6,8.0,0.0323306,0,,1.0,2.0,1.0,5.0,1.0,,,,,3.0,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,
11396336,home,1. FC Heidenheim,Adrian Beck,adrian-beck,A. Beck,M,21,186,112,M,845742,EUR,865814400,M,21,21,False,29.0,23.0,5.0,2.0,12.0,13.0,11.0,16.0,8.0,,,,67.0,38.0,6.3,8.0,0.0270214,0,,,1.0,1.0,5.0,4.0,,1.0,2.0,,,2.0,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
11396336,home,1. FC Heidenheim,Marvin Pieringer,marvin-pieringer,M. Pieringer,F,18,189,327,M,909485,EUR,938995200,F,18,18,False,18.0,13.0,2.0,2.0,3.0,3.0,10.0,16.0,4.0,,,,67.0,34.0,6.9,9.0,0.00893802,1,,1.0,2.0,3.0,8.0,6.0,1.0,1.0,2.0,2.0,,2.0,0.0145,,,3.0,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,,
11396336,home,1. FC Heidenheim,Tim Kleindienst,tim-kleindienst,T. Kleindienst,F,11,194,2514,M,228981,EUR,809827200,F,10,10,False,29.0,21.0,2.0,2.0,5.0,5.0,16.0,24.0,4.0,,,,90.0,41.0,8.4,13.0,0.132929,4,,,8.0,8.0,10.0,8.0,1.0,1.0,,,4.0,3.0,1.1252,1.0,,,,,1.0,,,,,1.0,,,,2.0,1.0,0.9772,1.0,1.0,,,,,,
