match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_wasFouled,captain,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_dispossessed,stat_wonTackle,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_hitWoodwork,stat_goals,stat_goalAssist,stat_errorLeadToAShot,stat_goodHighClaim,stat_totalOffside,player_sofascoreId,stat_ownGoals
11067637,home,Botafogo,Lucas Perri,,,lucas-perri,L. Perri,G,1,196,3423,M,871290,EUR,881712000,G,12,12,False,32.0,25.0,15.0,8.0,21.0,22.0,4.0,10.0,1.0,7.0,1.0,2.0,3.0,1.0,1.0,1.0,90.0,38.0,6.2,9.0,0.0,0.0,0.00075155,0,0.7275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067637,home,Botafogo,Leonel Di Plácido,,,leonel-di-placido,L. Di Plácido,D,24,173,273,M,546338,EUR,759715200,D,24,24,False,57.0,49.0,7.0,5.0,16.0,17.0,35.0,45.0,1.0,10.0,,,,,,,90.0,84.0,7.3,13.0,0.0,0.0,0.0465277,0,,5.0,2.0,1.0,6.0,7.0,2.0,6.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
11067637,home,Botafogo,Adryelson,,,adryelson,Adryelson,D,34,184,1086,M,795261,EUR,890611200,D,34,34,False,52.0,41.0,5.0,2.0,31.0,33.0,10.0,19.0,4.0,2.0,,,,,,,90.0,62.0,6.6,11.0,0.0,0.0,0.00351594,0,,,,2.0,5.0,4.0,1.0,,,,4.0,,,2.0,,3.0,1.0,,,,,,,,,,,,,,,,
11067637,home,Botafogo,Víctor Cuesta,,,victor-cuesta,Víctor Cuesta,D,31,187,553,M,587148,EUR,595900800,D,15,15,False,62.0,53.0,7.0,2.0,47.0,49.0,7.0,15.0,5.0,6.0,,,,,,,90.0,73.0,7.2,10.0,0.2321,0.0,0.361928,2,,2.0,1.0,,,1.0,,,,,1.0,,,,2.0,1.0,,True,1.0,1.0,1.0,,,,,,,,,,,,
11067637,home,Botafogo,Hugo,,,hugo,Hugo,D,16,175,534,M,1018915,EUR,1000944000,D,16,16,False,42.0,36.0,3.0,,11.0,12.0,27.0,35.0,2.0,4.0,,,,,,,90.0,72.0,7.4,15.0,0.0598,0.0,0.0567928,1,,5.0,2.0,3.0,6.0,7.0,,5.0,4.0,,2.0,3.0,2.0,1.0,1.0,,,,,1.0,,1.0,2.0,,,,,,,,,,
11067637,home,Botafogo,Tchê Tchê,,,tche-tche,Tchê Tchê,M,3,175,2494,M,840398,EUR,715132800,M,6,6,False,36.0,32.0,4.0,4.0,9.0,10.0,23.0,28.0,,4.0,,,,,,,89.0,56.0,7.2,12.0,0.0419,0.0274,0.0158294,2,,2.0,,,5.0,9.0,,1.0,,,,4.0,4.0,3.0,,3.0,2.0,,,,,1.0,3.0,2.0,,,,,,,,,
11067637,home,Botafogo,Marlon Freitas,,,marlon-freitas,M. Freitas,M,17,185,3107,M,840202,EUR,796262400,M,17,17,False,82.0,73.0,11.0,9.0,35.0,37.0,38.0,45.0,,10.0,,,,,,,90.0,94.0,7.5,9.0,0.0,0.0,0.0942885,0,,,,,,1.0,,,,,4.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,
11067637,home,Botafogo,Gustavo Sauer,,,gustavo-sauer,Gustavo Sauer,M,7,181,393,M,904505,EUR,736128000,M,10,10,False,12.0,11.0,1.0,,2.0,3.0,10.0,11.0,,1.0,,,,,,,45.0,21.0,6.6,5.0,0.0,0.0,0.0736139,0,,2.0,1.0,,2.0,1.0,,,,,,,2.0,1.0,3.0,,1.0,,,,,1.0,,,,,,,,,,,
11067637,home,Botafogo,Lucas Fernandes,,,lucas-fernandes,Lucas Fernandes,M,33,176,222,M,837871,EUR,874713600,M,18,18,False,15.0,10.0,1.0,,5.0,6.0,5.0,11.0,,2.0,,,,,,,45.0,25.0,6.6,9.0,0.4216,0.3048,0.00550649,4,,2.0,,1.0,2.0,3.0,,,,,,,1.0,1.0,,1.0,2.0,,,1.0,1.0,,,2.0,1.0,1.0,,,,,,,
11067637,home,Botafogo,Victor Sá,,,victor-sa,Victor Sá,M,7,178,521,M,799634,EUR,764726400,M,7,7,False,33.0,24.0,2.0,1.0,9.0,11.0,17.0,25.0,,4.0,,,,,,,75.0,53.0,7.3,13.0,0.5069,0.0368,0.129139,2,,3.0,2.0,3.0,6.0,5.0,1.0,,,,2.0,3.0,1.0,1.0,,1.0,2.0,,,1.0,,1.0,2.0,1.0,1.0,,1.0,,,,,,
