match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_aerialWon,stat_totalContest,stat_wonContest,stat_accurateCross,stat_goals,stat_challengeLost,stat_shotOffTarget,stat_errorLeadToAShot,stat_bigChanceMissed,stat_totalOffside,captain,stat_goodHighClaim,stat_punches,stat_errorLeadToAGoal,stat_outfielderBlock
14429530,home,Al-Hilal,Bono,,,bono,Bono,G,37,195.0,54623,M,BonoY,360938,EUR,670809600.0,G,37,37,False,19.0,17.0,3.0,1.0,0.0,16.0,16.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,90.0,23.0,7.3,2.0,8.307e-05,0.3704,0,0.2326,0.01,0.02,0.13,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14429530,home,Al-Hilal,João Cancelo,,,joao-cancelo,J. Cancelo,D,2,182.0,90162,M,JCancelo,138892,EUR,769996800.0,D,20,20,False,58.0,52.0,4.0,3.0,0.0,30.0,30.0,22.0,28.0,,9.0,,,,,85.0,87.0,7.9,16.0,0.278964,,2,,0.59,0.26,0.18,,2.0,6.0,7.0,3.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,3.0,3.0,0.0841,0.0743,1.0,-0.05,,,,,,,,,,,,,,,,
14429530,home,Al-Hilal,Kalidou Koulibaly,,,kalidou-koulibaly,K. Koulibaly,D,3,187.0,26133,M,kkoulibaly26,126071,EUR,677376000.0,D,3,3,False,68.0,62.0,4.0,1.0,0.0,37.0,38.0,25.0,30.0,3.0,8.0,,,,,90.0,81.0,8.0,7.0,0.0306623,,0,,0.33,0.59,0.25,,,2.0,7.0,,,,,1.0,2.0,2.0,1.0,,,,,,,2.0,4.0,1.0,1.0,,,,,,,,,,,,
14429530,home,Al-Hilal,Hassan Al Tambakti,,,hassan-al-tambakti,H. A. Tambakti,D,87,182.0,1188,M,,881837,EUR,918518400.0,D,87,87,False,63.0,58.0,7.0,4.0,0.0,32.0,35.0,26.0,28.0,2.0,4.0,,,,,90.0,75.0,7.6,5.0,0.0353541,,0,,0.34,0.16,0.31,,,2.0,4.0,,,,,3.0,2.0,2.0,,2.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
14429530,home,Al-Hilal,Moteb Al-Harbi,,,moteb-al-harbi,M. Al-Harbi,D,24,171.0,848,M,,1022679,EUR,950918400.0,D,24,24,False,48.0,43.0,5.0,3.0,0.0,13.0,16.0,30.0,32.0,2.0,5.0,,,,,90.0,71.0,8.1,10.0,0.0241121,,1,,0.16,0.25,0.21,,3.0,4.0,2.0,1.0,,1.0,,,2.0,1.0,,,2.0,0.0318,0.4612,1.0,0.53,1.0,,,,1.0,1.0,,,,,,,,,,
14429530,home,Al-Hilal,Sergej Milinković-Savić,,,sergej-milinkovic-savic,S. Milinković-Savić,M,22,191.0,13384,M,sms,331447,EUR,793843200.0,M,22,22,False,58.0,36.0,5.0,1.0,0.0,21.0,25.0,15.0,33.0,2.0,6.0,,,,,90.0,75.0,7.6,26.0,0.730839,,1,,0.42,0.34,0.18,,2.0,2.0,10.0,,1.0,,1.0,1.0,3.0,2.0,1.0,2.0,1.0,0.055,,2.0,-0.18,,5.0,1.0,,,,,,,,,,,,,
14429530,home,Al-Hilal,Rúben Neves,,,ruben-neves,R. Neves,M,8,181.0,15472,M,rubenneves,280955,EUR,858211200.0,M,8,8,False,92.0,82.0,2.0,2.0,0.0,34.0,36.0,48.0,56.0,2.0,5.0,,,,,90.0,102.0,7.3,14.0,0.484951,,2,,0.46,0.34,-0.19,,3.0,3.0,2.0,,,,1.0,,,,1.0,,1.0,0.0696,,,0.01,,2.0,,,1.0,,2.0,1.0,1.0,,,,,,,
14429530,home,Al-Hilal,Nasser Al-Dawsari,,,nasser-al-dawsari,N. Al-Dawsari,M,16,178.0,1153,M,,872607,EUR,914025600.0,M,16,16,False,29.0,25.0,2.0,1.0,0.0,14.0,17.0,11.0,12.0,1.0,3.0,,,,,79.0,37.0,6.9,7.0,0.0982872,,0,,0.15,0.16,-0.09,,1.0,3.0,3.0,,,,,,3.0,2.0,2.0,,1.0,,,,,,,,,,,2.0,,,,,,,,,
14429530,home,Al-Hilal,Malcom,,,malcom,Malcom,M,10,171.0,13905,M,malcomoliveira_97,551772,EUR,856915200.0,F,10,10,False,30.0,27.0,1.0,,0.0,6.0,6.0,21.0,24.0,,2.0,,,,,79.0,38.0,7.9,5.0,0.836438,,3,,0.44,0.29,0.15,,,1.0,,1.0,2.0,2.0,,,,,1.0,,,0.3406,0.73,2.0,0.48,,,,,,1.0,,1.0,,1.0,,,,,,
14429530,home,Al-Hilal,Darwin Núñez,,,darwin-nunez,D. Núñez,F,7,188.0,70302,M,Darwin,924871,EUR,930182400.0,F,7,7,False,14.0,10.0,2.0,1.0,0.0,5.0,6.0,5.0,8.0,,2.0,,,,,85.0,28.0,5.8,8.0,0.00339193,,3,,-0.36,0.09,0.19,,,5.0,3.0,3.0,,1.0,,,1.0,1.0,,1.0,,0.9632,0.4079,,-0.85,2.0,,1.0,1.0,,,,2.0,,2.0,1.0,,,,,
