match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keyPass,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_challengeLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_wonContest,captain,stat_hitWoodwork,stat_bigChanceCreated,stat_dispossessed,stat_totalOffside,stat_outfielderBlock,stat_errorLeadToAShot
13473423,home,Cruzeiro,Cássio,cassio,Cássio,G,1,195,4592,M,rcassio12,27756,EUR,549936000,G,1,1,False,14.0,12.0,6.0,4.0,0.0,9.0,9.0,3.0,5.0,5.0,1.0,1.0,3.0,90.0,19.0,7.4,2.0,0.00156823,0,0.1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13473423,home,Cruzeiro,Fagner,fagner,Fagner,D,23,168,3781,M,Fagner,25554,EUR,613526400,D,23,23,False,28.0,21.0,6.0,2.0,0.0,7.0,7.0,14.0,21.0,5.0,,,,87.0,72.0,6.8,19.0,0.0745795,1,,9.0,3.0,2.0,1.0,8.0,2.0,3.0,1.0,5.0,2.0,1.0,3.0,0.0373,80.447405873202,14.0,-6.0988083552708,0.0,3.0,,,,,,,,,,,,,,,,,,,,
13473423,home,Cruzeiro,Fabrício Bruno,fabricio-bruno,F. Bruno,D,15,192,6526,M,fabriciobruno96,840220,EUR,824083200,D,15,15,False,41.0,37.0,3.0,2.0,0.0,20.0,21.0,17.0,20.0,1.0,,,,90.0,60.0,7.7,4.0,0.0950097,0,,,,1.0,3.0,1.0,6.0,,,12.0,,1.0,,,137.86031445362,15.0,99.154049481034,1.0,1.0,1.0,2.0,1.0,16.459851086036,20.424185761004,,,,,,,,,,,,,,,
13473423,home,Cruzeiro,Lucas Villalba,lucas-villalba,L. Villalba,D,25,177,1898,M,,260077,EUR,777254400,D,25,25,False,35.0,28.0,8.0,3.0,0.0,16.0,17.0,12.0,18.0,3.0,,,,90.0,56.0,7.1,11.0,0.00755087,5,,3.0,,3.0,3.0,4.0,4.0,,2.0,8.0,1.0,1.0,,0.3585,214.3197557797,14.0,151.50347957411,3.0,,,,,35.866120352498,95.712771448985,1.0,1.0,1.0,2.0,0.075,,,,,,,,,,
13473423,home,Cruzeiro,Kaiki,kaiki,Kaiki,D,6,172,2601,M,,1112484,EUR,1047081600,D,6,6,False,14.0,9.0,1.0,,0.0,4.0,4.0,5.0,10.0,3.0,,,,90.0,41.0,7.5,13.0,0.00988084,2,,2.0,,1.0,1.0,2.0,4.0,,2.0,2.0,3.0,1.0,1.0,0.1589,40.528087590006,5.0,-6.2934971604928,0.0,2.0,3.0,2.0,2.0,,,,,,,,Kaiki,,,,,,,,,
13473423,home,Cruzeiro,Lucas Romero,lucas-romero,L. Romero,M,29,167,2727,M,,263477,EUR,766627200,M,29,29,False,44.0,38.0,3.0,2.0,0.0,16.0,16.0,22.0,28.0,7.0,,,,90.0,65.0,7.3,12.0,0.0680876,0,,2.0,,3.0,,5.0,5.0,3.0,,2.0,3.0,2.0,1.0,,78.202408601657,11.0,65.83562103691,0.0,2.0,3.0,1.0,1.0,,,,,,,,,,2.0,,,,,,,
13473423,home,Cruzeiro,Lucas Silva,lucas-silva,L. Silva,M,16,182,2401,M,,245159,EUR,729820800,M,16,16,False,35.0,32.0,2.0,2.0,0.0,6.0,7.0,26.0,28.0,,,,,90.0,45.0,7.1,7.0,0.0537426,1,,1.0,,1.0,1.0,6.0,5.0,2.0,,,2.0,1.0,3.0,0.1228,132.95272723791,8.0,104.00228304174,3.0,2.0,,2.0,2.0,32.227500348319,80.74903718707,1.0,,,1.0,,,,1.0,True,1.0,,,,,
13473423,home,Cruzeiro,Christian,christian,Christian,M,88,178,1761,M,,981733,EUR,977184000,M,88,88,False,11.0,6.0,1.0,,0.0,,,6.0,11.0,1.0,,,,84.0,32.0,6.5,14.0,0.00863308,4,,,,2.0,1.0,8.0,5.0,4.0,1.0,,5.0,3.0,2.0,0.2249,53.7661607727,7.0,-6.5370097061585,0.0,1.0,,1.0,1.0,,,1.0,,,3.0,,,,,,,,,,,
13473423,home,Cruzeiro,Matheus Pereira,matheus-pereira,M. Pereira,M,10,175,14140,M,matheus_pereira,377238,EUR,831254400,M,10,10,False,36.0,26.0,4.0,2.0,0.0,8.0,9.0,18.0,27.0,3.0,,,,90.0,57.0,7.6,18.0,0.240422,1,,10.0,5.0,,,3.0,6.0,1.0,,,2.0,4.0,,0.013,68.839191173878,10.0,22.052258718563,1.0,2.0,,1.0,1.0,17.899487461047,17.900611051023,3.0,,1.0,,0.0392,,,1.0,,,1.0,,,,
13473423,home,Cruzeiro,Wanderson,wanderson,Wanderson,M,94,175,1923,M,,247483,EUR,781401600,M,94,94,False,11.0,8.0,1.0,1.0,0.0,1.0,2.0,7.0,9.0,3.0,,,,74.0,31.0,5.9,16.0,0.118392,3,,5.0,1.0,,,11.0,1.0,4.0,,1.0,1.0,,2.0,0.3362,45.753578374906,5.0,28.202895402854,1.0,1.0,,,,6.6818535799671,11.412303930408,1.0,1.0,1.0,2.0,0.6272,,,1.0,,,,5.0,,,
