match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_bigChanceCreated,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_unsuccessfulTouch,captain,stat_totalCross,stat_challengeLost,stat_dispossessed,stat_totalContest,player_firstName,player_lastName,stat_wonContest,stat_blockedScoringAttempt,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,player_sofascoreId,stat_goalAssist,stat_goals
10388420,home,SV Werder Bremen,Jiří Pavlenka,jiri-pavlenka,J. Pavlenka,G,1,196,521,M,154040,EUR,703209600,G,1,1,False,20.0,17.0,5.0,3.0,17.0,19.0,1.0,1.0,1.0,16.0,1.0,1.0,2.0,3.0,90.0,41.0,6.8,3.0,0.0,0.0,0.00017406,0,-0.9176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388420,home,SV Werder Bremen,Niklas Stark,niklas-stark,N. Stark,D,4,190,247,M,229544,EUR,797817600,D,4,4,False,110.0,89.0,14.0,6.0,61.0,66.0,44.0,5.0,3.0,8.0,,,,,90.0,128.0,7.5,21.0,0.0663,0.0,0.0772787,1,,28.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10388420,home,SV Werder Bremen,Amos Pieper,amos-pieper,A. Pieper,D,5,191,299,M,851254,EUR,884995200,D,5,5,False,101.0,92.0,8.0,5.0,62.0,64.0,37.0,3.0,2.0,8.0,1.0,,,,90.0,117.0,7.2,11.0,0.0,0.0,0.26097,0,,30.0,2.0,1.0,,,1.0,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
10388420,home,SV Werder Bremen,Marco Friedl,marco-friedl,M. Friedl,D,32,187,536,M,825771,EUR,890006400,D,32,32,False,101.0,86.0,23.0,14.0,53.0,57.0,45.0,8.0,4.0,13.0,2.0,,,,90.0,116.0,7.3,16.0,0.0,0.0,0.15748,0,,33.0,2.0,5.0,,,2.0,4.0,4.0,,,3.0,,,True,1.0,2.0,,,,,,,,,,,,,
10388420,home,SV Werder Bremen,Mitchell Weiser,mitchell-weiser,M. Weiser,M,8,176,1411,M,138150,EUR,766886400,M,8,8,False,34.0,24.0,3.0,3.0,9.0,13.0,22.0,3.0,,6.0,1.0,,,,90.0,66.0,6.2,23.0,0.0,0.0,0.267215,0,,15.0,1.0,6.0,,,1.0,1.0,,,1.0,,,4.0,,1.0,1.0,2.0,3.0,,,,,,,,,,,
10388420,home,SV Werder Bremen,Romano Schmid,romano-schmid,R. Schmid,M,20,168,1020,M,830127,EUR,948931200,M,20,20,False,49.0,38.0,4.0,2.0,18.0,22.0,28.0,4.0,,9.0,1.0,,,,73.0,67.0,6.2,22.0,0.1561,0.0,0.0685776,3,,20.0,2.0,8.0,,2.0,,,,,1.0,2.0,,4.0,,1.0,1.0,3.0,3.0,,,1.0,1.0,,,,,,,
10388420,home,SV Werder Bremen,Christian Groß,christian-gross,C. Groß,D,,182,27,M,40323,EUR,602899200,M,36,36,False,47.0,37.0,4.0,2.0,27.0,31.0,16.0,4.0,1.0,2.0,,,,,73.0,56.0,6.8,10.0,0.0288,0.0,0.0104656,1,,10.0,2.0,2.0,,,2.0,2.0,2.0,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,
10388420,home,SV Werder Bremen,Ilia Gruev,ilia-gruev,I. Gruev,M,44,185,2652,M,911679,EUR,957571200,M,28,28,False,40.0,34.0,2.0,1.0,20.0,22.0,18.0,1.0,1.0,3.0,,,,,62.0,42.0,6.6,7.0,0.0,0.0,0.0402177,0,,14.0,1.0,2.0,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,
10388420,home,SV Werder Bremen,Anthony Jung,anthony-jung,A. Jung,D,5,186,138,M,103442,EUR,689126400,M,3,3,False,44.0,37.0,4.0,1.0,25.0,28.0,17.0,4.0,2.0,3.0,,,,,73.0,62.0,6.6,13.0,0.0845,0.0,0.145955,2,,13.0,1.0,8.0,,1.0,1.0,3.0,3.0,,3.0,3.0,,2.0,,1.0,1.0,1.0,3.0,,,,1.0,1.0,,,,,,
10388420,home,SV Werder Bremen,Marvin Ducksch,marvin-ducksch,M. Ducksch,F,33,187,1088,M,258325,EUR,762998400,F,7,7,False,37.0,23.0,3.0,1.0,9.0,11.0,33.0,2.0,,5.0,2.0,,,,90.0,55.0,6.8,26.0,0.3767,0.1549,0.147103,2,,15.0,,2.0,,,,,,,2.0,1.0,,4.0,,7.0,1.0,,,,,,,1.0,1.0,2.0,1.0,,,
10388420,home,SV Werder Bremen,Niclas Füllkrug,niclas-fullkrug,N. Füllkrug,F,9,188,9884,M,132645,EUR,729216000,F,11,11,False,33.0,24.0,1.0,,10.0,10.0,25.0,5.0,,6.0,,,,,90.0,52.0,6.9,18.0,0.2758,0.0,0.0260744,3,,14.0,3.0,7.0,,3.0,,,,2.0,1.0,2.0,,4.0,,2.0,,2.0,3.0,,,2.0,,,,,,niclas.fuellkrug24,,
