match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_totalContest,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_penaltyWon,stat_errorLeadToAShot,stat_blockedScoringAttempt,stat_dispossessed,captain,stat_goalAssist,stat_bigChanceCreated,stat_goodHighClaim,stat_penaltyFaced,stat_wonContest,stat_penaltyConceded,stat_bigChanceMissed,stat_totalOffside
11396433,home,SC Freiburg,Noah Atubolu,noah-atubolu,N. Atubolu,G,1,190,1842,M,980626,EUR,1022284800,G,1,1,False,49.0,30.0,27.0,8.0,24.0,25.0,6.0,24.0,1.0,1.0,1.0,12.0,2.0,3.0,1.0,90.0,58.0,7.4,19.0,0.0,0.0,0.00400427,0,0.5722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396433,home,SC Freiburg,Matthias Ginter,matthias-ginter,M. Ginter,D,28,189,887,M,142259,EUR,758937600,D,28,28,False,36.0,29.0,2.0,1.0,21.0,25.0,8.0,11.0,5.0,9.0,6.0,1.0,,,,90.0,54.0,7.4,7.0,0.0,0.0,0.00236802,0,,3.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11396433,home,SC Freiburg,Philipp Lienhart,philipp-lienhart,P. Lienhart,D,3,189,690,M,576266,EUR,837043200,D,3,3,False,78.0,63.0,14.0,5.0,52.0,56.0,11.0,22.0,1.0,4.0,3.0,7.0,,,,90.0,95.0,7.8,18.0,0.1203,0.2056,0.0030796,2,,2.0,3.0,,,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
11396433,home,SC Freiburg,Kiliann Sildillia,kiliann-sildillia,K. Sildillia,D,25,186,666,M,1014222,EUR,1021507200,D,25,25,False,44.0,28.0,5.0,2.0,22.0,33.0,6.0,11.0,,2.0,4.0,5.0,,,,90.0,66.0,6.6,25.0,0.0,0.0,0.00217579,0,,2.0,6.0,,,2.0,1.0,,,,,,1.0,2.0,3.0,,,1.0,,,,,,,,,,,,,,,,
11396433,home,SC Freiburg,Roland Sallai,roland-sallai,R. Sallai,F,7,182,8489,M,355088,EUR,864259200,M,22,22,False,28.0,20.0,3.0,,14.0,18.0,7.0,14.0,2.0,4.0,5.0,4.0,,,,89.0,41.0,7.0,12.0,0.0,0.0,0.00819877,0,,1.0,4.0,1.0,,,,2.0,,,,,,,1.0,,,1.0,rolandsallai,4.0,1.0,1.0,,,,,,,,,,,,
11396433,home,SC Freiburg,Yannik Keitel,yannik-keitel,Y. Keitel,M,14,186,246,M,877842,EUR,950572800,M,14,14,False,8.0,7.0,,,4.0,5.0,3.0,3.0,,,,3.0,,,,20.0,9.0,6.3,1.0,0.0,0.0,0.0040071,0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
11396433,home,SC Freiburg,Maximilian Eggestein,maximilian-eggestein,M. Eggestein,M,8,181,429,M,569784,EUR,850003200,M,8,8,False,63.0,52.0,4.0,,33.0,37.0,19.0,26.0,3.0,5.0,2.0,10.0,,,,90.0,76.0,7.0,12.0,0.0253,0.0,0.0244057,1,,3.0,7.0,2.0,3.0,2.0,1.0,,,,,,1.0,1.0,3.0,,,,,,,,,1.0,,,,,,,,,,
11396433,home,SC Freiburg,Lukas Kübler,lukas-kubler,L. Kübler,D,17,183,237,M,142525,EUR,715132800,M,17,17,False,33.0,28.0,3.0,1.0,19.0,21.0,9.0,12.0,1.0,9.0,1.0,6.0,,,,90.0,57.0,6.8,10.0,0.0,0.0,0.00682649,0,,2.0,5.0,1.0,,5.0,1.0,3.0,,,,,2.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,
11396433,home,SC Freiburg,Ritsu Doan,ritsu-doan,R. Doan,M,20,172,5674,M,790965,EUR,897955200,F,42,42,False,15.0,10.0,,,3.0,5.0,7.0,12.0,,,1.0,1.0,,,,73.0,30.0,6.8,12.0,0.0292,0.0165,0.0193347,1,,,2.0,,1.0,,,,1.0,,1.0,,,3.0,,,,1.0,doanritsu,2.0,,,,,1.0,,,,,,,,,
11396433,home,SC Freiburg,Vincenzo Grifo,vincenzo-grifo,V. Grifo,M,32,181,2068,M,171961,EUR,734140800,F,32,32,False,27.0,17.0,4.0,2.0,9.0,14.0,9.0,19.0,,4.0,,6.0,,,,73.0,46.0,8.0,19.0,0.8504,0.9904,0.0701603,3,,2.0,4.0,,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,,,,1.0,,6.0,1.0,,,1.0,1.0,True,1.0,1.0,,,,,,
11396433,home,SC Freiburg,Lucas Höler,lucas-holer,L. Höler,F,9,184,586,M,280009,EUR,773798400,F,9,9,False,27.0,18.0,1.0,,6.0,8.0,12.0,19.0,3.0,6.0,1.0,4.0,,,,88.0,33.0,6.9,11.0,0.0,0.0,0.0681286,0,,5.0,5.0,,,2.0,2.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
11396433,home,SC Freiburg,Merlin Röhl,merlin-rohl,M. Röhl,M,34,191,736,M,1064082,EUR,1025827200,M,34,34,True,24.0,22.0,,,10.0,10.0,12.0,14.0,1.0,7.0,3.0,8.0,,,,70.0,42.0,6.7,7.0,0.0,0.0,0.0248524,0,,1.0,10.0,4.0,,2.0,2.0,4.0,1.0,,,,,2.0,2.0,,,3.0,,,,,,,,,,,,,,,,
11396433,home,SC Freiburg,Junior Adamu,chukwubuike-adamu,J. Adamu,F,9,183,1129,M,902381,EUR,991785600,F,20,20,True,5.0,3.0,,,1.0,1.0,2.0,5.0,1.0,4.0,,,,,,17.0,12.0,6.6,6.0,0.0,0.0,0.00102431,0,,,2.0,1.0,,3.0,,,,,,,,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,
11396433,home,SC Freiburg,Maximilian Philipp,maximilian-philipp,M. Philipp,F,26,184,492,M,171927,EUR,762480000,F,26,26,True,11.0,9.0,1.0,,4.0,6.0,5.0,6.0,,1.0,,,,,,17.0,14.0,6.5,4.0,0.0,0.0,0.0116456,0,,1.0,2.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,
11396433,home,SC Freiburg,Michael Gregoritsch,michael-gregoritsch,M. Gregoritsch,F,38,193,1525,M,111483,EUR,766627200,F,38,38,True,5.0,4.0,,,1.0,1.0,3.0,4.0,,,1.0,,,,,2.0,7.0,,1.0,0.0,0.0,0.00936653,0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396433,home,SC Freiburg,Manuel Gulde,manuel-gulde,M. Gulde,D,,184,63,M,71952,EUR,666316800,D,5,5,True,,,,,,,,,1.0,2.0,,,,,,1.0,3.0,,,0.0,0.0,0.0,0,,1.0,2.0,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
11396433,home,SC Freiburg,Florian Müller,florian-muller,F. Müller,G,21,190,205,M,842858,EUR,879379200,G,21,21,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396433,home,SC Freiburg,Kenneth Schmidt,kenneth-schmidt,K. Schmidt,D,4,186,130,M,1063364,EUR,1023062400,D,4,4,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,Kenneth Schmidt,,,,,,,,,,,,,,,,,,
11396433,home,SC Freiburg,Fabian Rudlin,fabian-rudlin,F. Rudlin,M,35,176,11,M,846458,EUR,853113600,M,35,35,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
