match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_clearanceOffLine,stat_outfielderBlock,stat_wonTackle,stat_challengeLost,stat_aerialLost,player_firstName,player_lastName,stat_goalAssist,stat_shotOffTarget,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_accurateCross,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_penaltyMiss,stat_penaltyWon
11174459,home,South Georgia Tormenta FC,Pablo Jara,pablo-jara,P. Jara,G,1,182.0,16,M,935721,EUR,765244800.0,G,1,1,False,True,44.0,26.0,25.0,7.0,21.0,22.0,5.0,22.0,1.0,9.0,2.0,2.0,1.0,1.0,3.0,90.0,53.0,7.3,18.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11174459,home,South Georgia Tormenta FC,Tobias Otieno,tobias-otieno,T. Otieno,M,,179.0,10,M,1019820,EUR,909273600.0,D,5,5,False,,37.0,31.0,2.0,1.0,18.0,19.0,13.0,19.0,5.0,5.0,,,,,,90.0,68.0,6.1,13.0,0,1.0,1.0,8.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,
11174459,home,South Georgia Tormenta FC,Daltyn Knutson,daltyn-knutson,D. Knutson,D,13,187.0,4,M,981107,EUR,857174400.0,D,13,13,False,,51.0,41.0,12.0,4.0,34.0,38.0,7.0,13.0,5.0,6.0,,,,,,90.0,62.0,7.5,10.0,0,,,,3.0,,,,,3.0,,,,,1.0,2.0,3.0,,,,,,,,,,,,,,,,,
11174459,home,South Georgia Tormenta FC,Preston Kilwien,preston-kilwien,P. Kilwien,D,4,193.0,7,M,1025259,EUR,848880000.0,D,23,23,False,,66.0,59.0,10.0,3.0,55.0,56.0,4.0,10.0,4.0,2.0,,,,,,90.0,75.0,6.8,7.0,0,,,1.0,1.0,,,,,1.0,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
11174459,home,South Georgia Tormenta FC,Deshawon Nembhard,deshawon-nembhard,D. Nembhard,D,,185.0,7,M,1019798,EUR,781574400.0,D,12,12,False,,29.0,21.0,6.0,3.0,15.0,17.0,6.0,12.0,1.0,5.0,,,,,,90.0,48.0,6.8,12.0,0,,3.0,3.0,4.0,,1.0,,1.0,1.0,1.0,,,,,2.0,1.0,,2.0,,,,,,,,,,,,,,,
11174459,home,South Georgia Tormenta FC,Elijah Amo,elijah-amo,E. Amo,F,,178.0,3,,1198908,EUR,918000000.0,M,17,17,False,,10.0,7.0,2.0,,4.0,6.0,3.0,5.0,,5.0,,,,,,58.0,16.0,6.4,7.0,0,1.0,,3.0,1.0,,,,,,3.0,,1.0,,,,,,3.0,Elijah Amo,,,,,,,,,,,,,,
11174459,home,South Georgia Tormenta FC,Christopher Heckenberg,christopher-heckenberg,C. Heckenberg,M,8,183.0,6,M,1198620,EUR,903139200.0,M,21,21,False,,30.0,27.0,1.0,,25.0,26.0,2.0,4.0,4.0,2.0,,,,,,64.0,42.0,6.7,6.0,0,,1.0,3.0,1.0,1.0,,,2.0,,2.0,,,1.0,,2.0,,1.0,,Christopher Heckenberg,,,,,,,,,,,,,,
11174459,home,South Georgia Tormenta FC,Mukwelle Akale,mukwelle-akale,M. Akale,M,11,162.0,16,M,965033,EUR,853545600.0,M,7,7,False,,23.0,19.0,2.0,1.0,8.0,8.0,11.0,15.0,,4.0,,,,,,90.0,38.0,7.1,8.0,1,,1.0,4.0,9.0,,4.0,3.0,,,3.0,,5.0,2.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,
11174459,home,South Georgia Tormenta FC,John Murphy,john-murphy,J. Murphy,M,6,178.0,6,M,983004,EUR,956102400.0,M,6,6,False,,20.0,14.0,4.0,1.0,9.0,12.0,5.0,8.0,2.0,5.0,,,,,,58.0,40.0,7.3,11.0,1,,,4.0,6.0,2.0,3.0,2.0,1.0,2.0,1.0,,2.0,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
11174459,home,South Georgia Tormenta FC,Jackson Khoury,jackson-khoury,J. Khoury,F,48,183.0,52,M,1478180,EUR,1034467200.0,M,11,11,False,,21.0,14.0,3.0,1.0,9.0,11.0,5.0,11.0,,9.0,,,,,,75.0,39.0,6.8,14.0,0,1.0,,6.0,7.0,3.0,4.0,3.0,,4.0,2.0,,,2.0,,,2.0,1.0,,Jackson Khoury,,,,,,,,,,,,,,
