match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_duelWon,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_goalAssist,stat_aerialWon,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_wasFouled,stat_fouls,stat_totalOffside,stat_challengeLost,stat_accurateCross,stat_wonContest,stat_blockedScoringAttempt,stat_unsuccessfulTouch,captain,stat_penaltyFaced,stat_penaltyConceded,stat_bigChanceCreated,player_sofascoreId
10433976,home,Kasımpaşa,Erdem Canpolat,Erdem Canpolat,,erdem-canpolat,E. Canpolat,G,1,194,88,M,1066726,EUR,987120000,G,22,22,False,30.0,18.0,15.0,3.0,15.0,19.0,3.0,11.0,1.0,9.0,3.0,2.0,2.0,1.0,90.0,43.0,6.7,14.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433976,home,Kasımpaşa,Florent Hadergjonaj,,,florent-hadergjonaj,F. Hadergjonaj,D,94,183,410,M,354860,EUR,775612800,D,94,94,False,28.0,18.0,5.0,2.0,9.0,11.0,9.0,18.0,2.0,4.0,,,,,67.0,37.0,6.8,12.0,,1,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
10433976,home,Kasımpaşa,Daniel Graovac,,,daniel-graovac,D. Graovac,D,4,186,248,M,94815,EUR,744768000,D,6,6,False,42.0,36.0,5.0,2.0,28.0,31.0,8.0,11.0,3.0,4.0,,,,,80.0,54.0,6.8,8.0,,1,,,,1.0,,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,
10433976,home,Kasımpaşa,Ryan Donk,,,ryan-donk,R. Donk,D,,192,133,,14900,EUR,512524800,D,4,4,False,42.0,29.0,9.0,5.0,18.0,22.0,11.0,20.0,5.0,10.0,,,,,90.0,61.0,7.1,15.0,1.0,1,,3.0,6.0,,,5.0,8.0,,,,1.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,
10433976,home,Kasımpaşa,Yasin Özcan,,,yasin-ozcan,Y. Özcan,D,58,185,1802,M,1392102,EUR,1145491200,D,58,58,False,36.0,30.0,5.0,3.0,19.0,22.0,11.0,15.0,1.0,5.0,,,,,90.0,50.0,6.5,10.0,,0,1.0,1.0,5.0,,,1.0,3.0,2.0,1.0,,,2.0,1.0,,,,2.0,,1.0,,,,,,,,,
10433976,home,Kasımpaşa,Mickael Tirpan,,,mickael-tirpan,M. Tirpan,D,25,177,58,M,800340,EUR,751334400,M,24,24,False,48.0,37.0,3.0,1.0,18.0,19.0,20.0,31.0,1.0,11.0,,,,,90.0,72.0,6.8,17.0,1.0,1,2.0,,5.0,,,,12.0,,2.0,1.0,,2.0,3.0,4.0,,4.0,1.0,,1.0,1.0,4.0,1.0,1.0,,,,,
10433976,home,Kasımpaşa,Mortadha Ben Ouanes,,,mortadha-ben-ouanes,M. B. Ouanes,M,12,182,1246,M,919225,EUR,773107200,M,12,12,False,23.0,17.0,2.0,,3.0,4.0,15.0,22.0,3.0,2.0,,,,,90.0,44.0,6.4,14.0,2.0,0,3.0,3.0,5.0,,,,3.0,,1.0,,,2.0,1.0,1.0,,,,4.0,,1.0,,,4.0,,,,,
10433976,home,Kasımpaşa,Haris Hajradinović,,,haris-hajradinovic,H. Hajradinović,M,10,179,1215,M,254979,EUR,761529600,M,10,10,False,30.0,20.0,3.0,3.0,5.0,7.0,17.0,26.0,,5.0,,,,,73.0,45.0,6.9,14.0,1.0,1,3.0,1.0,3.0,1.0,,,2.0,,1.0,,,,,2.0,,,1.0,,,2.0,1.0,,,True,,,,
10433976,home,Kasımpaşa,Valentin Eysseric,,,valentin-eysseric,V. Eysseric,M,,181,141,M,139798,EUR,701481600,M,13,13,False,73.0,51.0,17.0,8.0,21.0,25.0,30.0,51.0,,10.0,,,,,90.0,90.0,6.5,28.0,1.0,3,3.0,3.0,8.0,,,,8.0,,,,,5.0,1.0,1.0,1.0,2.0,3.0,,1.0,,1.0,2.0,1.0,,,,,
10433976,home,Kasımpaşa,Ahmet Engin,,,engin-ahmet,A. Engin,M,17,180,26,M,791087,EUR,839548800,M,17,17,False,16.0,12.0,,,4.0,4.0,8.0,14.0,1.0,2.0,,,,,73.0,26.0,6.2,9.0,,0,2.0,,3.0,,,,2.0,,,,,,1.0,2.0,,1.0,1.0,1.0,,,1.0,,1.0,,,,,
10433976,home,Kasımpaşa,Stéphane Bahoken,,,stephane-bahoken,S. Bahoken,F,,185,234,M,153220,EUR,707011200,F,19,19,False,12.0,9.0,,,5.0,5.0,4.0,8.0,,,,,,,90.0,23.0,7.1,8.0,,2,1.0,6.0,11.0,1.0,1.0,1.0,5.0,,,,,4.0,3.0,,1.0,1.0,3.0,2.0,,,,,1.0,,,,,
10433976,home,Kasımpaşa,Bersant Celina,,,bersant-celina,B. Celina,M,10,181,399,M,281013,EUR,842227200,M,59,59,True,11.0,9.0,,,1.0,2.0,8.0,9.0,1.0,1.0,,,,,23.0,15.0,6.6,4.0,1.0,0,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,
10433976,home,Kasımpaşa,Yunus Malli,,,yunus-malli,Y. Malli,M,,179,114,M,136262,EUR,698889600,M,11,11,True,11.0,6.0,1.0,,4.0,4.0,2.0,7.0,,2.0,,,,,17.0,16.0,6.8,5.0,,0,,1.0,1.0,,,,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,
10433976,home,Kasımpaşa,Berat Kalkan,Berat Kalkan,,berat-kalkan,B. Kalkan,F,,171,32,M,1063358,EUR,1046563200,M,41,41,True,4.0,2.0,1.0,,2.0,2.0,,4.0,,2.0,,,,,17.0,12.0,6.6,4.0,,1,2.0,1.0,2.0,,,,3.0,,,,,,,,,3.0,1.0,,,,,1.0,,,,,,
10433976,home,Kasımpaşa,Ali Sühan Demirel,Ali Demirel,,ali-suhan-demirel,A. S. Demirel,F,,182,27,M,1138089,EUR,1041465600,M,99,99,True,3.0,2.0,,,,,2.0,3.0,,,,,,,10.0,5.0,6.6,2.0,,1,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,
10433976,home,Kasımpaşa,Ertuğrul Taşkıran,,,ertugrul-taskiran,E. Taşkıran,G,1,191,137,M,105974,EUR,626227200,G,1,1,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
