match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_penaltyFaced,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_wasFouled,stat_fouls,stat_aerialLost,stat_bigChanceCreated,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialWon,stat_shotOffTarget,stat_interceptionWon,stat_expectedGoals,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_outfielderBlock,stat_totalOffside,stat_expectedGoalsOnTarget,stat_accurateCross,stat_goals,stat_penaltyConceded,stat_wonContest,stat_blockedScoringAttempt,captain,stat_penaltyWon,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_saves,stat_keeperSaveValue,stat_goalkeeperValueNormalized
14771898,home,Al-Hilal,Bono,,,bono,Bono,G,37,195.0,54623,M,BonoY,360938,EUR,670809600.0,G,37,37,False,23.0,16.0,9.0,2.0,0.0,15.0,17.0,1.0,6.0,2.0,1.0,1.0,90.0,23.0,6.3,7.0,0.00023377,0,-0.1013,0.01,0.0,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771898,home,Al-Hilal,Nasser Al-Dawsari,,,nasser-al-dawsari,N. Al-Dawsari,M,16,178.0,1153,M,,872607,EUR,914025600.0,D,16,16,False,49.0,45.0,2.0,2.0,0.0,12.0,12.0,33.0,37.0,4.0,,,79.0,74.0,6.4,12.0,0.110992,0,,0.25,0.27,-0.22,4.0,7.0,5.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771898,home,Al-Hilal,Kalidou Koulibaly,,,kalidou-koulibaly,K. Koulibaly,D,3,187.0,26133,M,kkoulibaly26,126071,EUR,677376000.0,D,3,3,False,61.0,55.0,6.0,3.0,1.0,26.0,26.0,29.0,35.0,10.0,,,90.0,80.0,7.9,8.0,0.355709,0,,0.44,0.17,0.31,,3.0,6.0,1.0,,,6.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14771898,home,Al-Hilal,Ali Albulayhi,,,ali-albulayhi,A. Albulayhi,D,3,182.0,1057,M,,1138857,EUR,627609600.0,D,5,5,False,33.0,27.0,1.0,1.0,0.0,21.0,25.0,6.0,8.0,4.0,,,76.0,42.0,6.5,7.0,0.00107763,1,,0.04,0.03,-0.17,,,3.0,,,,2.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,0.0842,-0.22,,,,,,,,,,,,,,,,,
14771898,home,Al-Hilal,Theo Hernández,,,theo-hernandez,T. Hernández,D,19,184.0,26472,M,TheoHdez,788027,EUR,876096000.0,D,19,19,False,47.0,40.0,1.0,1.0,0.0,11.0,12.0,29.0,35.0,5.0,,,90.0,79.0,6.6,18.0,0.163023,1,,0.05,0.22,-0.06,3.0,6.0,4.0,,2.0,2.0,3.0,2.0,1.0,1.0,1.0,,2.0,4.0,1.0,1.0,,3.0,0.052,0.03,1.0,1.0,1.0,1.0,0.0895,,,,,,,,,,,,
14771898,home,Al-Hilal,Rúben Neves,,,ruben-neves,R. Neves,M,8,181.0,15472,M,rubenneves,280955,EUR,858211200.0,M,8,8,False,69.0,59.0,12.0,8.0,0.0,23.0,24.0,36.0,45.0,5.0,,,90.0,89.0,7.6,16.0,0.327043,2,,0.46,0.28,-0.33,11.0,2.0,3.0,,,,1.0,2.0,1.0,1.0,1.0,,2.0,,3.0,1.0,,,0.8019,0.31,2.0,,,,0.871,5.0,1.0,1.0,,,,,,,,,
14771898,home,Al-Hilal,Malcom,,,malcom,Malcom,M,10,171.0,13905,M,malcomoliveira_97,551772,EUR,856915200.0,M,10,10,False,43.0,37.0,2.0,2.0,0.0,5.0,5.0,32.0,38.0,4.0,,,90.0,58.0,7.6,12.0,0.64091,2,,0.61,0.42,-0.02,3.0,3.0,3.0,,1.0,2.0,1.0,,2.0,,1.0,1.0,,2.0,1.0,,1.0,,0.1728,-0.06,1.0,1.0,,,0.2036,1.0,,,1.0,,,,,,,,
14771898,home,Al-Hilal,Sergej Milinković-Savić,,,sergej-milinkovic-savic,S. Milinković-Savić,M,22,191.0,13384,M,sms,331447,EUR,793843200.0,M,22,22,False,41.0,32.0,2.0,2.0,0.0,6.0,6.0,26.0,35.0,4.0,,,90.0,69.0,7.2,15.0,0.163983,4,,0.37,0.22,0.17,1.0,9.0,8.0,,3.0,1.0,2.0,2.0,3.0,1.0,4.0,,2.0,,2.0,3.0,1.0,1.0,0.2085,-0.03,2.0,,,1.0,0.4025,,,,,1.0,,,,,,,
14771898,home,Al-Hilal,Mohamed Kanno,,,mohamed-kanno,M. Kanno,M,28,191.0,1575,M,,828524,EUR,780192000.0,M,28,28,False,54.0,43.0,3.0,3.0,0.0,14.0,17.0,29.0,37.0,4.0,,,76.0,69.0,6.5,16.0,0.14186,2,,-0.27,-0.06,-0.01,1.0,4.0,5.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,2.0,3.0,1.0,,0.0646,-0.19,1.0,,,,0.3551,,,,,,,,,,,,
14771898,home,Al-Hilal,Salem Al-Dawsari,,,salem-al-dawsari,S. Al-Dawsari,M,29,171.0,11126,M,29salem,160893,EUR,682560000.0,M,29,29,False,32.0,27.0,2.0,1.0,0.0,5.0,5.0,22.0,27.0,3.0,,,89.0,58.0,7.1,15.0,0.134541,3,,-0.19,0.33,-0.01,1.0,6.0,8.0,,1.0,4.0,1.0,3.0,4.0,1.0,,,2.0,2.0,,1.0,1.0,,0.2019,-0.32,,,,,,,,,,2.0,True,1.0,,,,,
