match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_hitWoodwork,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_challengeLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_dispossessed,stat_interceptionWon,stat_totalCross,stat_blockedScoringAttempt,stat_accurateCross,captain,stat_bigChanceMissed,stat_totalOffside,stat_goodHighClaim,player_sofascoreId,stat_errorLeadToAShot,stat_goalAssist,stat_bigChanceCreated,stat_goals
11450096,home,İstanbulspor,Alp Arda,,,alp-arda,A. Arda,G,59,192,35,M,999485,EUR,802483200,G,59,59,False,27.0,17.0,15.0,5.0,15.0,17.0,2.0,10.0,1.0,1.0,8.0,3.0,4.0,1.0,1.0,90.0,38.0,6.8,10.0,0.00095677,0,-0.8061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450096,home,İstanbulspor,Okan Erdoğan,,,okan-erdogan,O. Erdoğan,D,3,185,54,M,881213,EUR,907027200,D,23,23,False,45.0,36.0,6.0,2.0,19.0,21.0,17.0,24.0,1.0,4.0,7.0,,,,,90.0,68.0,6.9,13.0,0.0329736,1,,5.0,10.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0621,1.0,,,,,,,,,,,,,,,,,,
11450096,home,İstanbulspor,Modestas Vorobjovas,,,modestas-vorobjovas,M. Vorobjovas,M,6,177,70,M,319751,EUR,820281600,D,6,6,False,39.0,30.0,6.0,1.0,18.0,23.0,12.0,16.0,1.0,4.0,3.0,,,,,90.0,51.0,6.7,10.0,0.0139564,1,,2.0,4.0,,,,,2.0,2.0,1.0,1.0,,1.0,0.0436,,2.0,1.0,1.0,0.0878,,,,,,,,,,,,,,
11450096,home,İstanbulspor,Racine Coly,,,racine-coly,R. Coly,D,,185,81,M,553454,EUR,818380800,D,13,13,False,53.0,45.0,9.0,6.0,34.0,40.0,11.0,13.0,,2.0,8.0,,,,,90.0,61.0,6.8,9.0,0.00723432,0,,1.0,4.0,,,,,1.0,2.0,2.0,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,
11450096,home,İstanbulspor,David Sambissa,,,david-sambissa,D. Sambissa,M,7,177,220,M,280459,EUR,821318400,M,7,7,False,27.0,22.0,3.0,2.0,5.0,6.0,17.0,27.0,,3.0,2.0,,,,,66.0,52.0,7.5,16.0,0.209184,3,,1.0,5.0,2.0,,1.0,,,3.0,3.0,1.0,1.0,,0.1298,2.0,,2.0,,0.105,1.0,1.0,6.0,,,,,,,,,,,
11450096,home,İstanbulspor,Jackson,,,jackson,Jackson,M,,178,61,M,911351,EUR,924912000,M,99,99,False,26.0,23.0,3.0,3.0,11.0,12.0,12.0,16.0,,7.0,3.0,,,,,58.0,44.0,6.4,9.0,0.04592,1,,,8.0,4.0,3.0,,,,2.0,,2.0,3.0,1.0,0.0332,,4.0,,,,1.0,1.0,2.0,1.0,,,,,,,,,,
11450096,home,İstanbulspor,Florian Loshaj,,,florian-loshaj,F. Loshaj,M,10,174,152,M,831407,EUR,839894400,M,34,34,False,29.0,26.0,2.0,2.0,13.0,14.0,15.0,17.0,1.0,6.0,,,,,,80.0,44.0,6.9,6.0,0.0487608,2,,1.0,4.0,2.0,1.0,,,,,,2.0,2.0,2.0,0.1755,1.0,2.0,1.0,,0.0334,,1.0,2.0,1.0,2.0,,,,,,,,,
11450096,home,İstanbulspor,Ali Yaşar,,,ali-yasar,A. Yaşar,D,66,180,31,M,190815,EUR,794620800,M,66,66,False,47.0,41.0,6.0,4.0,20.0,21.0,21.0,28.0,,1.0,4.0,,,,,90.0,66.0,7.5,9.0,0.0286808,4,,,2.0,1.0,1.0,3.0,,3.0,,,1.0,1.0,,0.1262,2.0,1.0,1.0,,0.2575,,2.0,2.0,,,True,,,,,,,,
11450096,home,İstanbulspor,Mendy Mamadou,,,mendy-mamadou,M. Mamadou,M,66,185,525,M,929718,EUR,907459200,F,12,12,False,34.0,28.0,2.0,1.0,7.0,10.0,22.0,25.0,2.0,5.0,6.0,,,,,90.0,51.0,6.9,9.0,0.0530504,1,,,7.0,2.0,2.0,,,1.0,1.0,1.0,1.0,4.0,2.0,0.1203,,,1.0,,0.1171,2.0,,1.0,,1.0,,1.0,1.0,,,,,,
11450096,home,İstanbulspor,Emir Kaan Gültekin,,,emir-kaan-gultekin,E. K. Gültekin,F,9,180,80,M,903714,EUR,970444800,F,19,19,False,37.0,31.0,3.0,3.0,9.0,12.0,22.0,27.0,2.0,5.0,4.0,,,,,81.0,48.0,6.6,12.0,0.0427407,1,,,,1.0,,,,1.0,,,2.0,,1.0,0.0388,1.0,,,,,1.0,,2.0,1.0,,,,,,,,,,
11450096,home,İstanbulspor,Emrehan Gedikli,,,emrehan-gedikli,E. Gedikli,F,9,185,198,M,997130,EUR,1051228800,F,9,9,False,20.0,16.0,,,6.0,6.0,10.0,14.0,,3.0,,,,,,66.0,29.0,6.8,9.0,0.0494103,0,,,2.0,1.0,,,,1.0,2.0,2.0,2.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,
