match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_goalAssist,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_keyPass,captain,stat_aerialLost,stat_aerialWon,stat_wasFouled,stat_fouls,stat_wonTackle,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalCross,stat_outfielderBlock,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_accurateCross,player_sofascoreId,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle,stat_bigChanceMissed
11703865,home,1. FC Saarbrücken,Tim Schreiber,,,tim-schreiber,T. Schreiber,G,1,191,113,M,980615,EUR,1019606400,G,1,1,False,30.0,15.0,25.0,10.0,9.0,12.0,6.0,18.0,1.0,13.0,3.0,6.0,90.0,39.0,7.5,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11703865,home,1. FC Saarbrücken,Lukas Boeder,,,lukas-boeder,L. Boeder,D,29,184,39,M,295111,EUR,861321600,D,29,29,False,19.0,14.0,4.0,1.0,8.0,8.0,6.0,11.0,2.0,2.0,,,90.0,26.0,7.1,6.0,0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11703865,home,1. FC Saarbrücken,Manuel Zeitz,,,manuel-zeitz,M. Zeitz,M,8,180,12,M,84223,EUR,649468800,D,8,8,False,14.0,12.0,5.0,3.0,9.0,10.0,3.0,4.0,9.0,2.0,,,90.0,27.0,6.5,4.0,0,,4.0,4.0,,,,,2.0,,True,2.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,
11703865,home,1. FC Saarbrücken,Boné Uaferro,,,bone-uaferro,B. Uaferro,D,,191,4,M,125272,EUR,694483200,D,14,14,False,15.0,13.0,4.0,2.0,8.0,9.0,5.0,6.0,4.0,3.0,,,71.0,21.0,6.7,2.0,0,,1.0,3.0,,,,2.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
11703865,home,1. FC Saarbrücken,Patrick Sontheimer,,,patrick-sontheimer,P. Sontheimer,M,6,167,17,M,856077,EUR,899424000,M,6,6,False,26.0,21.0,4.0,3.0,13.0,14.0,8.0,12.0,,5.0,,,83.0,34.0,7.3,6.0,1,,4.0,4.0,2.0,,1.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
11703865,home,1. FC Saarbrücken,Calogero Rizzuto,,,calogero-rizzuto,C. Rizzuto,D,7,170,21,M,136930,EUR,694569600,M,7,7,False,34.0,21.0,12.0,3.0,14.0,19.0,7.0,16.0,3.0,9.0,,,90.0,59.0,6.6,16.0,0,,7.0,7.0,4.0,,1.0,7.0,1.0,,,1.0,,,1.0,5.0,,1.0,,,,1.0,,,,,,,,,,
11703865,home,1. FC Saarbrücken,Amine Naïfi,Amine Naifi,,amine-naifi,A. Naïfi,M,25,183,64,M,1502033,EUR,945561600,M,25,25,False,18.0,14.0,,,7.0,8.0,7.0,11.0,1.0,5.0,,,90.0,39.0,7.3,11.0,0,,4.0,9.0,1.0,,,4.0,4.0,1.0,,1.0,1.0,1.0,1.0,2.0,,4.0,3.0,,,1.0,1.0,,,,,,,,,
11703865,home,1. FC Saarbrücken,Kasim Rabihic,,,kasim-rabihic,K. Rabihic,M,10,177,30,M,271067,EUR,730512000,M,10,10,False,28.0,26.0,2.0,1.0,18.0,19.0,8.0,10.0,,7.0,,,72.0,45.0,6.5,12.0,2,,6.0,5.0,3.0,,,1.0,7.0,,,,,1.0,1.0,,1.0,4.0,3.0,,,1.0,,1.0,1.0,,,,,,,
11703865,home,1. FC Saarbrücken,Marcel Gaus,,,marcel-gaus,M. Gaus,M,,180,23,M,48508,EUR,618019200,M,19,19,False,26.0,16.0,8.0,2.0,9.0,12.0,7.0,15.0,4.0,12.0,,,90.0,60.0,7.6,20.0,1,,7.0,7.0,2.0,,4.0,4.0,1.0,,,,,3.0,4.0,1.0,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,
11703865,home,1. FC Saarbrücken,Simon Stehle,Simon,Stehle,simon-stehle,S. Stehle,F,9,182,32,M,1006823,EUR,1000684800,F,22,22,False,11.0,8.0,,,3.0,3.0,5.0,8.0,1.0,3.0,,,67.0,20.0,6.9,4.0,0,,3.0,2.0,,,1.0,1.0,1.0,,,3.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,
