match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_expectedGoalsOnTarget,captain,stat_challengeLost,stat_wonTackle,stat_wasFouled,player_sofascoreId,stat_dispossessed,stat_bigChanceCreated,stat_hitWoodwork,stat_errorLeadToAShot,stat_lastManTackle,stat_totalOffside
14053752,home,FC Twente,Lars Unnerstall,lars-unnerstall,L. Unnerstall,G,1,198,262,M,94835,EUR,648432000,G,1,1,False,22.0,13.0,12.0,3.0,0.0,11.0,12.0,2.0,10.0,2.0,1.0,1.0,90.0,24.0,6.6,9.0,0.00055837,0.4,0,0.514,0.02,0.0,-0.11,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053752,home,FC Twente,Bart van Rooij,bart-van-rooij,B. v. Rooij,D,28,174,341,M,946506,EUR,990835200,D,28,28,False,67.0,53.0,8.0,4.0,0.0,26.0,33.0,27.0,34.0,7.0,,,89.0,94.0,6.7,21.0,0.2414,,2,,0.49,0.22,-0.28,,,,3.0,1.0,1.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0518,2.0,-0.28,,,,,,,,,,,,,,,
14053752,home,FC Twente,Max Bruns,max-bruns,M. Bruns,D,38,186,105,M,1091627,EUR,1036540800,D,38,38,False,59.0,54.0,3.0,1.0,0.0,42.0,44.0,12.0,15.0,5.0,,,90.0,72.0,7.6,5.0,0.00711981,,1,,0.13,0.03,0.14,,Max Bruns,,,,2.0,2.0,3.0,3.0,,,,,9.0,,1.0,,1.0,0.2157,1.0,0.51,1.0,1.0,1.0,0.838,,,,,,,,,,,
14053752,home,FC Twente,Robin Pröpper,robin-propper,R. Pröpper,D,3,190,266,M,196082,EUR,748742400,D,3,3,False,4.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,,,8.0,4.0,6.6,1.0,0.00051526,,0,,0.01,0.0,0.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
14053752,home,FC Twente,Mats Rots,mats-rots,M. Rots,D,39,185,360,M,1387012,EUR,1142035200,D,39,39,False,50.0,42.0,6.0,3.0,0.0,14.0,14.0,28.0,36.0,7.0,,,90.0,80.0,7.0,19.0,0.159869,,1,,0.32,0.35,-0.19,,,,4.0,,2.0,1.0,7.0,6.0,3.0,,1.0,,1.0,1.0,3.0,2.0,,0.0365,2.0,-0.2,,,,,,2.0,1.0,2.0,,,,,,,
14053752,home,FC Twente,Ramiz Zerrouki,ramiz-zerrouki,R. Zerrouki,M,6,183,8118,M,989882,EUR,896140800,M,6,6,False,64.0,56.0,12.0,8.0,1.0,22.0,24.0,34.0,40.0,5.0,,,90.0,81.0,7.7,14.0,0.436878,,1,,0.68,0.21,0.14,,,,4.0,2.0,4.0,1.0,5.0,4.0,,,,1.0,2.0,2.0,2.0,2.0,,0.0244,2.0,0.0,,,1.0,,,,1.0,1.0,rramizz_,1.0,1.0,,,,
14053752,home,FC Twente,Thomas Van den Belt,thomas-van-den-belt,T. V. d. Belt,M,20,181,293,M,945233,EUR,992822400,M,20,20,False,52.0,40.0,3.0,1.0,0.0,13.0,14.0,27.0,38.0,8.0,,,85.0,65.0,8.0,14.0,0.0856999,,3,,-0.04,0.12,0.24,,,,,,,1.0,1.0,5.0,1.0,1.0,1.0,,1.0,1.0,3.0,2.0,1.0,0.1838,3.0,0.52,2.0,1.0,,0.5683,,,2.0,,,,,,,,
14053752,home,FC Twente,Daan Rots,daan-rots,D. Rots,M,11,179,506,M,1048430,EUR,996019200,M,11,11,False,19.0,13.0,1.0,,0.0,4.0,6.0,9.0,13.0,2.0,,,61.0,42.0,6.5,17.0,0.0418979,,1,,0.06,0.1,-0.13,,,,1.0,,1.0,2.0,11.0,9.0,3.0,1.0,1.0,,1.0,,4.0,3.0,1.0,0.0326,1.0,-0.15,,,,,,2.0,3.0,2.0,,5.0,,,,,
14053752,home,FC Twente,Kristian Hlynsson,hlynsson-kristian,K. Hlynsson,M,14,176,1003,M,1160026,EUR,1074816000,M,14,14,False,38.0,34.0,,,0.0,11.0,11.0,23.0,27.0,1.0,,,85.0,56.0,6.6,6.0,0.0898017,,5,,-0.38,-0.21,0.15,,,,1.0,1.0,,,2.0,7.0,4.0,2.0,1.0,,,,2.0,,,0.1958,1.0,-0.51,4.0,,,0.4603,,,2.0,3.0,,,,,,,
14053752,home,FC Twente,Sondre Ørjasæter,sondre-orjasaeter,S. Ørjasæter,M,27,180,619,M,1200962,EUR,1069977600,M,27,27,False,31.0,26.0,2.0,1.0,1.0,6.0,6.0,20.0,25.0,6.0,,,85.0,53.0,7.1,14.0,0.222457,,5,,0.26,0.76,-0.11,,,,3.0,,,,4.0,2.0,2.0,2.0,3.0,1.0,,1.0,,3.0,,0.386,5.0,-0.61,1.0,,,0.1026,,1.0,,,,3.0,,1.0,,,
