match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,stat_blockedScoringAttempt,stat_challengeLost,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork,player_sofascoreId
11368754,home,Almería,Luís Maximiano,,,luis-maximiano,L. Maximiano,G,81,190,768,M,845797,EUR,915494400,G,25,25,False,43.0,28.0,28.0,13.0,17.0,18.0,11.0,25.0,1.0,1.0,1.0,1.0,11.0,1.0,3.0,4.0,1.0,1.0,1.0,90.0,56.0,8.1,16.0,0.00291486,0,0.6529,,,,,,,,,,,,,,,,,,,,,,,,,,
11368754,home,Almería,Marc Pubill,,,marc-pubill,Pubill,D,18,190,2708,M,1094106,EUR,1056067200,D,18,18,False,30.0,23.0,5.0,2.0,14.0,17.0,10.0,18.0,6.0,2.0,1.0,6.0,2.0,,,,,,,90.0,69.0,7.4,18.0,0.0990332,1,,5.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0481,1.0,,,,,,,,,,
11368754,home,Almería,Edgar González,,,edgar-gonzalez,E. González,D,12,193,375,M,914522,EUR,859852800,D,3,3,False,39.0,31.0,8.0,1.0,26.0,28.0,5.0,11.0,1.0,,,5.0,3.0,,,,,,,90.0,46.0,6.8,8.0,0.00207878,0,,,,3.0,,4.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,
11368754,home,Almería,Aleksandar Radovanović,,,aleksandar-radovanovic,A. Radovanović,D,16,189,129,M,823996,EUR,752976000,D,16,16,False,33.0,32.0,3.0,2.0,30.0,31.0,2.0,2.0,5.0,,,12.0,,,,,,,,90.0,52.0,7.5,2.0,0.00052111,1,,,,,3.0,2.0,,,,2.0,1.0,,1.0,1.0,2.0,0.0353,,1.0,1.0,,,,,,,,
11368754,home,Almería,Álex Centelles,,,centelles-alex,Á. Centelles,D,20,185,70,M,964174,EUR,935971200,D,20,20,False,28.0,18.0,7.0,2.0,13.0,18.0,5.0,10.0,2.0,,,2.0,7.0,,,,,,,66.0,40.0,6.6,13.0,0.00300578,0,,,,1.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,
11368754,home,Almería,Iddrisu Baba,,,iddrisu-baba,I. Baba,M,14,182,943,M,914014,EUR,822268800,M,4,4,False,32.0,28.0,2.0,2.0,20.0,23.0,8.0,9.0,13.0,1.0,1.0,3.0,6.0,,,,,,,90.0,53.0,7.5,4.0,0.00294013,1,,,,1.0,3.0,3.0,,,,,7.0,3.0,,2.0,1.0,0.0054,,2.0,1.0,1.0,,,,,,,
11368754,home,Almería,Dion Lopy,,,dion-lopy,D. Lopy,M,17,186,2405,M,982327,EUR,1012608000,M,6,6,False,20.0,17.0,2.0,,9.0,11.0,8.0,9.0,1.0,3.0,,,6.0,,,,,,,48.0,29.0,6.5,7.0,0.0133306,2,,,,,,4.0,1.0,,,,1.0,,,,,0.0503,1.0,,1.0,,1.0,0.0536,,,,,
11368754,home,Almería,Sergio Arribas,,,sergio-arribas,S. Arribas,M,11,174,2229,M,997203,EUR,1001808000,M,19,19,False,21.0,17.0,,,6.0,6.0,11.0,16.0,1.0,,,1.0,3.0,,,,,,,66.0,31.0,6.6,8.0,0.00771968,0,,1.0,,,,2.0,,,,,1.0,,2.0,,1.0,,,,,1.0,,,,,,,
11368754,home,Almería,Lucas Robertone,,,lucas-robertone,L. Robertone,M,8,173,656,M,848926,EUR,858643200,M,5,5,False,26.0,19.0,2.0,2.0,6.0,9.0,13.0,19.0,7.0,1.0,,2.0,6.0,,,,,,,90.0,50.0,7.3,13.0,0.00530015,1,,2.0,,2.0,1.0,5.0,,,,3.0,1.0,1.0,2.0,6.0,2.0,0.0347,1.0,,,,1.0,0.0442,True,,,,
11368754,home,Almería,Largie Ramazani,,,largie-ramazani,L. Ramazani,M,17,167,1568,M,909966,EUR,983232000,M,7,7,False,16.0,11.0,2.0,2.0,5.0,6.0,7.0,12.0,3.0,6.0,2.0,2.0,5.0,,,,,,,53.0,39.0,6.3,12.0,0.131695,1,,2.0,1.0,,,6.0,,,,3.0,1.0,,,,2.0,0.0294,2.0,,,,1.0,0.3178,,,,,
