match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_totalTackle,stat_wonTackle,stat_aerialWon,stat_goalAssist,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_expectedGoals,stat_accurateCross,stat_lastManTackle,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_bigChanceMissed
11406788,home,Monza,Michele Di Gregorio,,,michele-di-gregorio,M. Di Gregorio,G,16,187,8129,M,L'UomoTigre,844609,EUR,869961600,G,16,16,False,32.0,18.0,26.0,13.0,13.0,19.0,5.0,13.0,1.0,1.0,1.0,9.0,1.0,4.0,4.0,1.0,90.0,44.0,6.1,14.0,0.00084965,0,-0.0633,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406788,home,Monza,Armando Izzo,,,armando-izzo,A. Izzo,D,4,183,521,M,,165583,EUR,699494400,D,4,4,False,43.0,39.0,8.0,7.0,26.0,28.0,13.0,15.0,6.0,2.0,2.0,4.0,,,,,90.0,52.0,6.3,5.0,0.0189849,0,,2.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
11406788,home,Monza,Pablo Marí,,,pablo-mari,P. Marí,D,30,191,1707,M,,208988,EUR,746755200,D,22,22,False,22.0,19.0,5.0,2.0,13.0,14.0,6.0,8.0,,,3.0,1.0,,,,,90.0,32.0,6.3,3.0,0.0016168,0,,,2.0,1.0,1.0,,,,,True,2.0,1.0,,,,,,,,,,,,,,,,,
11406788,home,Monza,Luca Caldirola,,,luca-caldirola,L. Caldirola,D,33,189,134,M,,100565,EUR,665366400,D,5,5,False,36.0,32.0,7.0,4.0,25.0,27.0,7.0,9.0,1.0,,2.0,1.0,,,,,90.0,41.0,6.1,4.0,0.00144213,0,,,4.0,,1.0,,,1.0,,,1.0,,3.0,,,,,,,,,,,,,,,,
11406788,home,Monza,Samuele Birindelli,,,samuele-birindelli,S. Birindelli,M,19,175,231,M,,856729,EUR,932342400,M,19,19,False,28.0,24.0,4.0,2.0,11.0,15.0,13.0,15.0,3.0,,1.0,2.0,,,,,76.0,46.0,6.9,11.0,0.126166,0,,1.0,4.0,1.0,1.0,3.0,1.0,,2.0,,1.0,1.0,,1.0,2.0,1.0,3.0,2.0,,,,,,,,,,,
11406788,home,Monza,Roberto Gagliardini,,,roberto-gagliardini,R. Gagliardini,M,63,188,567,M,,287057,EUR,765676800,M,6,6,False,41.0,35.0,2.0,,23.0,25.0,12.0,16.0,6.0,3.0,1.0,6.0,,,,,76.0,48.0,6.2,8.0,0.00879416,0,,2.0,2.0,2.0,1.0,2.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,
11406788,home,Monza,Jean-Daniel Akpa Akpro,,,jean-daniel-akpa-akpro,J. A. Akpro,M,11,180,386,M,,164511,EUR,718761600,M,8,8,False,25.0,22.0,3.0,2.0,14.0,16.0,8.0,9.0,2.0,,2.0,2.0,,,,,54.0,34.0,6.9,4.0,0.00728994,1,,1.0,1.0,,3.0,1.0,,1.0,,,1.0,1.0,,,,,,,1.0,0.0331,,,,,,,,,
11406788,home,Monza,Alessio Zerbin,,,alessio-zerbin,A. Zerbin,M,7,182,1060,M,,869888,EUR,920419200,M,20,20,False,23.0,17.0,2.0,1.0,12.0,17.0,6.0,8.0,5.0,,,6.0,,,,,54.0,46.0,7.1,11.0,0.138431,0,,,5.0,1.0,,,1.0,2.0,2.0,,3.0,2.0,,1.0,2.0,,4.0,1.0,,,1.0,1.0,,,,,,,
11406788,home,Monza,Andrea Colpani,,,colpani-andrea,A. Colpani,M,28,186,944,M,,928122,EUR,926380800,F,28,28,False,29.0,24.0,4.0,4.0,10.0,14.0,14.0,16.0,5.0,,,6.0,,,,,90.0,37.0,7.1,9.0,0.0181194,1,,,1.0,,,,,2.0,,,1.0,1.0,,,1.0,1.0,2.0,,,0.0356,,,1.0,1.0,0.5358,,,,
11406788,home,Monza,Dany Mota,,,dany-mota,D. Mota,F,47,180,827,M,,838907,EUR,894067200,F,47,47,False,4.0,2.0,,,1.0,3.0,2.0,2.0,3.0,,,1.0,,,,,27.0,9.0,6.4,5.0,0.0213429,0,,,1.0,,,,,,,,,,,,1.0,3.0,1.0,1.0,,,1.0,,,,,,,,
