match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelLost,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,player_firstName,player_lastName,captain,stat_aerialLost,stat_challengeLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_ownGoals,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_shotOffTarget,stat_interceptionWon,stat_totalOffside,stat_outfielderBlock,stat_bigChanceMissed,stat_goodHighClaim,stat_goals,stat_hitWoodwork
14771920,home,Al-Kholood,Juan Cozzani,juan-cozzani,J. Cozzani,G,31,184.0,130,M,874969,EUR,907891200.0,G,31,31,False,21.0,21.0,3.0,3.0,0.0,19.0,19.0,2.0,2.0,1.0,1.0,1.0,1.0,9.0,2.0,2.0,90.0,31.0,8.0,0.00034283,23.574523546214,4.0,8.505,7.56,0.5548,0,-1.0075,0.72,0.01,0.85,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771920,home,Al-Kholood,Norbert Gyömbér,norbert-gyomber,N. Gyömbér,D,23,189.0,303,M,224456,EUR,710121600.0,D,23,23,False,45.0,40.0,3.0,3.0,0.0,17.0,19.0,23.0,26.0,7.0,1.0,,1.0,3.0,,,90.0,62.0,6.8,0.0214672,152.12246843298,13.0,99.12,34.125,,0,,0.2,0.1,-0.3,,1.0,2.0,3.0,1.0,3.0,1.0,6.0,82.799851205584,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
14771920,home,Al-Kholood,William Troost-Ekong,william-troost-ekong,W. Troost-Ekong,D,5,191.0,2266,M,338991,EUR,746841600.0,D,5,5,False,45.0,41.0,7.0,4.0,0.0,28.0,29.0,13.0,16.0,2.0,1.0,1.0,3.0,4.0,,,90.0,56.0,6.1,0.0100671,98.699024137488,13.0,57.33,12.075,,3,,0.25,0.02,-0.96,,,4.0,1.0,,,1.0,5.0,,,,,True,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.1021,0.0805,1.0,-0.08,,,,,,,,,,,
14771920,home,Al-Kholood,Shaquille Pinas,shaquille-pinas,S. Pinas,D,38,182.0,296,M,867530,EUR,890265600.0,D,38,38,False,68.0,58.0,7.0,5.0,0.0,27.0,30.0,31.0,38.0,5.0,1.0,1.0,10.0,4.0,,,90.0,93.0,6.9,0.0896852,281.43944221644,32.0,190.785,20.58,,0,,0.34,0.13,-0.23,,3.0,2.0,1.0,1.0,,1.0,18.0,14.055095730731,1.0,,,,1.0,,,,,,3.0,,,1.0,,7.0,3.0,,,,,,,,,
14771920,home,Al-Kholood,Sultan Al Shehri,sultan-al-shehri,S. A. Shehri,D,7,179.0,16,M,1549237,EUR,804729600.0,D,7,7,False,39.0,34.0,4.0,3.0,0.0,16.0,18.0,18.0,21.0,5.0,4.0,3.0,3.0,8.0,,,82.0,67.0,7.1,0.402681,243.54897601182,21.0,92.715,28.665,,1,,0.51,0.35,-0.37,,1.0,5.0,,,1.0,1.0,11.0,87.347428389294,5.0,Sultan Al Shehri,,,,1.0,,,,,,0.0507,,,-0.29,4.0,2.0,2.0,1.0,1.0,1.0,,,,,
14771920,home,Al-Kholood,Abdulaziz Al-Aliwa,abdulaziz-al-aliwa,A. Al-Aliwa,M,46,182.0,344,M,1067777,EUR,1076457600.0,M,46,46,False,37.0,34.0,1.0,1.0,0.0,12.0,13.0,22.0,24.0,5.0,2.0,,,3.0,,,90.0,60.0,6.5,0.0864371,226.94874279364,25.0,47.46,22.89,,1,,0.27,0.02,-0.13,,,7.0,1.0,,4.0,1.0,15.0,24.323899440674,1.0,,,,2.0,,,,1.0,,4.0,0.0334,,3.0,0.0,3.0,,2.0,,,,,,,,
14771920,home,Al-Kholood,Abdulrahman Al Dosari,abdulrahman-al-dosari,A. A. Dosari,M,39,178.0,33,M,832313,EUR,875145600.0,M,39,39,False,75.0,69.0,3.0,1.0,0.0,41.0,42.0,28.0,33.0,1.0,,,,9.0,,,90.0,83.0,6.7,0.0130041,167.1642919939,23.0,-5.145,9.03,,1,,0.02,0.14,0.15,,,1.0,1.0,,,,6.0,,,,,,,1.0,,,,,,0.0313,,,-0.13,,,,1.0,1.0,,1.0,,,,
14771920,home,Al-Kholood,John Buckley,john-buckley,J. Buckley,M,6,173.0,168,M,970441,EUR,939772800.0,M,6,6,False,85.0,74.0,14.0,9.0,0.0,26.0,27.0,48.0,58.0,5.0,,,,7.0,,,90.0,105.0,7.6,0.110838,203.02238930308,25.0,116.235,18.27,,2,,0.47,0.19,-0.1,,,1.0,5.0,2.0,,,15.0,33.758116673047,2.0,,,,1.0,,,,1.0,,,0.0621,,3.0,-0.14,7.0,3.0,,1.0,,,,,,,
14771920,home,Al-Kholood,Muhammad Sawan,muhammad-sawan,M. Sawan,M,70,170.0,23,M,1549247,EUR,965779200.0,M,70,70,False,25.0,19.0,,,0.0,7.0,9.0,12.0,16.0,,3.0,,1.0,4.0,,,72.0,48.0,5.8,0.0849026,80.617559903703,11.0,-16.38,9.87,,0,,0.16,-0.63,-0.16,,,8.0,,,,2.0,17.0,,,Muhammad Sawan,,,1.0,,,,,,3.0,,,,,4.0,1.0,2.0,,,,,,,,
14771920,home,Al-Kholood,Hattan Bahebri,hattan-bahebri,H. Bahbri,M,11,168.0,92,M,803052,EUR,711244800.0,F,11,11,False,12.0,8.0,1.0,,0.0,1.0,1.0,7.0,11.0,2.0,1.0,,,2.0,,,83.0,25.0,6.3,0.0832696,133.09736823307,10.0,42.945,22.575,,1,,0.02,-0.23,-0.02,,,4.0,,,2.0,1.0,11.0,32.733242491841,2.0,,,,1.0,,,,1.0,,3.0,0.0462,,,-0.09,2.0,,1.0,,,,,,,,
