match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_dispossessed,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_keyPass,stat_aerialLost,stat_totalContest,stat_blockedScoringAttempt,stat_goalAssist,stat_challengeLost,stat_wonContest,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_hitWoodwork
10411609,home,Juventus,Wojciech Szczęsny,wojciech-szczesny,W. Szczęsny,G,25,196,95111,M,wojciech.szczesny1,50490,EUR,640396800,G,1,1,False,28.0,17.0,19.0,8.0,12.0,13.0,5.0,15.0,1.0,1.0,2.0,10.0,1.0,2.0,3.0,2.0,90.0,41.0,7.7,11.0,0.0,0.0,0.00101121,0,0.7022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411609,home,Juventus,Federico Gatti,federico-gatti,F. Gatti,D,4,190,4940,M,FedericoGatti,1128063,EUR,898646400,D,15,15,False,75.0,66.0,13.0,9.0,57.0,61.0,9.0,14.0,1.0,4.0,2.0,8.0,,,,,90.0,83.0,7.4,10.0,0.0,0.0,0.00536017,0,,Federico Gatti,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10411609,home,Juventus,Bremer,bremer,Bremer,D,3,188,9433,M,Bremer,885197,EUR,858643200,D,3,3,False,52.0,47.0,7.0,2.0,42.0,43.0,5.0,9.0,,1.0,2.0,1.0,,,,,90.0,58.0,6.9,5.0,0.0,0.0,0.0029651,0,,,,1.0,,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
10411609,home,Juventus,Danilo,danilo,Danilo,D,13,184,15175,M,Danilo,124992,EUR,679536000,D,6,6,False,72.0,63.0,20.0,13.0,42.0,45.0,21.0,27.0,1.0,4.0,1.0,6.0,,,,,90.0,81.0,7.4,11.0,0.0,0.0,0.00750045,0,,,,3.0,1.0,1.0,2.0,,,1.0,2.0,True,1.0,,,,,,,,,,,,,,,,
10411609,home,Juventus,Juan Cuadrado,juan-cuadrado,J. Cuadrado,M,11,179,11319,M,cuadrado,47743,EUR,580608000,M,11,11,False,42.0,37.0,2.0,1.0,28.0,32.0,10.0,12.0,,3.0,,2.0,,,,,90.0,64.0,7.2,8.0,0.0567,0.1222,0.0222101,1,,,,1.0,,2.0,2.0,1.0,2.0,1.0,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,,
10411609,home,Juventus,Nicolò Fagioli,nicolo-fagioli,N. Fagioli,M,44,178,4280,M,nicolofagioli,901850,EUR,981936000,M,44,44,False,24.0,17.0,2.0,1.0,4.0,7.0,13.0,17.0,,1.0,,6.0,,,,,90.0,31.0,6.8,8.0,0.0876,0.1553,0.0249899,1,,,,2.0,,1.0,,,1.0,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,,,
10411609,home,Juventus,Manuel Locatelli,manuel-locatelli,M. Locatelli,M,5,185,8228,M,locamanuel73,363860,EUR,884217600,M,5,5,False,46.0,36.0,15.0,12.0,16.0,19.0,20.0,27.0,,5.0,2.0,9.0,,,,,85.0,65.0,7.8,11.0,0.0514,0.0323,0.0235219,2,,,,3.0,2.0,1.0,5.0,4.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
10411609,home,Juventus,Adrien Rabiot,adrien-rabiot,A. Rabiot,M,12,191,11335,M,adrienrabiot_25,250737,EUR,796867200,M,25,25,False,33.0,28.0,1.0,,17.0,18.0,12.0,16.0,1.0,7.0,,8.0,,,,,90.0,46.0,7.6,9.0,0.0,0.0,0.140165,0,,,,2.0,,1.0,4.0,1.0,3.0,1.0,,,,1.0,1.0,,2.0,,2.0,,1.0,1.0,1.0,,,,,,
10411609,home,Juventus,Filip Kostić,filip-kostic,F. Kostić,M,18,184,7055,M,filipkostic,126588,EUR,720576000,M,17,17,False,34.0,27.0,3.0,1.0,11.0,13.0,17.0,28.0,,1.0,,5.0,,,,,64.0,48.0,7.2,14.0,0.0732,0.3279,0.0682198,1,,,,1.0,,,1.0,,1.0,,,,,7.0,1.0,1.0,4.0,1.0,,,,,,,,,,,
10411609,home,Juventus,Moise Kean,moise-kean,M. Kean,F,20,183,15084,M,moise_kean,835601,EUR,951696000,F,18,18,False,8.0,7.0,,,5.0,5.0,2.0,3.0,,3.0,,6.0,,,,,62.0,21.0,8.5,5.0,0.8456,1.0924,0.00128387,4,,,,5.0,,2.0,2.0,2.0,,,,,2.0,,,3.0,,1.0,3.0,,,,1.0,1.0,2.0,,,,
