match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_outfielderBlock,stat_dispossessed,stat_blockedScoringAttempt,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,captain,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_penaltyConceded,stat_totalOffside
12624865,home,Al-Hilal,Bono,,,bono,Bono,G,37,195.0,54623,M,BonoY,360938,EUR,670809600,G,37,37,False,28.0,25.0,9.0,6.0,0.0,23.0,24.0,2.0,4.0,1.0,13.0,2.0,1.0,1.0,90.0,40.0,6.4,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624865,home,Al-Hilal,João Cancelo,,,joao-cancelo,J. Cancelo,D,2,182.0,90162,M,JCancelo,138892,EUR,769996800,D,20,20,False,40.0,29.0,3.0,3.0,0.0,16.0,17.0,13.0,24.0,2.0,6.0,,,,61.0,68.0,7.2,14.0,0,1.0,1.0,1.0,3.0,9.0,4.0,3.0,6.0,2.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,
12624865,home,Al-Hilal,Kalidou Koulibaly,,,kalidou-koulibaly,K. Koulibaly,D,3,187.0,26133,M,kkoulibaly26,126071,EUR,677376000,D,3,3,False,51.0,45.0,5.0,3.0,0.0,31.0,33.0,14.0,18.0,4.0,3.0,,,,90.0,68.0,7.0,9.0,1,,,3.0,2.0,7.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,
12624865,home,Al-Hilal,Ali Albulayhi,,,ali-albulayhi,A. Albulayhi,D,3,182.0,1057,M,,1138857,EUR,627609600,D,5,5,False,55.0,49.0,4.0,1.0,0.0,38.0,40.0,11.0,15.0,4.0,,,,,90.0,64.0,6.2,6.0,0,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
12624865,home,Al-Hilal,Moteb Al-Harbi,,,moteb-al-harbi,M. Al-Harbi,D,24,171.0,848,M,,1022679,EUR,950918400,D,24,24,False,31.0,29.0,,,0.0,15.0,15.0,14.0,17.0,2.0,2.0,,,,61.0,48.0,6.6,8.0,1,1.0,,,2.0,5.0,3.0,2.0,,2.0,1.0,3.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,
12624865,home,Al-Hilal,Rúben Neves,,,ruben-neves,R. Neves,M,8,181.0,15472,M,rubenneves,280955,EUR,858211200,M,8,8,False,74.0,64.0,6.0,2.0,0.0,35.0,37.0,32.0,41.0,,3.0,,,,89.0,89.0,7.1,14.0,0,4.0,,,3.0,4.0,2.0,1.0,,2.0,1.0,1.0,1.0,,3.0,,,1.0,,3.0,1.0,1.0,,,,,,,,,,
12624865,home,Al-Hilal,Sergej Milinković-Savić,,,sergej-milinkovic-savic,S. Milinković-Savić,M,22,191.0,13384,M,sms,331447,EUR,793843200,M,22,22,False,38.0,28.0,1.0,,0.0,15.0,17.0,13.0,23.0,1.0,,,,,90.0,55.0,6.7,14.0,3,2.0,4.0,3.0,9.0,8.0,2.0,1.0,,4.0,2.0,1.0,,3.0,1.0,1.0,,,2.0,,1.0,,,,,,,,,,,
12624865,home,Al-Hilal,Kaio César,Kaio César,,kaio-cesar,Kaio César,M,37,168.0,5030,M,,1396009,EUR,1076803200,M,27,27,False,12.0,8.0,1.0,,0.0,2.0,3.0,6.0,12.0,,5.0,,,,61.0,30.0,6.7,13.0,1,3.0,1.0,,8.0,6.0,4.0,3.0,,1.0,,3.0,2.0,4.0,1.0,1.0,,2.0,,,,,,,,,,,,,,
12624865,home,Al-Hilal,Malcom,,,malcom,Malcom,M,10,171.0,13905,M,malcomoliveira_97,551772,EUR,856915200,M,77,77,False,29.0,27.0,1.0,1.0,1.0,6.0,7.0,22.0,24.0,1.0,1.0,,,,90.0,42.0,7.1,6.0,2,2.0,1.0,,5.0,3.0,1.0,,,1.0,,2.0,2.0,,2.0,,,,2.0,1.0,3.0,1.0,,,,,,,,,,
12624865,home,Al-Hilal,Salem Al-Dawsari,,,salem-al-dawsari,S. Al-Dawsari,M,29,171.0,11126,M,29salem,160893,EUR,682560000,M,29,29,False,53.0,40.0,,,0.0,13.0,17.0,28.0,42.0,,3.0,,,,90.0,73.0,8.0,23.0,3,6.0,,,1.0,5.0,5.0,4.0,,,,3.0,1.0,,2.0,1.0,,,,1.0,,,True,2.0,1.0,,,,,,,
