match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_aerialLost,stat_wasFouled,stat_onTargetScoringAttempt,stat_goals,stat_aerialWon,stat_dispossessed,stat_shotOffTarget,stat_keyPass,stat_goalAssist,captain,player_sofascoreId,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_totalOffside,stat_outfielderBlock,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_crossNotClaimed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed
11396434,home,RB Leipzig,Janis Blaswich,janis-blaswich,J. Blaswich,G,28,193,639,M,96832,EUR,673142400,G,21,21,False,49.0,38.0,17.0,7.0,32.0,37.0,6.0,12.0,1.0,9.0,1.0,1.0,3.0,1.0,90.0,58.0,6.9,11.0,0.0,0.0,0.00185959,0,0.2812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396434,home,RB Leipzig,Benjamin Henrichs,benjamin-henrichs,B. Henrichs,D,39,182,1142,M,319857,EUR,856656000,D,39,39,False,27.0,22.0,5.0,2.0,16.0,16.0,7.0,13.0,1.0,2.0,,,,,87.0,48.0,6.2,9.0,0.0,0.0,0.0172736,0,,,,2.0,1.0,5.0,5.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
11396434,home,RB Leipzig,Mohamed Simakan,mohamed-simakan,M. Simakan,D,3,187,5879,M,945063,EUR,957312000,D,2,2,False,45.0,40.0,7.0,4.0,35.0,36.0,5.0,9.0,4.0,2.0,,,,,90.0,58.0,6.6,7.0,0.0,0.0,0.00503727,0,,,,,,4.0,4.0,,,,2.0,3.0,1.0,2.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
11396434,home,RB Leipzig,Castello Lukeba,castello-lukeba,C. Lukeba,D,23,184,2734,M,976421,EUR,1040083200,D,23,23,False,35.0,33.0,1.0,,27.0,28.0,6.0,7.0,3.0,7.0,,,,,90.0,43.0,7.1,3.0,0.2709,0.5601,0.00222946,1,,,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
11396434,home,RB Leipzig,David Raum,david-raum,D. Raum,D,22,180,2192,M,856076,EUR,893203200,D,22,22,False,36.0,21.0,8.0,2.0,14.0,17.0,10.0,26.0,3.0,9.0,,,,,90.0,70.0,6.3,26.0,0.0222,0.0,0.303709,1,,,,7.0,3.0,10.0,5.0,6.0,4.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,
11396434,home,RB Leipzig,Xaver Schlager,xaver-schlager,X. Schlager,M,24,174,1069,M,791079,EUR,875404800,M,24,24,False,37.0,28.0,4.0,1.0,15.0,19.0,13.0,18.0,3.0,9.0,,,,,90.0,54.0,6.7,13.0,0.0,0.0,0.175101,0,,,,,,11.0,7.0,4.0,,,1.0,5.0,2.0,2.0,,5.0,,1.0,,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,
11396434,home,RB Leipzig,Kevin Kampl,kevin-kampl,K. Kampl,M,,178,752,M,84251,EUR,655430400,M,44,44,False,28.0,25.0,2.0,2.0,15.0,16.0,10.0,12.0,1.0,5.0,,,,,64.0,40.0,6.9,5.0,0.0,0.0,0.0041613,0,,,,,,1.0,3.0,1.0,1.0,1.0,,2.0,2.0,2.0,,,,,,,,,,,,True,,,,,,,,,,,
11396434,home,RB Leipzig,Xavi Simons,xavi-simons,X. Simons,M,7,179,50786,M,997183,EUR,1050883200,M,20,20,False,27.0,19.0,2.0,1.0,7.0,9.0,12.0,19.0,,5.0,,,,,90.0,49.0,6.9,17.0,0.0527,0.0,0.195539,1,,,,1.0,,3.0,9.0,,5.0,3.0,,2.0,,5.0,,,,3.0,,,1.0,1.0,,,,,XaviSimons,1.0,,,,,,,,,
11396434,home,RB Leipzig,Emil Forsberg,emil-forsberg,E. Forsberg,M,10,179,2256,M,51785,EUR,688176000,M,10,10,False,18.0,13.0,,,7.0,11.0,6.0,7.0,,5.0,,,,,72.0,30.0,6.5,7.0,0.08,0.0,0.00365947,1,,,,,,5.0,4.0,4.0,2.0,1.0,,2.0,2.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
11396434,home,RB Leipzig,Yussuf Poulsen,yussuf-poulsen,Y. Poulsen,F,15,193,1781,M,135264,EUR,771638400,F,9,9,False,17.0,13.0,2.0,1.0,10.0,10.0,3.0,7.0,1.0,3.0,,,,,72.0,24.0,6.6,4.0,0.1493,0.0,0.00213539,1,,,,,,6.0,3.0,2.0,,,2.0,1.0,,,,1.0,3.0,2.0,,,1.0,,1.0,,,,,,,,,,,,,,
