match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_penaltyWon,stat_outfielderBlock,stat_totalTackle,stat_keyPass,captain,stat_totalCross,stat_totalContest,stat_wonContest,stat_dispossessed,stat_blockedScoringAttempt,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_challengeLost,stat_shotOffTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_penaltyMiss,stat_accurateCross,stat_goals,stat_hitWoodwork,player_sofascoreId,stat_penaltySave,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_bigChanceCreated
11396180,home,1. FC Union Berlin,Frederik Rønnow,frederik-ronnow,F. Rønnow,G,1,188,637,M,137692,EUR,712886400,G,1,1,False,22.0,15.0,14.0,7.0,0.0,9.0,10.0,6.0,12.0,9.0,1.0,3.0,3.0,90.0,29.0,7.1,7.0,0.00318519,0,-0.2669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396180,home,1. FC Union Berlin,Danilho Doekhi,danilho-doekhi,D. Doekhi,D,5,187,772,M,830803,EUR,899164800,D,5,5,False,23.0,19.0,2.0,1.0,0.0,14.0,15.0,5.0,8.0,1.0,,,,90.0,32.0,7.2,4.0,0.00408562,0,,,,3.0,1.0,4.0,3.0,4.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396180,home,1. FC Union Berlin,Robin Knoche,robin-knoche,R. Knoche,D,31,190,148,M,130433,EUR,706492800,D,31,31,False,45.0,36.0,12.0,8.0,0.0,28.0,30.0,8.0,15.0,7.0,,,,90.0,55.0,7.0,9.0,0.0039549,0,,,,1.0,3.0,2.0,4.0,6.0,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11396180,home,1. FC Union Berlin,Diogo Leite,leite-diogo,D. Leite,D,4,188,993,M,855663,EUR,917049600,D,4,4,False,36.0,30.0,4.0,2.0,0.0,19.0,20.0,11.0,16.0,4.0,,,,63.0,47.0,7.1,6.0,0.00534665,0,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11396180,home,1. FC Union Berlin,Christopher Trimmel,christopher-trimmel,C. Trimmel,M,28,189,354,M,48557,EUR,541123200,M,28,28,False,29.0,18.0,10.0,3.0,0.0,8.0,10.0,10.0,23.0,1.0,,,,90.0,55.0,6.8,15.0,0.0326494,0,,,,1.0,2.0,2.0,4.0,5.0,1.0,,1.0,,,1.0,,True,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11396180,home,1. FC Union Berlin,András Schäfer,andras-schafer,A. Schäfer,M,13,179,2407,M,877302,EUR,923961600,M,13,13,False,19.0,14.0,1.0,,0.0,7.0,7.0,7.0,12.0,4.0,,,,62.0,33.0,6.7,9.0,0.00424766,1,,,,,1.0,5.0,4.0,3.0,1.0,1.0,2.0,,,2.0,,,,2.0,,1.0,1.0,2.0,1.0,0.0807,,,,,,,,,,,,,,,,
11396180,home,1. FC Union Berlin,Lucas Tousart,tousart-lucas,L. Tousart,M,24,185,445,M,787889,EUR,862272000,M,29,29,False,18.0,13.0,,,0.0,5.0,6.0,8.0,13.0,5.0,,,,90.0,38.0,6.9,10.0,0.00942902,1,,,,1.0,4.0,5.0,8.0,7.0,,,2.0,,,4.0,1.0,,1.0,,,1.0,,1.0,3.0,0.0665,1.0,1.0,,,,,,,,,,,,,,
11396180,home,1. FC Union Berlin,Josip Juranović,josip-juranovic,J. Juranović,D,18,173,3077,M,791642,EUR,808531200,M,18,18,False,19.0,16.0,5.0,3.0,0.0,11.0,13.0,5.0,8.0,4.0,,,,84.0,41.0,6.1,13.0,0.00706272,1,,,,,,5.0,1.0,1.0,,,2.0,,,,,,2.0,3.0,1.0,,,,,0.7884,1.0,,1.0,1.0,0.9786,1.0,,,,,,,,,,
11396180,home,1. FC Union Berlin,Yorbe Vertessen,yorbe-vertessen,Y. Vertessen,F,11,176,940,M,909958,EUR,978912000,F,14,14,False,11.0,8.0,1.0,,0.0,4.0,4.0,4.0,8.0,1.0,,,,63.0,27.0,6.8,9.0,0.00477091,2,,,,1.0,,7.0,4.0,1.0,,1.0,1.0,,,1.0,,,1.0,5.0,2.0,2.0,,1.0,,0.103,,1.0,,1.0,0.0667,,,,,,,,,,,
11396180,home,1. FC Union Berlin,Robin Gosens,robin-gosens,R. Gosens,D,21,183,3171,M,377118,EUR,773366400,F,6,6,False,28.0,18.0,1.0,1.0,0.0,6.0,6.0,12.0,22.0,,,,,90.0,46.0,7.7,13.0,0.185505,0,,,,3.0,6.0,3.0,13.0,4.0,,1.0,,,,6.0,2.0,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,
