match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_dispossessed,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_fouls,stat_wasFouled,stat_accurateCross,stat_keyPass,stat_totalContest,stat_wonContest,stat_totalOffside,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,player_sofascoreId,stat_goalAssist
10388234,home,1. FSV Mainz 05,Robin Zentner,robin-zentner,R. Zentner,G,27,193,298,M,174345,EUR,783302400,G,27,27,False,True,28.0,19.0,14.0,5.0,15.0,17.0,4.0,11.0,1.0,1.0,1.0,1.0,3.0,9.0,1.0,5.0,1.0,4.0,3.0,90.0,45.0,6.4,10.0,0.0,0.0,0.00246976,0,-0.0301,,,,,,,,,,,,,,,,,,,,,,,,,,
10388234,home,1. FSV Mainz 05,Andreas Hanche-Olsen,andreas-hanche-olsen,A. Hanche-Olsen,D,25,185,370,M,794294,EUR,853459200,D,25,25,False,,52.0,34.0,9.0,2.0,29.0,35.0,5.0,19.0,7.0,6.0,10.0,,7.0,11.0,,,,,,90.0,73.0,7.0,23.0,0.0223,0.0,0.0944698,1,,,,2.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,
10388234,home,1. FSV Mainz 05,Stefan Bell,stefan-bell,S. Bell,D,16,192,142,M,106662,EUR,682992000,D,16,16,False,,45.0,28.0,11.0,1.0,17.0,20.0,11.0,25.0,8.0,7.0,11.0,,10.0,5.0,,,,,,90.0,60.0,6.9,17.0,0.0164,0.0,0.0183336,1,,,,,5.0,,1.0,1.0,,2.0,,,,2.0,1.0,,,,,,,,,,,,
10388234,home,1. FSV Mainz 05,Edimilson Fernandes,edimilson-fernandes,E. Fernandes,M,6,190,345,M,330099,EUR,829526400,D,20,20,False,,26.0,14.0,5.0,1.0,10.0,15.0,5.0,14.0,3.0,8.0,5.0,,8.0,6.0,1.0,,,,,75.0,48.0,7.0,17.0,0.0,0.0,0.114248,0,,,,3.0,5.0,1.0,,1.0,,2.0,,,1.0,2.0,,1.0,1.0,,,,,,,,,,
10388234,home,1. FSV Mainz 05,Danny da Costa,danny-da-costa,D. Costa,D,21,186,305,M,97926,EUR,742521600,M,21,21,False,,13.0,5.0,6.0,2.0,1.0,3.0,4.0,13.0,,3.0,1.0,,3.0,5.0,,,,,,67.0,32.0,6.4,16.0,0.0,0.0,0.00552777,0,,,,3.0,,2.0,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,
10388234,home,1. FSV Mainz 05,Leandro Barreiro,leandro-barreiro,L. Barreiro,M,18,170,2537,M,906800,EUR,946857600,M,8,8,False,,12.0,9.0,,,4.0,6.0,5.0,6.0,1.0,5.0,4.0,1.0,2.0,2.0,,,,,,67.0,23.0,6.5,5.0,0.0,0.0,0.00522776,0,,,,,2.0,1.0,,,,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,
10388234,home,1. FSV Mainz 05,Anton Stach,anton-stach,A. Stach,M,18,192,1470,M,889861,EUR,911088000,M,6,6,False,,48.0,35.0,5.0,3.0,12.0,15.0,25.0,37.0,8.0,6.0,10.0,1.0,2.0,3.0,,,,,,90.0,68.0,7.5,16.0,0.0685,0.0485,0.10906,2,,,,4.0,4.0,,,,4.0,1.0,,,1.0,1.0,1.0,2.0,1.0,,,,1.0,1.0,,,,,
10388234,home,1. FSV Mainz 05,Anthony Caci,anthony-caci,A. Caci,M,19,184,357,M,846471,EUR,867715200,M,19,19,False,,37.0,27.0,13.0,5.0,14.0,16.0,14.0,23.0,,3.0,1.0,,1.0,11.0,,,,,,90.0,60.0,7.2,14.0,0.0165,0.0,0.213251,1,,,,2.0,1.0,1.0,,,6.0,,,,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,
10388234,home,1. FSV Mainz 05,Marcus Ingvartsen,marcus-ingvartsen,M. Ingvartsen,F,7,182,364,M,280721,EUR,820713600,F,11,11,False,,21.0,16.0,,,7.0,8.0,9.0,13.0,2.0,5.0,3.0,,,1.0,,,,,,60.0,30.0,6.3,10.0,0.3021,0.3285,0.0119407,2,,,,,1.0,,,,,,,,3.0,3.0,1.0,,,1.0,,,1.0,1.0,,,,,
10388234,home,1. FSV Mainz 05,Jae-sung Lee,jae-sung-lee,J. Lee,F,7,180,2646,M,537552,EUR,713404800,F,7,7,False,,30.0,21.0,1.0,,7.0,12.0,14.0,20.0,1.0,7.0,6.0,,,8.0,,,,,,75.0,48.0,7.2,15.0,0.0,0.0,0.174589,0,,,,2.0,4.0,1.0,,,1.0,2.0,1.0,,1.0,2.0,1.0,,1.0,2.0,2.0,,,,,,,,
