match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_hitWoodwork,stat_errorLeadToAShot,stat_wasFouled,stat_totalOffside,stat_dispossessed,stat_outfielderBlock,player_sofascoreId,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals
12437634,home,Athletic Club,Julen Agirrezabala,,,julen-agirrezabala,J. Agirrezabala,G,25,187,1097,M,1014412,EUR,977788800,G,13,13,False,25.0,18.0,13.0,6.0,0.0,14.0,17.0,4.0,8.0,1.0,5.0,2.0,3.0,1.0,90.0,33.0,6.9,8.0,0.00105502,0,0.2702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437634,home,Athletic Club,Óscar de Marcos,,,oscar-de-marcos,Ó. de Marcos,D,10,180,561,M,52663,EUR,608515200,D,18,18,False,42.0,36.0,1.0,1.0,1.0,25.0,26.0,12.0,19.0,1.0,4.0,,,,79.0,64.0,7.3,10.0,0.111006,0,,True,3.0,1.0,1.0,3.0,3.0,7.0,2.0,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12437634,home,Athletic Club,Daniel Vivian,,,daniel-vivian,D. Vivian,D,3,183,3110,M,910978,EUR,931132800,D,3,3,False,74.0,67.0,7.0,5.0,0.0,46.0,48.0,21.0,26.0,3.0,5.0,,,,90.0,88.0,7.1,10.0,0.0110844,1,,,,,1.0,2.0,4.0,3.0,1.0,,,,1.0,,2.0,1.0,1.0,1.0,2.0,0.0631,0.0795,,,,,,,,,,,
12437634,home,Athletic Club,Aitor Paredes,,,aitor-paredes,A. Paredes,D,4,186,1132,M,959872,EUR,956966400,D,4,4,False,65.0,59.0,9.0,6.0,0.0,47.0,47.0,12.0,18.0,5.0,4.0,,,,90.0,73.0,7.0,6.0,0.00619113,1,,,,,3.0,2.0,5.0,3.0,2.0,,1.0,1.0,,,,,,1.0,,0.1654,,1.0,1.0,,,,,,,,,
12437634,home,Athletic Club,Yuri Berchiche,,,yuri-berchiche,Y. Berchiche,D,17,181,1146,M,84531,EUR,634608000,D,17,17,False,58.0,46.0,10.0,5.0,0.0,29.0,34.0,17.0,25.0,3.0,6.0,,,,90.0,83.0,6.8,13.0,0.00857324,0,,,1.0,,2.0,4.0,3.0,9.0,,,3.0,2.0,1.0,,,,,1.0,,,,,,1.0,2.0,1.0,,,,,,
12437634,home,Athletic Club,Iñigo Ruiz de Galarreta,,,inigo-ruiz-de-galarreta,I. R. d. Galarreta,M,16,174,944,M,96365,EUR,744595200,M,16,16,False,40.0,33.0,7.0,5.0,0.0,18.0,19.0,16.0,26.0,1.0,2.0,,,,69.0,54.0,7.2,13.0,0.222041,0,,,5.0,1.0,,,4.0,5.0,,,4.0,3.0,2.0,1.0,,,,,,,,,,,1.0,,2.0,1.0,,,,
12437634,home,Athletic Club,Beñat Prados,,,benat-prados,B. Prados,M,24,179,600,M,1012409,EUR,981590400,M,24,24,False,38.0,35.0,4.0,2.0,0.0,18.0,19.0,17.0,20.0,1.0,6.0,,,,79.0,55.0,7.5,5.0,0.00879086,1,,,1.0,,,1.0,2.0,4.0,,,3.0,2.0,2.0,1.0,,,1.0,7.0,1.0,0.1299,0.6216,,,,,,,,,,,
12437634,home,Athletic Club,Iñaki Williams,,,inaki-williams,I. Williams,M,9,186,20741,M,783374,EUR,771638400,M,9,9,False,29.0,24.0,2.0,2.0,0.0,8.0,8.0,17.0,24.0,1.0,4.0,,,,90.0,54.0,8.7,14.0,1.21178,5,,,3.0,1.0,,2.0,2.0,9.0,,4.0,1.0,,,4.0,5.0,3.0,2.0,1.0,4.0,0.5755,0.423,2.0,1.0,,3.0,,,,IñakiWill,1.0,1.0,
12437634,home,Athletic Club,Oihan Sancet,,,oihan-sancet,O. Sancet,M,8,188,3356,M,966801,EUR,956620800,M,8,8,False,22.0,18.0,3.0,2.0,0.0,4.0,4.0,14.0,18.0,,4.0,,,,69.0,32.0,6.0,8.0,0.00614245,3,,,,,,1.0,2.0,3.0,,,,,,1.0,1.0,,,,2.0,1.5326,,3.0,1.0,,2.0,,1.0,,,3.0,,
12437634,home,Athletic Club,Nico Williams,,,nico-williams,N. Williams,M,10,180,84836,M,1085400,EUR,1026432000,M,10,10,False,21.0,15.0,2.0,1.0,0.0,5.0,5.0,11.0,19.0,,5.0,,,,90.0,54.0,6.8,20.0,0.257492,1,,,3.0,1.0,3.0,,13.0,7.0,2.0,1.0,5.0,4.0,1.0,2.0,5.0,2.0,,,3.0,0.0392,,,,,,1.0,4.0,,NicoWill,,1.0,
