match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_unsuccessfulTouch,stat_totalClearance,stat_accurateCross,stat_aerialWon,stat_wasFouled,stat_keyPass,stat_outfielderBlock,stat_fouls,stat_totalContest,stat_shotOffTarget,stat_expectedGoals,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed,stat_hitWoodwork
12514057,home,AVS - Futebol SAD,Guillermo Ochoa,,,guillermo-ochoa,G. Ochoa,G,13,185,4425,M,GuiOchoa,15497,EUR,490060800,G,13,13,False,True,25.0,18.0,16.0,9.0,0.0,14.0,18.0,4.0,7.0,1.0,8.0,1.0,1.0,1.0,2.0,2.0,90.0,34.0,6.2,7.0,0.00147467,0,-1.5221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514057,home,AVS - Futebol SAD,Fernando Fonseca,,,fernando-fonseca,F. Fonseca,D,2,182,49,M,,792666,EUR,858297600,D,2,2,False,,36.0,29.0,2.0,1.0,0.0,17.0,20.0,12.0,17.0,2.0,4.0,,2.0,1.0,,,90.0,59.0,5.6,14.0,0.0111201,0,,1.0,2.0,6.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
12514057,home,AVS - Futebol SAD,Cristian Castro,Cristian Castro,,cristian-castro,C. Castro,D,42,192,155,M,,1067320,EUR,980380800,D,42,42,False,,49.0,44.0,3.0,1.0,0.0,39.0,41.0,5.0,8.0,,6.0,,,,,,90.0,61.0,6.0,5.0,0.00230071,0,,,2.0,2.0,,,1.0,,6.0,,,,,,,,,,,,,,,,,,,,
12514057,home,AVS - Futebol SAD,Baptiste Roux,,,baptiste-roux,B. Roux,D,5,190,62,M,,1049576,EUR,943574400,D,6,6,False,,51.0,46.0,3.0,1.0,0.0,38.0,41.0,9.0,11.0,4.0,4.0,,2.0,2.0,,,90.0,58.0,6.1,6.0,0.0841428,0,,1.0,1.0,1.0,,,,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
12514057,home,AVS - Futebol SAD,Kiki Afonso,,,kiki-afonso,K. Afonso,D,24,181,59,M,,324345,EUR,787017600,D,24,24,False,,42.0,33.0,8.0,4.0,0.0,21.0,23.0,12.0,21.0,6.0,3.0,,5.0,5.0,,,84.0,64.0,6.6,19.0,0.0129821,0,,2.0,1.0,4.0,,2.0,,3.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
12514057,home,AVS - Futebol SAD,Gustavo Assunção,,,gustavo-assuncao,G. Assunção,M,12,178,266,M,,981217,EUR,954374400,M,12,12,False,,21.0,16.0,2.0,,0.0,14.0,15.0,2.0,6.0,7.0,3.0,,4.0,2.0,,,45.0,33.0,6.2,10.0,0.00066454,0,,,,3.0,,1.0,,3.0,,,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,
12514057,home,AVS - Futebol SAD,Jaume Grau,,,jaume-grau,J. G. Ciscar,M,15,183,72,M,,838633,EUR,862790400,M,15,15,False,,41.0,38.0,4.0,4.0,0.0,25.0,27.0,14.0,18.0,6.0,5.0,,1.0,,,,90.0,52.0,6.7,6.0,0.0352398,0,,4.0,,2.0,1.0,,2.0,,1.0,1.0,2.0,3.0,1.0,,1.0,,,,,,,,,,,,,,
12514057,home,AVS - Futebol SAD,John Mercado,,,john-mercado,John Mercado,F,7,184,889,M,,1002514,EUR,1023062400,M,17,17,False,,7.0,5.0,1.0,,0.0,2.0,2.0,3.0,6.0,3.0,3.0,,1.0,,,,45.0,14.0,6.2,4.0,0.0046674,2,,1.0,,4.0,1.0,,,,1.0,,2.0,,,,2.0,1.0,2.0,0.0284,,,,,,,,,,,
12514057,home,AVS - Futebol SAD,Lucas Piazón,,,lucas-piazon,L. Piazón,M,12,182,408,M,,156025,EUR,759024000,M,14,14,False,,41.0,37.0,,,0.0,21.0,23.0,16.0,18.0,7.0,3.0,,2.0,1.0,,,90.0,50.0,6.9,5.0,0.106862,1,,,,,,,,1.0,,,1.0,2.0,1.0,,,2.0,,0.027,2.0,1.0,0.1304,,,,,,,,
12514057,home,AVS - Futebol SAD,Babatunde Akinsola,,,akinsola-babatunde,B. Akinsola,F,11,175,163,M,,1133063,EUR,1047254400,M,11,11,False,,7.0,5.0,,,0.0,2.0,2.0,3.0,6.0,5.0,1.0,,1.0,1.0,,,45.0,16.0,6.5,6.0,0.00107227,0,,1.0,1.0,3.0,,1.0,,2.0,1.0,,2.0,,,,1.0,2.0,,,2.0,,,,,,,,,,
