match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_totalTackle,stat_wonTackle,stat_dispossessed,stat_accurateCross,stat_shotOffTarget,stat_outfielderBlock,stat_unsuccessfulTouch,stat_goalAssist,stat_onTargetScoringAttempt,stat_goals,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_wonContest,stat_punches,stat_totalOffside,stat_bigChanceMissed,stat_bigChanceCreated,stat_lastManTackle
10411732,home,Atalanta,Juan Musso,juan-musso,J. Musso,G,1,191,4938,M,juanmusso,263651,EUR,768182400,G,1,1,False,27.0,18.0,15.0,6.0,14.0,15.0,4.0,12.0,1.0,17.0,3.0,6.0,1.0,1.0,90.0,49.0,7.7,9.0,0.0,0.0,0.00068951,0,0.2812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411732,home,Atalanta,Rafael Tolói,rafael-toloi,R. Tolói,D,2,185,2015,M,,82943,EUR,655516800,D,2,2,False,36.0,31.0,7.0,4.0,24.0,25.0,7.0,12.0,3.0,6.0,,,,,90.0,46.0,6.2,7.0,0.0,0.0,0.00623079,0,,True,1.0,1.0,6.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
10411732,home,Atalanta,Merih Demiral,merih-demiral,M. Demiral,D,28,190,4108,M,merihdemiral,806968,EUR,889056000,D,28,28,False,16.0,14.0,2.0,1.0,13.0,13.0,1.0,3.0,2.0,2.0,,,,,90.0,24.0,6.5,3.0,0.0,0.0,0.00134231,0,,,,,6.0,2.0,1.0,1.0,1.0,,1.0,,4.0,2.0,1.0,,,,,,,,,,,,,,,,,
10411732,home,Atalanta,Berat Djimsiti,berat-djimsiti,B. Djimsiti,D,19,190,2156,M,,151003,EUR,730080000,D,19,19,False,34.0,26.0,6.0,1.0,20.0,24.0,6.0,10.0,3.0,3.0,,,,,82.0,43.0,6.4,9.0,0.0,0.0,0.00090178,0,,,,1.0,1.0,3.0,,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,
10411732,home,Atalanta,Hans Hateboer,hans-hateboer,H. Hateboer,D,33,185,622,M,,356352,EUR,758073600,M,33,33,False,31.0,26.0,4.0,1.0,13.0,15.0,14.0,17.0,1.0,5.0,,,,,90.0,48.0,6.8,6.0,0.0761,0.0,0.0258271,1,,,1.0,,4.0,2.0,1.0,,,,3.0,1.0,,2.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10411732,home,Atalanta,Marten de Roon,marten-de-roon,M. de Roon,M,15,185,1856,M,,100389,EUR,670204800,M,15,15,False,30.0,24.0,8.0,5.0,16.0,18.0,8.0,12.0,1.0,3.0,,,,,90.0,38.0,6.7,7.0,0.0,0.0,0.00601327,0,,,,,3.0,3.0,1.0,,1.0,,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,
10411732,home,Atalanta,Teun Koopmeiners,teun-koopmeiners,T. Koopmeiners,M,8,183,6981,M,teunkoopmeiners,803033,EUR,888624000,M,7,7,False,34.0,29.0,4.0,2.0,13.0,15.0,17.0,22.0,1.0,5.0,,,,,90.0,46.0,6.9,9.0,0.0,0.0,0.106253,0,,,3.0,1.0,2.0,3.0,1.0,,1.0,,1.0,1.0,,2.0,,,1.0,,,2.0,,,,,,,,,,,,
10411732,home,Atalanta,Joakim Mæhle,joakim-maehle,J. Mæhle,D,21,185,1471,M,,842364,EUR,864086400,M,3,3,False,40.0,34.0,3.0,1.0,15.0,19.0,19.0,21.0,2.0,6.0,,,,,89.0,63.0,6.8,11.0,0.0789,0.0,0.0530642,1,,,,,5.0,2.0,,2.0,,1.0,1.0,2.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,
10411732,home,Atalanta,Ruslan Malinovskyi,ruslan-malinovskyi,R. Malinovskyi,M,17,181,4666,M,malinovskyi18,195850,EUR,736473600,F,18,18,False,30.0,23.0,8.0,6.0,8.0,9.0,16.0,24.0,,4.0,,,,,73.0,44.0,7.9,12.0,0.2005,0.0242,0.0748697,5,,,3.0,,3.0,2.0,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,,1.0,1.0,,,,,,,,,
10411732,home,Atalanta,Mario Pašalić,mario-pasalic,M. Pašalić,M,20,189,7385,M,pasalicmario,190437,EUR,792288000,F,88,88,False,23.0,17.0,2.0,1.0,10.0,11.0,8.0,13.0,1.0,6.0,,,,,73.0,33.0,6.9,8.0,0.0955,0.2219,0.050133,3,,,1.0,3.0,8.0,3.0,2.0,,2.0,,2.0,1.0,3.0,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,
