match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_bigChanceCreated,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_wasFouled,stat_totalOffside,stat_totalContest,stat_wonContest,captain,stat_blockedScoringAttempt,stat_goals,stat_dispossessed,stat_shotOffTarget,player_sofascoreId,stat_hitWoodwork
12499400,home,VfB Stuttgart,Alexander Nübel,,,alexander-nubel,A. Nübel,G,33,193,2048,M,584722,EUR,844041600,G,33,33,False,42.0,30.0,26.0,15.0,0.0,21.0,24.0,9.0,18.0,1.0,1.0,1.0,2.0,10.0,3.0,5.0,2.0,1.0,90.0,53.0,7.6,12.0,0.113452,1.0,0,-0.5259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499400,home,VfB Stuttgart,Josha Vagnoman,,,josha-vagnoman,J. Vagnoman,D,4,186,549,M,906278,EUR,976492800,D,4,4,False,46.0,36.0,3.0,1.0,1.0,12.0,16.0,25.0,31.0,4.0,2.0,,4.0,7.0,,,,,90.0,65.0,6.1,11.0,0.255899,2.0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1455,0.1109,,,,,,,,,,,,,,,
12499400,home,VfB Stuttgart,Finn Jeltsch,Finn Jeltsch,,jeltsch-finn,F. Jeltsch,D,29,188,1205,M,1418649,EUR,1153094400,D,29,29,False,68.0,63.0,8.0,5.0,0.0,40.0,42.0,23.0,26.0,2.0,1.0,,1.0,5.0,,,,,90.0,74.0,6.3,5.0,0.0143728,,0,,,,,,1.0,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
12499400,home,VfB Stuttgart,Jeff Chabot,,,julian-chabot,J. Chabot,D,24,194,723,M,863271,EUR,887241600,D,24,24,False,42.0,34.0,11.0,4.0,0.0,28.0,28.0,6.0,14.0,4.0,1.0,,1.0,1.0,,,,,70.0,49.0,6.5,9.0,0.108264,1.0,0,,,,2.0,,2.0,,,,,1.0,2.0,,,2.0,,,,2.0,1.0,,,,,,,,,
12499400,home,VfB Stuttgart,Maximilian Mittelstädt,,,maximilian-mittelstadt,M. Mittelstädt,D,7,178,2368,M,788949,EUR,858643200,D,7,7,False,33.0,31.0,,,0.0,15.0,17.0,16.0,22.0,4.0,1.0,,2.0,4.0,,,,,90.0,68.0,7.1,11.0,0.011719,,0,,6.0,,1.0,,13.0,,,1.0,,2.0,1.0,,,,7.0,5.0,,4.0,,3.0,2.0,,,,,,,
12499400,home,VfB Stuttgart,Atakan Karazor,,,atakan-karazor,A. Karazor,M,16,190,1082,M,801030,EUR,845164800,M,16,16,False,39.0,35.0,1.0,,0.0,15.0,16.0,20.0,23.0,7.0,2.0,,,2.0,,,,,81.0,47.0,6.4,5.0,0.105414,,0,,,,2.0,,3.0,,,1.0,,1.0,3.0,,,1.0,2.0,1.0,,1.0,,,,True,,,,,,
12499400,home,VfB Stuttgart,Angelo Stiller,,,stiller-angelo,A. Stiller,M,6,183,7426,M,901882,EUR,986342400,M,6,6,False,68.0,60.0,7.0,4.0,0.0,29.0,31.0,33.0,41.0,2.0,1.0,,,7.0,,,,,90.0,81.0,7.0,11.0,0.267864,1.0,2,,4.0,2.0,1.0,,3.0,,1.0,1.0,1.0,1.0,,0.0981,0.2626,,2.0,1.0,,1.0,,,,,1.0,1.0,,,,
12499400,home,VfB Stuttgart,Jamie Leweling,,,leweling-jamie,J. Leweling,M,18,184,1954,M,990201,EUR,983145600,M,18,18,False,18.0,16.0,,,0.0,4.0,5.0,12.0,14.0,6.0,,1.0,,3.0,,,,,70.0,36.0,6.6,12.0,0.141287,1.0,1,,1.0,,1.0,,4.0,,,3.0,,1.0,,0.0187,,,1.0,,,2.0,,3.0,1.0,,,,3.0,1.0,,
12499400,home,VfB Stuttgart,Chris Führich,,,chris-fuhrich,C. Führich,M,10,178,1574,M,891510,EUR,884304000,M,27,27,False,23.0,18.0,1.0,,0.0,3.0,3.0,17.0,23.0,4.0,,,1.0,2.0,,,,,81.0,40.0,6.7,12.0,0.0900047,2.0,0,,3.0,2.0,,,3.0,,,1.0,,3.0,2.0,,,,1.0,1.0,,1.0,,2.0,1.0,,,,1.0,,,
12499400,home,VfB Stuttgart,Deniz Undav,,,deniz-undav,D. Undav,F,26,179,7593,M,794298,EUR,837734400,F,26,26,False,23.0,17.0,,,0.0,7.0,7.0,10.0,17.0,5.0,,,,1.0,,,,,90.0,35.0,7.3,9.0,0.0331662,,5,,1.0,,5.0,1.0,3.0,1.0,1.0,,,2.0,1.0,0.4266,0.0296,,1.0,1.0,,,1.0,1.0,1.0,,2.0,,,2.0,denizundav,1.0
