match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_fouls,stat_bigChanceMissed,stat_shotOffTarget,stat_wasFouled,stat_dispossessed,stat_blockedScoringAttempt,stat_wonTackle,captain,stat_goals,stat_totalOffside
13472695,home,Cruzeiro,Cássio,cassio,Cássio,G,1,195,4592,M,rcassio12,27756,EUR,549936000,G,1,1,False,19.0,11.0,9.0,2.0,0.0,11.0,13.0,6.0,1.0,10.0,3.0,5.0,1.0,90.0,30.0,7.9,8.0,5.851e-05,0,1.0553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472695,home,Cruzeiro,William,william,William,D,12,176,2476,M,,604274,EUR,796867200,D,12,12,False,43.0,34.0,7.0,4.0,0.0,16.0,20.0,23.0,1.0,3.0,,,,90.0,63.0,7.9,14.0,0.134325,1,,,,18.0,4.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0194,0.087,2.0,,,,,,,,,,
13472695,home,Cruzeiro,Fabrício Bruno,fabricio-bruno,F. Bruno,D,15,192,6526,M,fabriciobruno96,840220,EUR,824083200,D,15,15,False,46.0,40.0,7.0,4.0,0.0,26.0,29.0,17.0,8.0,4.0,,,,90.0,60.0,7.2,6.0,0.0037677,0,,,,14.0,,,4.0,3.0,7.0,3.0,1.0,,,,,1.0,2.0,,,,,,2.0,,,,,,,,,
13472695,home,Cruzeiro,Lucas Villalba,lucas-villalba,L. Villalba,D,25,177,1898,M,,260077,EUR,777254400,D,25,25,False,37.0,25.0,11.0,5.0,0.0,19.0,21.0,16.0,4.0,1.0,,,,90.0,56.0,6.9,14.0,0.0134192,2,,,,6.0,,,2.0,1.0,4.0,5.0,1.0,1.0,1.0,,1.0,,3.0,1.0,1.0,0.4798,0.5816,,2.0,1.0,1.0,2.0,,,,,,
13472695,home,Cruzeiro,Kaiki,kaiki,Kaiki,D,6,172,2601,M,,1112484,EUR,1047081600,D,6,6,False,23.0,19.0,3.0,1.0,0.0,13.0,15.0,8.0,5.0,4.0,,,,90.0,56.0,7.6,9.0,0.00177128,3,,Kaiki,,6.0,1.0,,,1.0,4.0,6.0,1.0,2.0,1.0,,1.0,,2.0,3.0,1.0,0.1153,0.6294,,1.0,,,1.0,1.0,2.0,2.0,,,
13472695,home,Cruzeiro,Matheus Henrique,matheus-henrique,M. Henrique,M,8,175,2964,M,,912786,EUR,882489600,M,8,8,False,25.0,22.0,1.0,,0.0,12.0,13.0,12.0,,5.0,,,,90.0,34.0,6.9,5.0,0.0117686,0,,,,10.0,2.0,,1.0,,3.0,4.0,1.0,,,,,1.0,1.0,2.0,,,,,1.0,,,2.0,,,1.0,,,
13472695,home,Cruzeiro,Lucas Romero,lucas-romero,L. Romero,M,29,167,2727,M,,263477,EUR,766627200,M,29,29,False,43.0,36.0,3.0,3.0,0.0,17.0,18.0,25.0,,3.0,,,,90.0,51.0,7.1,9.0,0.0115135,0,,,,19.0,1.0,,,,2.0,3.0,2.0,,,,,1.0,,3.0,,,,1.0,,,,,,,2.0,,,
13472695,home,Cruzeiro,Lucas Silva,lucas-silva,L. Silva,M,16,182,2401,M,,245159,EUR,729820800,M,16,16,False,25.0,20.0,2.0,2.0,0.0,9.0,11.0,14.0,1.0,1.0,,,,87.0,33.0,6.5,9.0,0.0104278,0,,,,11.0,,,,,6.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,1.0,2.0,,,,2.0,,,True,,
13472695,home,Cruzeiro,Wanderson,wanderson,Wanderson,M,94,175,1923,M,,247483,EUR,781401600,M,94,94,False,9.0,8.0,,,0.0,1.0,1.0,8.0,,1.0,,,,73.0,27.0,6.8,10.0,0.00809708,1,,,,7.0,4.0,,1.0,,4.0,3.0,1.0,1.0,1.0,1.0,,,1.0,1.0,3.0,0.0132,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,
13472695,home,Cruzeiro,Kaio Jorge,kaio-jorge,K. Jorge,F,19,182,26963,M,kaiojorge,954888,EUR,1011830400,F,19,19,False,4.0,4.0,,,0.0,1.0,1.0,3.0,,,,,,45.0,7.0,6.5,3.0,0.00975135,0,,,,3.0,,,1.0,,2.0,,,,,,,,,,3.0,,,,1.0,,,,,,,,,
