match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_accurateCross,stat_bigChanceMissed,stat_goals,stat_dispossessed,stat_totalContest,stat_wonContest,stat_penaltyConceded,captain,stat_hitWoodwork,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,stat_penaltyWon
11406833,home,Monza,Michele Di Gregorio,,,michele-di-gregorio,M. Di Gregorio,G,16,187,8129,M,L'UomoTigre,844609,EUR,869961600,G,16,16,False,34.0,27.0,13.0,6.0,26.0,28.0,1.0,6.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,90.0,40.0,6.3,7.0,0.00034683,0,-1.6225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406833,home,Monza,Samuele Birindelli,,,samuele-birindelli,S. Birindelli,M,19,175,231,M,,856729,EUR,932342400,D,19,19,False,38.0,31.0,3.0,2.0,16.0,19.0,15.0,21.0,1.0,5.0,3.0,3.0,,,,,90.0,57.0,6.8,12.0,0.0403301,2,,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0598,0.0195,2.0,,,,,,,,,,,,,,,,
11406833,home,Monza,Luca Caldirola,,,luca-caldirola,L. Caldirola,D,33,189,134,M,,100565,EUR,665366400,D,5,5,False,43.0,41.0,7.0,5.0,30.0,30.0,11.0,13.0,2.0,3.0,1.0,,,,,,85.0,48.0,6.4,2.0,0.00508884,1,,,,1.0,,,,1.0,1.0,,,1.0,0.0335,,1.0,1.0,1.0,,,,,,,,,,,,,,
11406833,home,Monza,Pablo Marí,,,pablo-mari,P. Marí,D,30,191,1707,M,,208988,EUR,746755200,D,22,22,False,54.0,50.0,8.0,6.0,38.0,39.0,12.0,15.0,1.0,3.0,3.0,2.0,,,,,90.0,63.0,6.5,5.0,0.00411025,0,,,,1.0,,,,2.0,2.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,
11406833,home,Monza,Andrea Carboni,,,andrea-carboni,A. Carboni,D,44,185,201,M,,970978,EUR,981244800,D,44,44,False,60.0,57.0,4.0,2.0,32.0,34.0,26.0,28.0,,3.0,1.0,1.0,,,,,90.0,76.0,7.3,6.0,0.0959196,4,,2.0,,,,3.0,1.0,,,2.0,3.0,,0.41,0.3604,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,
11406833,home,Monza,Roberto Gagliardini,,,roberto-gagliardini,R. Gagliardini,M,63,188,567,M,,287057,EUR,765676800,M,6,6,False,4.0,4.0,,,2.0,2.0,2.0,2.0,,,,1.0,,,,,22.0,4.0,6.5,,0.00132299,0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11406833,home,Monza,Warren Bondo,,,warren-bondo,W. Bondo,M,38,177,2004,M,,1000366,EUR,1063584000,M,38,38,False,29.0,26.0,,,12.0,13.0,14.0,16.0,,5.0,1.0,4.0,,,,,90.0,39.0,6.3,5.0,0.0306134,1,,,,4.0,,,1.0,1.0,1.0,,3.0,2.0,0.0202,0.1551,,,,1.0,,,,1.0,2.0,1.0,1.0,,,,,,
11406833,home,Monza,Andrea Colpani,,,colpani-andrea,A. Colpani,M,28,186,944,M,,928122,EUR,926380800,M,28,28,False,6.0,6.0,1.0,1.0,2.0,2.0,5.0,5.0,,1.0,,2.0,,,,,45.0,11.0,6.5,3.0,0.0751534,0,,1.0,,1.0,,,,1.0,1.0,2.0,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,
11406833,home,Monza,Matteo Pessina,,,matteo-pessina,M. Pessina,M,32,183,659,M,,350210,EUR,861580800,M,32,32,False,61.0,55.0,5.0,4.0,33.0,36.0,22.0,25.0,1.0,3.0,,6.0,,,,,90.0,68.0,6.5,8.0,0.00937283,0,,,,1.0,1.0,,,1.0,,2.0,1.0,,,,,,,1.0,,,,,,,,True,,,,,
11406833,home,Monza,Dany Mota,,,dany-mota,D. Mota,F,47,180,827,M,,838907,EUR,894067200,M,47,47,False,27.0,26.0,3.0,3.0,14.0,14.0,15.0,17.0,,1.0,,1.0,,,,,66.0,37.0,6.8,5.0,0.0906193,1,,4.0,1.0,3.0,1.0,,,,,2.0,1.0,,0.0217,,3.0,1.0,,1.0,3.0,,,,1.0,,,,,,,,
