match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_totalCross,stat_keyPass,stat_aerialLost,stat_bigChanceMissed,stat_dispossessed,stat_blockedScoringAttempt,stat_accurateCross,stat_totalContest,stat_bigChanceCreated,stat_shotOffTarget,stat_goals,captain,stat_wonContest,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_goalAssist,stat_totalOffside,stat_errorLeadToAGoal
11407451,home,Monza,Michele Di Gregorio,,,michele-di-gregorio,M. Di Gregorio,G,16,187,8129,M,L'UomoTigre,844609,EUR,869961600,G,16,16,False,33.0,24.0,17.0,8.0,19.0,24.0,5.0,9.0,8.0,4.0,90.0,43.0,7.0,9.0,0.00077911,0,-0.6371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407451,home,Monza,Danilo D'Ambrosio,,,danilo-dambrosio,D. D'Ambrosio,D,,180,548,M,,107936,EUR,589766400,D,33,33,False,38.0,32.0,4.0,1.0,20.0,24.0,12.0,14.0,5.0,,89.0,52.0,6.7,9.0,0.0126683,1,,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0191,0.0259,,,,,,,,,,,,,,,,,,,,,,
11407451,home,Monza,Luca Caldirola,,,luca-caldirola,L. Caldirola,D,33,189,134,M,,100565,EUR,665366400,D,5,5,False,31.0,26.0,5.0,1.0,23.0,25.0,3.0,6.0,1.0,,90.0,43.0,6.8,6.0,0.00430637,0,,1.0,2.0,5.0,,3.0,,,1.0,1.0,,,1.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,
11407451,home,Monza,Andrea Carboni,,,andrea-carboni,A. Carboni,D,44,185,201,M,,970978,EUR,981244800,D,44,44,False,45.0,39.0,4.0,1.0,31.0,34.0,8.0,12.0,4.0,,90.0,55.0,6.9,7.0,0.00270041,0,,,,3.0,,2.0,3.0,2.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,
11407451,home,Monza,Patrick Ciurria,,,patrick-ciurria,P. Ciurria,F,26,178,222,M,,346676,EUR,792288000,M,84,84,False,11.0,8.0,,,1.0,1.0,7.0,11.0,2.0,,58.0,16.0,6.7,4.0,0.00767437,0,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,
11407451,home,Monza,Roberto Gagliardini,,,roberto-gagliardini,R. Gagliardini,M,63,188,567,M,,287057,EUR,765676800,M,6,6,False,57.0,51.0,3.0,2.0,25.0,28.0,26.0,30.0,6.0,,90.0,65.0,7.0,8.0,0.0385444,1,,4.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,,0.1514,0.168,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11407451,home,Monza,Warren Bondo,,,warren-bondo,W. Bondo,M,38,177,2004,M,,1000366,EUR,1063584000,M,38,38,False,17.0,15.0,1.0,,13.0,14.0,2.0,3.0,7.0,,58.0,24.0,6.7,4.0,0.00066032,1,,1.0,3.0,2.0,,,1.0,1.0,,1.0,0.0883,,,,1.0,,,,,,2.0,1.0,,,,,,,,,,,,
11407451,home,Monza,Georgios Kyriakopoulos,,,georgios-kyriakopoulos,G. Kyriakopoulos,M,77,186,878,M,,377302,EUR,823478400,M,77,77,False,47.0,40.0,5.0,2.0,28.0,31.0,12.0,19.0,6.0,,90.0,62.0,6.4,11.0,0.0173212,1,,,3.0,,,,,,1.0,2.0,0.0236,,,,,,3.0,,1.0,,,1.0,,,,,,,,,,,,
11407451,home,Monza,Andrea Colpani,,,colpani-andrea,A. Colpani,M,28,186,944,M,,928122,EUR,926380800,F,28,28,False,27.0,19.0,1.0,,7.0,10.0,15.0,22.0,3.0,,81.0,45.0,8.2,13.0,0.168109,3,,,6.0,5.0,2.0,2.0,2.0,2.0,,2.0,0.3075,0.7642,,,,3.0,5.0,3.0,2.0,,1.0,,3.0,1.0,1.0,1.0,1.0,,,,,,,
11407451,home,Monza,Matteo Pessina,,,matteo-pessina,M. Pessina,M,32,183,659,M,,350210,EUR,861580800,F,32,32,False,53.0,44.0,3.0,1.0,19.0,25.0,25.0,28.0,2.0,,90.0,60.0,6.7,12.0,0.0714483,0,,1.0,4.0,2.0,,,,,1.0,,,,2.0,,,,,1.0,,,1.0,,,2.0,,,,True,1.0,,,,,
