match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_challengeLost,stat_totalContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_lastManTackle,stat_wonTackle,stat_fouls,captain,stat_wasFouled,stat_dispossessed,stat_onTargetScoringAttempt,player_firstName,player_lastName,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_goals,stat_unsuccessfulTouch,stat_keyPass,stat_wonContest,stat_shotOffTarget,player_sofascoreId,stat_errorLeadToAGoal,stat_hitWoodwork,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside
11407347,home,Hellas Verona,Lorenzo Montipò,lorenzo-montipo,L. Montipò,G,1,191.0,564,M,253391,EUR,820454400,G,1,1,False,34.0,15.0,33.0,14.0,1.0,1.0,14.0,33.0,1.0,1.0,1.0,1.0,2.0,7.0,1.0,5.0,6.0,1.0,1.0,1.0,90.0,44.0,8.1,19.0,0.0,0.0,0.00619031,0,0.6338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407347,home,Hellas Verona,Giangiacomo Magnani,giangiacomo-magnani,G. Magnani,D,96,190.0,252,M,812829,EUR,812764800,D,23,23,False,16.0,14.0,1.0,,9.0,9.0,5.0,7.0,,,2.0,1.0,3.0,2.0,,,,,,,90.0,25.0,6.6,3.0,0.0194,0.0,0.00142198,1,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11407347,home,Hellas Verona,Isak Hien,hien-isak,I. Hien,D,4,191.0,2306,M,1157713,EUR,916185600,D,6,6,False,18.0,15.0,5.0,3.0,12.0,12.0,3.0,6.0,,,6.0,3.0,3.0,6.0,,,,,,,84.0,29.0,6.2,4.0,0.0,0.0,0.00138174,0,,2.0,1.0,,,,3.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,
11407347,home,Hellas Verona,Paweł Dawidowicz,pawel-dawidowicz,P. Dawidowicz,D,27,188.0,1744,M,288321,EUR,800928000,D,27,27,False,22.0,19.0,8.0,7.0,13.0,13.0,6.0,9.0,1.0,3.0,3.0,5.0,7.0,2.0,,,,,,,90.0,33.0,7.0,3.0,0.0,0.0,0.00621134,0,,1.0,,,1.0,,1.0,,1.0,1.0,True,1.0,,,,,,,,,,,,,,,,,,
11407347,home,Hellas Verona,Filippo Terracciano,terracciano-filippo,F. Terracciano,D,24,181.0,1614,M,1034303,EUR,1044662400,M,24,24,False,7.0,6.0,1.0,1.0,2.0,3.0,4.0,4.0,1.0,,6.0,1.0,,2.0,,,,,,,63.0,18.0,6.4,5.0,0.0154,0.0139,0.00953729,1,,1.0,,,,,,,,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,
11407347,home,Hellas Verona,Martin Hongla,martin-hongla,M. Hongla,M,78,183.0,1195,M,856062,EUR,890006400,M,18,18,False,15.0,9.0,4.0,1.0,3.0,3.0,6.0,12.0,,1.0,1.0,3.0,3.0,6.0,,,,,,,90.0,26.0,6.9,8.0,0.0,0.0,0.0022695,0,,,,,2.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
11407347,home,Hellas Verona,Ondrej Duda,ondrej-duda,O. Duda,M,11,181.0,1121,M,246319,EUR,786585600,M,33,33,False,13.0,9.0,3.0,2.0,4.0,6.0,6.0,8.0,2.0,,3.0,2.0,1.0,6.0,,,,,,,71.0,26.0,8.1,6.0,0.5535,0.9704,0.0329572,1,,,,,,2.0,1.0,,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,
11407347,home,Hellas Verona,Josh Doig,josh-doig,J. Doig,D,3,189.0,836,M,989276,EUR,1021680000,M,3,3,False,13.0,8.0,2.0,2.0,2.0,3.0,6.0,11.0,1.0,3.0,5.0,5.0,3.0,1.0,,,,,,,90.0,31.0,6.7,8.0,0.0343,0.0,0.00858936,1,,2.0,2.0,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,
11407347,home,Hellas Verona,Cyril Ngonge,cyril-ngonge,C. Ngonge,F,16,179.0,1937,M,877037,EUR,959299200,F,26,26,False,13.0,11.0,,,8.0,10.0,3.0,4.0,3.0,1.0,9.0,4.0,,3.0,,,,,,,63.0,24.0,7.1,9.0,0.1348,0.2851,0.00175828,1,,,5.0,,,,1.0,,1.0,2.0,,,1.0,1.0,,,,1.0,,1.0,2.0,1.0,2.0,,,,,,,
11407347,home,Hellas Verona,Michael Folorunsho,michael-folorunsho,M. Folorunsho,M,90,190.0,1521,M,869795,EUR,886809600,F,90,90,False,10.0,5.0,1.0,1.0,1.0,1.0,4.0,9.0,3.0,1.0,6.0,8.0,5.0,3.0,,,,,,,88.0,27.0,6.9,7.0,0.0,0.0,0.0232568,0,,2.0,3.0,,,,,,,,,5.0,,,,,,,,,1.0,1.0,2.0,,,,,,,
