match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,player_sofascoreId,stat_aerialLost,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialWon,stat_outfielderBlock,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,captain,stat_accurateCross,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented,stat_errorLeadToAShot
12764106,home,AFC Ajax,Remko Pasveer,remko-pasveer,R. Pasveer,G,22,186,799,M,2622,EUR,437097600,G,22,22,False,31.0,26.0,7.0,2.0,0.0,25.0,27.0,1.0,4.0,8.0,1.0,1.0,1.0,90.0,37.0,6.8,5.0,0.00024497,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764106,home,AFC Ajax,Devyne Rensch,devyne-rensch,D. Rensch,D,2,182,2450,M,982778,EUR,1042848000,D,2,2,False,38.0,31.0,1.0,,0.0,13.0,15.0,18.0,24.0,4.0,,,,90.0,65.0,7.5,11.0,0.0623541,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.1108,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12764106,home,AFC Ajax,Josip Šutalo,josip-sutalo,J. Šutalo,D,37,190,4307,M,954836,EUR,951696000,D,37,37,False,69.0,64.0,4.0,2.0,0.0,38.0,39.0,26.0,30.0,3.0,,,,90.0,84.0,7.3,6.0,0.0120507,0,,4.0,3.0,,,,,3.0,3.0,2.0,1.0,,,,,josip.sutalo,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12764106,home,AFC Ajax,Youri Baas,youri-baas,Y. Baas,D,15,182,1217,M,1000228,EUR,1047859200,D,15,15,False,73.0,63.0,8.0,4.0,0.0,47.0,50.0,16.0,23.0,5.0,,,,90.0,82.0,7.4,10.0,0.0173963,0,,1.0,4.0,,2.0,2.0,,2.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
12764106,home,AFC Ajax,Jorrel Hato,jorrel-hato,J. Hato,D,21,182,15506,M,1153079,EUR,1141689600,D,4,4,False,33.0,32.0,,,0.0,20.0,21.0,12.0,13.0,8.0,,,,90.0,45.0,7.1,2.0,0.0116003,0,1.0,4.0,3.0,,,,,1.0,,3.0,,,,,,,1.0,2.0,,3.0,,1.0,,,,,,,,,,,,,,,
12764106,home,AFC Ajax,Kian Fitz-Jim,kian-fitz-jim,K. Fitz-Jim,M,28,173,1156,M,1001945,EUR,1057363200,M,28,28,False,30.0,25.0,1.0,,0.0,12.0,12.0,13.0,19.0,4.0,,,,66.0,49.0,8.1,8.0,0.0733252,2,1.0,3.0,6.0,1.0,2.0,2.0,,,3.0,2.0,1.0,0.4612,3.0,,,,,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9104,,,,,,,
12764106,home,AFC Ajax,Jordan Henderson,jordan-henderson,J. Henderson,M,6,183,6336,M,42694,EUR,645580800,M,6,6,False,58.0,47.0,7.0,3.0,0.0,26.0,27.0,22.0,34.0,5.0,,,,90.0,70.0,6.9,16.0,0.0554218,0,3.0,3.0,2.0,1.0,,,,1.0,1.0,2.0,2.0,,,,,jordanhenderson,1.0,2.0,,,,,1.0,,,,,,,,True,1.0,,,,,
12764106,home,AFC Ajax,Kenneth Taylor,kenneth-taylor,K. Taylor,M,24,182,3635,M,959806,EUR,1021507200,M,8,8,False,11.0,8.0,,,0.0,6.0,6.0,2.0,6.0,4.0,,,,66.0,21.0,7.5,8.0,0.00074093,1,1.0,5.0,2.0,3.0,1.0,1.0,,,1.0,1.0,,0.1333,,,,,,1.0,,2.0,,,,,,1.0,,1.0,,0.2504,,,,,,,
12764106,home,AFC Ajax,Bertrand Traoré,bertrand-traore,B. Traoré,F,25,180,34499,M,218160,EUR,810345600,F,20,20,False,27.0,24.0,2.0,2.0,1.0,2.0,3.0,22.0,26.0,2.0,,,,71.0,48.0,8.2,12.0,0.139059,4,2.0,5.0,2.0,2.0,3.0,1.0,,3.0,1.0,1.0,2.0,0.1593,2.0,,,bertrandtraore10,1.0,,,,,,,,2.0,2.0,1.0,,,0.2969,,,2.0,,,,
12764106,home,AFC Ajax,Brian Brobbey,brobbey-brian,B. Brobbey,F,9,180,7085,M,910048,EUR,1012521600,F,9,9,False,17.0,12.0,,,1.0,4.0,4.0,8.0,13.0,1.0,,,,70.0,22.0,7.1,6.0,0.0565059,0,,3.0,3.0,,,,,,,,1.0,,2.0,,,brianbrobbeyy,3.0,,2.0,,1.0,,,,,,,,,,,,,,,,
