match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_shotOffTarget,stat_clearanceOffLine,stat_fouls,stat_unsuccessfulTouch,captain,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,player_firstName,player_lastName,stat_goodHighClaim,player_sofascoreId
11396255,home,VfL Bochum 1848,Manuel Riemann,manuel-riemann,M. Riemann,G,1,186,218,M,24937,EUR,589766400,G,1,1,False,62.0,41.0,34.0,15.0,24.0,25.0,19.0,41.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0,2.0,2.0,1.0,90.0,74.0,7.1,24.0,0.0708509,1.0,0,-0.4041,,,,,,,,,,,,,,,,,,,,,,,,,
11396255,home,VfL Bochum 1848,Tim Oermann,tim-oermann,T. Oermann,D,15,187,294,M,1138778,EUR,1065398400,D,14,14,False,10.0,7.0,2.0,1.0,3.0,3.0,6.0,9.0,2.0,2.0,,2.0,1.0,,1.0,1.0,1.0,,,,,45.0,23.0,6.7,4.0,0.149857,1.0,0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11396255,home,VfL Bochum 1848,Ivan Ordets,ivan-ordets,I. Ordets,D,,194,123,M,137673,EUR,710553600,D,20,20,False,38.0,23.0,5.0,,16.0,21.0,7.0,17.0,,,11.0,4.0,14.0,,,,4.0,3.0,,,,90.0,53.0,7.9,15.0,0.534079,1.0,3,,4.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.1831,0.7182,,,,,,,,,,,,,
11396255,home,VfL Bochum 1848,Keven Schlotterbeck,keven-schlotterbeck,K. Schlotterbeck,D,31,189,405,M,891651,EUR,862185600,D,31,31,False,63.0,59.0,6.0,6.0,32.0,33.0,27.0,30.0,,,7.0,2.0,9.0,,1.0,,5.0,7.0,,,,90.0,77.0,7.4,6.0,0.112666,1.0,2,,1.0,,1.0,,,,,1.0,,1.0,0.1434,0.2127,1.0,1.0,,,,,,,,,,,
11396255,home,VfL Bochum 1848,Bernardo,bernardo,Bernardo,D,13,186,580,M,828571,EUR,800409600,D,5,5,False,42.0,33.0,4.0,3.0,17.0,21.0,17.0,22.0,1.0,1.0,7.0,8.0,10.0,,,,3.0,5.0,,,,90.0,75.0,7.6,12.0,0.0704371,1.0,4,,6.0,,1.0,3.0,,2.0,1.0,2.0,,1.0,0.1415,0.3995,,,1.0,3.0,,,,,,,,,
11396255,home,VfL Bochum 1848,Erhan Mašović,erhan-masovic,E. Mašović,D,4,189,232,M,833213,EUR,911692800,M,4,4,False,32.0,24.0,5.0,1.0,8.0,11.0,16.0,23.0,2.0,,,7.0,2.0,1.0,2.0,2.0,3.0,2.0,,,,90.0,49.0,6.5,11.0,0.0767478,,1,,2.0,1.0,1.0,,,,2.0,,,,0.0373,0.0622,,,,3.0,,,,,,,,,
11396255,home,VfL Bochum 1848,Philipp Förster,philipp-forster,P. Förster,M,11,189,109,M,268791,EUR,791856000,M,10,10,False,31.0,27.0,1.0,,7.0,7.0,20.0,25.0,1.0,,1.0,4.0,4.0,2.0,1.0,1.0,,3.0,,,,60.0,41.0,6.7,7.0,0.0935721,1.0,1,,,1.0,,1.0,,,1.0,1.0,,1.0,0.0447,,,,,1.0,1.0,,,,,,,,
11396255,home,VfL Bochum 1848,Anthony Losilla,anthony-losilla,A. Losilla,M,,185,68,M,119179,EUR,510796800,M,8,8,False,31.0,19.0,7.0,4.0,7.0,10.0,12.0,21.0,,,3.0,7.0,8.0,2.0,1.0,1.0,1.0,1.0,,,,90.0,43.0,6.9,14.0,0.0153246,,1,,4.0,,,,,,,3.0,3.0,1.0,0.088,,,1.0,,1.0,2.0,True,,,,,,,
11396255,home,VfL Bochum 1848,Kevin Stöger,kevin-stoger,K. Stöger,M,7,175,715,M,95381,EUR,746409600,M,7,7,False,65.0,47.0,8.0,3.0,10.0,11.0,49.0,76.0,22.0,12.0,,6.0,3.0,1.0,3.0,1.0,1.0,5.0,,,,90.0,113.0,7.9,35.0,0.811109,10.0,2,,,3.0,,1.0,,,1.0,1.0,,1.0,0.1643,,,1.0,,,1.0,,1.0,1.0,,,,,
11396255,home,VfL Bochum 1848,Takuma Asano,takuma-asano,T. Asano,M,11,173,2035,M,309546,EUR,784425600,F,11,11,False,21.0,18.0,1.0,,3.0,3.0,16.0,21.0,3.0,1.0,2.0,8.0,2.0,,3.0,,,7.0,,,,90.0,40.0,6.7,15.0,0.0264673,1.0,4,,2.0,2.0,1.0,2.0,,,,,,,0.1773,0.028,,1.0,,1.0,4.0,,,,1.0,,,,
