match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_fouls,stat_totalOffside,stat_aerialLost,stat_aerialWon,stat_unsuccessfulTouch,stat_lastManTackle,stat_outfielderBlock,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_shotOffTarget,stat_expectedGoals,stat_blockedScoringAttempt,stat_goalAssist,stat_bigChanceCreated,captain,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goodHighClaim,player_sofascoreId
11407479,home,Hellas Verona,Lorenzo Montipò,lorenzo-montipo,L. Montipò,G,1,191,564,M,253391,EUR,820454400,G,1,1,False,36.0,17.0,30.0,11.0,7.0,9.0,10.0,27.0,12.0,2.0,4.0,90.0,42.0,7.3,19.0,0.00358747,0,0.5997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407479,home,Hellas Verona,Jackson Tchatchoua,jackson-tchatchoua,J. Tchatchoua,M,38,180,2199,M,1096210,EUR,1000425600,D,38,38,False,15.0,11.0,2.0,,7.0,8.0,5.0,9.0,3.0,,,90.0,38.0,6.6,7.0,0.0166037,0,,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
11407479,home,Hellas Verona,Diego Coppola,diego-coppola,D. Coppola,D,42,192,1399,M,1050692,EUR,1072569600,D,42,42,False,34.0,19.0,8.0,,17.0,19.0,2.0,15.0,4.0,,,87.0,53.0,6.8,17.0,0.00039567,0,,,,2.0,4.0,,,,,6.0,3.0,2.0,1.0,,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
11407479,home,Hellas Verona,Bruno Amione,bruno-amione,B. Amione,D,2,189,503,M,990050,EUR,1010016000,D,2,2,False,26.0,22.0,5.0,2.0,20.0,21.0,2.0,5.0,6.0,,,90.0,46.0,6.7,7.0,0.00218128,0,,,,3.0,5.0,,1.0,,,5.0,1.0,5.0,1.0,1.0,2.0,,,,2.0,1.0,,,,,,,,,,,,,,,,
11407479,home,Hellas Verona,Filippo Terracciano,terracciano-filippo,F. Terracciano,D,24,181,1614,M,1034303,EUR,1044662400,D,24,24,False,27.0,17.0,10.0,4.0,12.0,16.0,6.0,14.0,6.0,,,90.0,48.0,6.8,15.0,0.0448445,0,,3.0,1.0,3.0,4.0,,,2.0,1.0,2.0,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,3.0,1.0,,,,,,,,,,,,,
11407479,home,Hellas Verona,Ondrej Duda,ondrej-duda,O. Duda,M,11,181,1121,M,246319,EUR,786585600,M,33,33,False,25.0,16.0,7.0,3.0,8.0,12.0,9.0,14.0,7.0,,,77.0,39.0,6.4,12.0,0.0368436,1,,1.0,1.0,6.0,7.0,1.0,2.0,1.0,1.0,,,3.0,3.0,,4.0,,,,1.0,,,3.0,,,,1.0,0.0498,,,,,,,,,
11407479,home,Hellas Verona,Michael Folorunsho,michael-folorunsho,M. Folorunsho,M,90,190,1521,M,869795,EUR,886809600,M,90,90,False,17.0,11.0,1.0,,9.0,10.0,2.0,7.0,7.0,,,57.0,33.0,6.6,11.0,0.00272234,1,,,,5.0,3.0,2.0,1.0,2.0,1.0,,1.0,1.0,1.0,,1.0,,,,2.0,,1.0,1.0,,,,1.0,0.0187,,,,,,,,,
11407479,home,Hellas Verona,Cyril Ngonge,cyril-ngonge,C. Ngonge,F,16,179,1937,M,877037,EUR,959299200,M,26,26,False,11.0,6.0,4.0,2.0,,1.0,6.0,13.0,6.0,,,90.0,32.0,6.9,16.0,0.00988393,1,,3.0,,6.0,4.0,1.0,,4.0,2.0,1.0,1.0,1.0,1.0,,2.0,,1.0,,6.0,,1.0,1.0,1.0,,,,0.0206,1.0,,,,,,,,
11407479,home,Hellas Verona,Suat Serdar,suat-serdar,S. Serdar,M,8,183,687,M,800408,EUR,860716800,M,25,25,False,6.0,5.0,,,4.0,4.0,1.0,2.0,2.0,,,45.0,6.0,6.3,1.0,0.00019826,0,,,,3.0,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,
11407479,home,Hellas Verona,Tomáš Suslov,tomas-suslov,T. Suslov,F,31,175,1258,M,964154,EUR,1023408000,M,31,31,False,8.0,8.0,,,7.0,7.0,1.0,4.0,3.0,,,76.0,18.0,6.7,6.0,0.00066666,1,,3.0,,5.0,1.0,2.0,,2.0,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,1.0,0.1084,,1.0,1.0,,,,,,
