match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_keyPass,stat_dispossessed,stat_unsuccessfulTouch,stat_wasFouled,stat_totalCross,stat_errorLeadToAGoal,stat_accurateCross,stat_totalContest,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_fouls,stat_expectedGoalsOnTarget,player_sofascoreId,stat_wonContest,stat_bigChanceMissed,stat_totalOffside,stat_bigChanceCreated,stat_punches,stat_clearanceOffLine
12504647,home,Parma,Zion Suzuki,,,zion-suzuki,Z. Suzuki,G,31,189,4904,M,905351,EUR,1029888000,G,31,31,False,48.0,36.0,18.0,6.0,0.0,30.0,30.0,6.0,18.0,12.0,3.0,3.0,3.0,90.0,60.0,6.8,12.0,0.00702973,0,-0.8459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504647,home,Parma,Enrico Del Prato,,,enrico-del-prato,E. Del Prato,D,15,183,860,M,928103,EUR,942192000,D,15,15,False,50.0,41.0,6.0,4.0,0.0,23.0,23.0,18.0,27.0,4.0,,,,90.0,67.0,6.9,13.0,0.0192956,1,,True,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0282,2.0,,,,,,,,,,,,,,,,,,,
12504647,home,Parma,Giovanni Leoni,,,giovanni-leoni,G. Leoni,D,15,196,14345,M,1473137,EUR,1166659200,D,46,46,False,46.0,39.0,3.0,,0.0,32.0,38.0,7.0,8.0,4.0,,,,65.0,55.0,6.2,10.0,0.00110742,0,,,1.0,1.0,2.0,3.0,,,1.0,,1.0,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,
12504647,home,Parma,Botond Balogh,,,botond-balogh,B. Balogh,D,5,189,1291,M,983510,EUR,1023321600,D,4,4,False,62.0,57.0,3.0,2.0,0.0,47.0,48.0,10.0,15.0,2.0,,,,90.0,72.0,5.9,7.0,0.00352634,0,,,3.0,3.0,4.0,7.0,1.0,,4.0,,,3.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
12504647,home,Parma,Emanuele Valeri,,,emanuele-valeri,E. Valeri,D,14,180,818,M,891346,EUR,912988800,D,14,14,False,38.0,27.0,8.0,2.0,0.0,9.0,9.0,20.0,37.0,4.0,,,,90.0,66.0,6.9,22.0,0.214781,1,,,,,1.0,1.0,,,2.0,1.0,1.0,,,0.0541,4.0,,1.0,1.0,8.0,,2.0,1.0,1.0,,,,,,,,,,,
12504647,home,Parma,Nahuel Estévez,,,nahuel-estevez,N. Estévez,M,8,183,519,M,895868,EUR,816307200,M,8,8,False,6.0,3.0,1.0,,0.0,2.0,3.0,1.0,3.0,,,,,8.0,6.0,6.4,3.0,0.00039302,0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
12504647,home,Parma,Simon Sohm,,,simon-sohm,S. Sohm,M,23,188,941,M,909991,EUR,986947200,M,19,19,False,39.0,33.0,5.0,4.0,0.0,17.0,19.0,16.0,21.0,3.0,,,,90.0,53.0,8.8,9.0,0.067214,3,,,2.0,4.0,4.0,7.0,,,1.0,,1.0,1.0,,0.544,,1.0,,2.0,1.0,,,,,3.0,2.0,1.0,1.0427,,,,,,,
12504647,home,Parma,Dennis Man,,,dennis-man,D. Man,M,27,182,10418,M,812145,EUR,904089600,M,98,98,False,33.0,26.0,2.0,,0.0,3.0,3.0,23.0,32.0,5.0,,,,90.0,54.0,6.1,17.0,0.0626565,4,,,,1.0,4.0,4.0,1.0,1.0,,,1.0,,,0.6495,2.0,1.0,3.0,2.0,2.0,,,3.0,2.0,1.0,,,0.1889,dennisman,1.0,2.0,1.0,,,
12504647,home,Parma,Hernani,,,hernani,Hernani,M,8,188,409,M,156019,EUR,764726400,M,27,27,False,24.0,17.0,2.0,1.0,0.0,8.0,9.0,9.0,15.0,1.0,,,,45.0,30.0,6.7,7.0,0.00535752,0,,,2.0,3.0,7.0,7.0,2.0,,,,1.0,4.0,3.0,,1.0,,,,,,,,,,,3.0,,,,,,,,
12504647,home,Parma,Matteo Cancellieri,,,matteo-cancellieri,M. Cancellieri,F,22,185,1422,M,1017649,EUR,1013472000,M,22,22,False,5.0,2.0,,,0.0,2.0,2.0,,3.0,1.0,,,,45.0,13.0,6.2,8.0,3.455e-05,0,,,1.0,1.0,6.0,3.0,,,,,,,,,,2.0,1.0,2.0,,,,2.0,,,,1.0,,,,,,,,
