match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,stat_keyPass,captain,stat_bigChanceMissed
10408488,home,Girona FC,Paulo Gazzaniga,paulo-gazzaniga,P. Gazzaniga,G,13,196,1913,M,164343,EUR,694310400,G,13,13,False,42.0,34.0,14.0,6.0,31.0,33.0,3.0,9.0,1.0,11.0,2.0,1.0,1.0,1.0,90.0,56.0,6.7,9.0,0.0,0.0,0.00191589,0,-0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408488,home,Girona FC,Yan Couto,couto-yan,Y. Couto,D,2,169,7132,M,1002813,EUR,1023062400,D,20,20,False,44.0,35.0,4.0,,17.0,19.0,18.0,27.0,,9.0,,,,,90.0,62.0,6.5,15.0,0.0,0.0,0.0817662,0,,,,yan.couto,2.0,1.0,1.0,5.0,5.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,
10408488,home,Girona FC,Santiago Bueno,santiago-bueno,S. Bueno,D,4,189,1175,M,846308,EUR,910569600,D,22,22,False,79.0,68.0,12.0,6.0,51.0,53.0,17.0,26.0,2.0,3.0,,,,,90.0,88.0,7.0,11.0,0.1418,0.0,0.0107054,1,,,,,,3.0,2.0,4.0,4.0,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
10408488,home,Girona FC,David López,david-lopez,D. López,D,5,185,551,M,135116,EUR,623894400,D,5,5,False,65.0,55.0,6.0,1.0,46.0,52.0,9.0,13.0,6.0,8.0,,,,,90.0,75.0,7.5,10.0,0.1529,0.4215,0.00500826,1,,,,,,2.0,4.0,2.0,5.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
10408488,home,Girona FC,Javier Hernández,javier-hernandez,J. Hernández,D,26,181,457,M,1031658,EUR,894067200,D,16,16,False,41.0,35.0,1.0,1.0,24.0,27.0,11.0,17.0,1.0,2.0,,,,,74.0,55.0,6.5,12.0,0.0,0.0,0.0102911,0,,,,,3.0,,1.0,1.0,3.0,1.0,,,,,,1.0,,,,,2.0,,,,,,,,,,
10408488,home,Girona FC,Yangel Herrera,yangel-herrera,Y. Herrera,M,12,184,4247,M,839585,EUR,884131200,M,21,21,False,28.0,18.0,1.0,,9.0,10.0,10.0,20.0,,1.0,,,,,74.0,42.0,7.0,15.0,0.0396,0.0,0.177328,1,,,,YangelHerrera8,2.0,4.0,,9.0,5.0,1.0,2.0,,,3.0,,2.0,2.0,,,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,
10408488,home,Girona FC,Oriol Romeu,oriol-romeu,O. Romeu,M,28,182,14412,M,69416,EUR,685670400,M,18,18,False,60.0,55.0,4.0,2.0,33.0,36.0,22.0,24.0,2.0,5.0,,,,,90.0,68.0,6.5,5.0,0.0,0.0,0.0204109,0,,,,oriolromeu,,3.0,,6.0,1.0,2.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,
10408488,home,Girona FC,Aleix García,aleix-garcia,A. García,M,24,173,4524,M,796047,EUR,867456000,M,14,14,False,48.0,40.0,2.0,1.0,20.0,23.0,22.0,31.0,2.0,3.0,,,,,90.0,63.0,7.1,14.0,0.0275,0.0,0.210425,1,,,,AlexGarcia97,6.0,,1.0,2.0,1.0,,1.0,,,,,,1.0,,,1.0,,,,,2.0,,1.0,,4.0,True,
10408488,home,Girona FC,Toni Villa,toni-villa,Toni,M,19,171,108,M,813523,EUR,789436800,M,12,12,False,19.0,15.0,,,4.0,4.0,11.0,17.0,,1.0,,,,,55.0,32.0,6.6,7.0,0.0483,0.0,0.0156065,2,,,,,2.0,1.0,,4.0,3.0,,,3.0,2.0,,,,2.0,2.0,,,1.0,,,,,,,,1.0,,
10408488,home,Girona FC,Manu Vallejo,manu-vallejo,M. Vallejo,F,21,167,236,M,828969,EUR,855878400,F,25,25,False,10.0,8.0,,,4.0,4.0,4.0,7.0,1.0,,,,,,55.0,18.0,6.0,8.0,0.0,0.0,0.00395082,0,,,,,1.0,1.0,,9.0,,3.0,2.0,2.0,,,,,1.0,,,,,,,,,,,,,,
10408488,home,Girona FC,Valentín Castellanos,valentin-castellanos,V. Castellanos,F,11,179,10645,M,877013,EUR,907372800,F,9,9,False,4.0,1.0,,,,,1.0,4.0,1.0,,,,,,81.0,11.0,6.3,6.0,0.0135,0.0,0.00052055,1,,,,tatycastellanos11,,2.0,1.0,4.0,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,1.0,,,,
