match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_totalOffside,stat_interceptionWon,captain,stat_shotOffTarget,stat_expectedGoals,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,player_sofascoreId,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_crossNotClaimed,stat_lastManTackle,stat_blockedScoringAttempt
13472883,home,Ceará,Bruno Ferreira,Bruno Ferreira,Ventura Diniz,bruno-ferreira,B. Ferreira,G,94,197,350,M,1066241,EUR,763776000,G,94,94,False,28.0,17.0,22.0,11.0,0.0,8.0,9.0,9.0,19.0,2.0,3.0,4.0,8.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,90.0,41.0,7.5,11.0,0.00192202,0,0.0029999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472883,home,Ceará,Fabiano Souza,,,fabiano-silva,F. Souza,D,70,175,374,M,1130513,EUR,952992000,D,70,70,False,25.0,13.0,9.0,3.0,0.0,7.0,13.0,6.0,12.0,,4.0,1.0,6.0,1.0,,,,,,,90.0,43.0,6.6,19.0,0.109313,0,,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,
13472883,home,Ceará,Marllon,,,marllon,Marllon,D,3,184,365,M,221206,EUR,703382400,D,3,3,False,21.0,19.0,2.0,1.0,0.0,16.0,16.0,3.0,5.0,,1.0,8.0,2.0,,,,,,,,90.0,34.0,6.7,3.0,0.00070592,0,,,,4.0,,,,,1.0,1.0,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,
13472883,home,Ceará,Willian Machado,,,willian-machado,W. Machado,D,23,185,452,M,925871,EUR,847843200,D,23,23,False,30.0,28.0,2.0,,0.0,26.0,26.0,2.0,4.0,,3.0,3.0,2.0,,,,,,,,90.0,40.0,6.7,3.0,0.00058816,0,,,,1.0,,,,,,3.0,2.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,
13472883,home,Ceará,Matheus Bahia,,,matheus-bahia,M. Bahia,D,79,181,700,M,1047204,EUR,934329600,D,79,79,False,27.0,23.0,2.0,2.0,0.0,15.0,17.0,8.0,10.0,,3.0,1.0,2.0,2.0,,,,,,,83.0,41.0,6.6,8.0,0.00489781,0,,3.0,,3.0,,2.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
13472883,home,Ceará,Dieguinho,,,dieguinho,Dieguinho,M,20,175,466,M,1016930,EUR,815097600,M,20,20,False,32.0,27.0,2.0,1.0,0.0,14.0,15.0,13.0,17.0,,1.0,,5.0,1.0,,,,,,,87.0,42.0,7.0,7.0,0.0140947,0,,,,3.0,,1.0,,,1.0,,,,1.0,,,1.0,,3.0,,,,,,,,,,,,,,
13472883,home,Ceará,Richardson,,,richardson,Richardson,M,26,173,291,M,870758,EUR,682387200,M,26,26,False,13.0,8.0,,,0.0,6.0,10.0,2.0,3.0,,1.0,,1.0,,,,,,,,55.0,15.0,6.4,5.0,0.00194208,0,,,,2.0,,,,,,1.0,1.0,,2.0,,,,,,True,,,,,,,,,,,,,
13472883,home,Ceará,Antonio Galeano,,,antonio-galeano,Galeano,M,27,169,1101,M,883207,EUR,953683200,M,27,27,False,23.0,21.0,1.0,1.0,0.0,11.0,12.0,10.0,11.0,1.0,5.0,,6.0,2.0,,,,,,,90.0,34.0,6.8,6.0,0.0108377,1,,1.0,,2.0,1.0,1.0,,,,2.0,,1.0,,,,,,1.0,,1.0,0.0212,,,,,,,,,,,
13472883,home,Ceará,Lourenço,,,lourenco,Lourenço,M,97,169,376,M,879871,EUR,873590400,M,97,97,False,7.0,6.0,1.0,1.0,0.0,4.0,4.0,2.0,3.0,,,2.0,1.0,,,,,,,,45.0,12.0,6.6,3.0,0.00156651,0,,,,3.0,,,,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
13472883,home,Ceará,Pedro Henrique,,,pedro-henrique,P. Henrique,M,7,179,1742,M,219190,EUR,645580800,M,7,7,False,11.0,6.0,4.0,2.0,0.0,4.0,6.0,2.0,5.0,,1.0,1.0,3.0,,,,,,,,45.0,16.0,6.8,6.0,0.00051444,2,,1.0,,2.0,,,,,,1.0,1.0,,,,2.0,,1.0,,,1.0,0.0977,1.0,0.4473,,,,,,,,,
