match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_challengeLost,stat_totalContest,stat_bigChanceMissed,stat_shotOffTarget,stat_totalTackle,stat_totalOffside,stat_wonTackle,stat_fouls,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_accurateCross,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_wasFouled,stat_keyPass,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_outfielderBlock,captain,stat_goals,stat_penaltyWon,stat_errorLeadToAGoal,stat_goodHighClaim,stat_penaltyFaced,stat_errorLeadToAShot,stat_penaltyConceded
13815434,home,Al-Hilal,Bono,,,bono,Bono,G,37,195,54623,M,BonoY,360938,EUR,670809600,G,37,37,False,12.0,10.0,3.0,1.0,0.0,10.0,12.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,90.0,18.0,6.9,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13815434,home,Al-Hilal,Hamad Al Yami,Hamad,Al Yami,hamad-al-yami,H. A. Yami,D,88,170,585,M,,981158,EUR,926899200,D,88,88,False,44.0,35.0,1.0,,0.0,11.0,14.0,,,2.0,1.0,,7.0,,,,59.0,55.0,6.7,11.0,1,24.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
13815434,home,Al-Hilal,Hassan Al Tambakti,,,hassan-al-tambakti,H. A. Tambakti,D,87,182,1188,M,,881837,EUR,918518400,D,87,87,False,43.0,39.0,,,0.0,27.0,30.0,,4.0,4.0,6.0,4.0,2.0,,,,90.0,54.0,7.2,4.0,0,12.0,13.0,,,,,,2.0,,2.0,4.0,,,,,,,,,,,,,,,,,,,,
13815434,home,Al-Hilal,Kalidou Koulibaly,,,kalidou-koulibaly,K. Koulibaly,D,3,187,26133,M,kkoulibaly26,126071,EUR,677376000,D,3,3,False,45.0,43.0,2.0,1.0,0.0,21.0,22.0,,,1.0,3.0,2.0,6.0,,,,73.0,54.0,7.2,3.0,1,22.0,23.0,,,,,,3.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
13815434,home,Al-Hilal,Moteb Al-Harbi,,,moteb-al-harbi,M. Al-Harbi,D,24,171,848,M,,1022679,EUR,950918400,D,24,24,False,68.0,64.0,2.0,1.0,0.0,26.0,27.0,,,5.0,5.0,,5.0,,,,90.0,90.0,8.1,10.0,1,39.0,45.0,4.0,1.0,2.0,,,2.0,,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,
13815434,home,Al-Hilal,Rúben Neves,,,ruben-neves,R. Neves,M,8,181,15472,M,rubenneves,280955,EUR,858211200,M,8,8,False,144.0,134.0,9.0,6.0,0.0,30.0,30.0,,,3.0,4.0,,8.0,,,,90.0,163.0,9.5,15.0,1,107.0,120.0,6.0,2.0,2.0,,,1.0,,,1.0,,1.0,3.0,,2.0,2.0,2.0,1.0,6.0,1.0,1.0,1.0,,,,,,,,
13815434,home,Al-Hilal,Malcom,,,malcom,Malcom,M,10,171,13905,M,malcomoliveira_97,551772,EUR,856915200,M,77,77,False,78.0,72.0,,,1.0,7.0,7.0,,,4.0,4.0,,3.0,,,,90.0,96.0,8.0,16.0,1,65.0,75.0,4.0,2.0,4.0,,,,1.0,,,,4.0,,,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,
13815434,home,Al-Hilal,Mohamed Kanno,,,mohamed-kanno,M. Kanno,M,28,191,1575,M,,828524,EUR,780192000,M,28,28,False,96.0,90.0,2.0,,0.0,17.0,18.0,,2.0,6.0,6.0,1.0,4.0,,,,83.0,115.0,7.6,13.0,4,74.0,82.0,4.0,1.0,2.0,1.0,,4.0,,1.0,2.0,3.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,
13815434,home,Al-Hilal,Sergej Milinković-Savić,,,sergej-milinkovic-savic,S. Milinković-Savić,M,22,191,13384,M,sms,331447,EUR,793843200,M,22,22,False,84.0,75.0,3.0,3.0,1.0,12.0,14.0,,1.0,5.0,4.0,,4.0,,,,74.0,101.0,7.8,14.0,3,63.0,70.0,,1.0,3.0,1.0,,2.0,,,1.0,1.0,1.0,,,,2.0,1.0,1.0,3.0,2.0,,,,,,,,,,
13815434,home,Al-Hilal,Salem Al-Dawsari,,,salem-al-dawsari,S. Al-Dawsari,M,29,171,11126,M,29salem,160893,EUR,682560000,M,29,29,False,68.0,60.0,,,1.0,10.0,11.0,,,6.0,3.0,,2.0,,,,90.0,92.0,8.8,19.0,2,52.0,62.0,5.0,2.0,2.0,,,2.0,,1.0,,1.0,3.0,2.0,3.0,1.0,1.0,1.0,,3.0,1.0,,,True,1.0,,,,,,
13815434,home,Al-Hilal,Aleksandar Mitrović,,,aleksandar-mitrovic,A. Mitrović,F,9,189,24095,M,AleksMitrović,192144,EUR,779673600,F,9,9,False,21.0,18.0,,,0.0,2.0,3.0,1.0,,6.0,2.0,,,,,,83.0,36.0,6.6,11.0,4,16.0,18.0,,1.0,5.0,2.0,1.0,1.0,1.0,1.0,,2.0,3.0,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,
