match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_challengeLost,stat_shotOffTarget,stat_outfielderBlock,stat_aerialWon,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_dispossessed,stat_totalContest,stat_wonContest,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,captain,stat_bigChanceMissed,stat_penaltyConceded,stat_hitWoodwork,stat_errorLeadToAShot
12624443,home,Al-Hilal,Bono,,,bono,Bono,G,37,195,54623,M,BonoY,360938,EUR,670809600,G,37,37,False,34.0,24.0,18.0,8.0,0.0,20.0,21.0,4.0,13.0,11.0,1.0,3.0,1.0,5.0,1.0,1.0,90.0,49.0,7.3,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624443,home,Al-Hilal,Hamad Al Yami,Hamad,Al Yami,hamad-al-yami,H. A. Yami,D,88,170,585,M,,981158,EUR,926899200,D,88,88,False,22.0,19.0,1.0,1.0,0.0,11.0,11.0,8.0,12.0,5.0,,,,,,,64.0,33.0,6.8,5.0,0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12624443,home,Al-Hilal,Kalidou Koulibaly,,,kalidou-koulibaly,K. Koulibaly,D,3,187,26133,M,kkoulibaly26,126071,EUR,677376000,D,3,3,False,36.0,31.0,3.0,2.0,0.0,24.0,25.0,7.0,11.0,2.0,,,,,,,90.0,51.0,7.0,7.0,1,,,3.0,4.0,1.0,2.0,4.0,3.0,2.0,,,3.0,1.0,3.0,,,,,,,,,,,,,,,,
12624443,home,Al-Hilal,Ali Albulayhi,,,ali-albulayhi,A. Albulayhi,D,3,182,1057,M,,1138857,EUR,627609600,D,5,5,False,25.0,18.0,5.0,2.0,0.0,15.0,18.0,3.0,7.0,1.0,,,,,,,90.0,42.0,7.6,7.0,1,,,,5.0,10.0,5.0,,,,,,,,,4.0,1.0,1.0,1.0,,,,,,,,,,,,
12624443,home,Al-Hilal,Renan Lodi,,,renan-lodi,R. Lodi,D,16,173,4256,M,renan_lodi,851150,EUR,891993600,D,6,6,False,28.0,20.0,3.0,,0.0,10.0,14.0,10.0,15.0,6.0,,,,,,,81.0,50.0,6.4,13.0,0,1.0,2.0,5.0,6.0,,4.0,,,1.0,1.0,,,,,2.0,,,3.0,1.0,2.0,1.0,,,,,,,,,
12624443,home,Al-Hilal,Rúben Neves,,,ruben-neves,R. Neves,M,8,181,15472,M,rubenneves,280955,EUR,858211200,M,8,8,False,37.0,33.0,4.0,2.0,0.0,25.0,26.0,9.0,15.0,3.0,,,,,,,64.0,49.0,6.6,8.0,0,4.0,2.0,7.0,2.0,,2.0,2.0,2.0,,2.0,1.0,2.0,,1.0,,,,,,1.0,,1.0,,,,,,,,
12624443,home,Al-Hilal,Mohamed Kanno,,,mohamed-kanno,M. Kanno,M,28,191,1575,M,,828524,EUR,780192000,M,28,28,False,29.0,27.0,1.0,,0.0,15.0,16.0,12.0,13.0,4.0,,,,,,,82.0,36.0,6.5,6.0,0,,1.0,6.0,4.0,2.0,1.0,,,,1.0,2.0,1.0,,,4.0,,,,3.0,,,,,,,,,,,
12624443,home,Al-Hilal,Malcom,,,malcom,Malcom,M,10,171,13905,M,malcomoliveira_97,551772,EUR,856915200,M,77,77,False,39.0,34.0,4.0,1.0,0.0,9.0,9.0,25.0,32.0,2.0,,,,,,,90.0,55.0,6.9,13.0,1,2.0,1.0,6.0,3.0,,,,,2.0,1.0,4.0,,1.0,,,,,2.0,3.0,2.0,1.0,,1.0,,,,,,,
12624443,home,Al-Hilal,Sergej Milinković-Savić,,,sergej-milinkovic-savic,S. Milinković-Savić,M,22,191,13384,M,sms,331447,EUR,793843200,M,22,22,False,50.0,41.0,4.0,3.0,1.0,18.0,21.0,23.0,31.0,2.0,,,,,,,90.0,71.0,7.8,15.0,3,2.0,1.0,5.0,6.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,,1.0,2.0,1.0,,,,,
12624443,home,Al-Hilal,Salem Al-Dawsari,,,salem-al-dawsari,S. Al-Dawsari,M,29,171,11126,M,29salem,160893,EUR,682560000,M,29,29,False,23.0,14.0,1.0,,0.0,4.0,5.0,15.0,29.0,2.0,,,,,,,90.0,47.0,7.4,18.0,4,11.0,1.0,2.0,4.0,,,1.0,,2.0,,5.0,,,,,2.0,,,,4.0,3.0,5.0,1.0,2.0,,True,1.0,,,
