match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_duelWon,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_fouls,captain,stat_shotOffTarget,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_wonContest,stat_keyPass,stat_accurateCross,stat_blockedScoringAttempt,stat_dispossessed,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goodHighClaim,stat_clearanceOffLine,player_sofascoreId,stat_hitWoodwork,stat_goals
13472832,home,Ceará,Bruno Ferreira,Bruno Ferreira,Ventura Diniz,bruno-ferreira,B. Ferreira,G,94,197.0,350,M,1066241,EUR,763776000,G,94,94,False,17.0,14.0,3.0,0.0,14.0,16.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,90.0,23.0,6.5,3.0,9.755e-05,0,-0.6751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472832,home,Ceará,Fabiano Souza,,,fabiano-silva,F. Souza,D,70,175.0,374,M,1130513,EUR,952992000,D,70,70,False,15.0,13.0,4.0,0.0,8.0,8.0,7.0,1.0,5.0,2.0,3.0,1.0,1.0,,,,,45.0,25.0,6.7,4.0,0.00288413,0,,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
13472832,home,Ceará,Marllon,,,marllon,Marllon,D,3,184.0,365,M,221206,EUR,703382400,D,3,3,False,35.0,34.0,1.0,0.0,22.0,22.0,13.0,2.0,2.0,5.0,3.0,1.0,1.0,,,,,90.0,44.0,7.0,2.0,0.00384081,1,,1.0,12.0,,3.0,,,3.0,1.0,1.0,,True,1.0,1.0,1.0,0.0329,,,,,,,,,,,,,,,
13472832,home,Ceará,Willian Machado,,,willian-machado,W. Machado,D,23,185.0,452,M,925871,EUR,847843200,D,23,23,False,43.0,38.0,6.0,0.0,20.0,20.0,23.0,3.0,4.0,11.0,4.0,3.0,3.0,,,,,90.0,67.0,7.8,6.0,0.0113964,2,,4.0,18.0,,6.0,1.0,1.0,5.0,,4.0,,,2.0,,1.0,0.1033,1.0,1.0,,,,,,,,,,,,,
13472832,home,Ceará,Matheus Bahia,,,matheus-bahia,M. Bahia,D,79,181.0,700,M,1047204,EUR,934329600,D,79,79,False,47.0,42.0,5.0,0.0,12.0,15.0,32.0,,1.0,8.0,2.0,,,,,,,90.0,78.0,7.8,15.0,0.229941,1,,3.0,30.0,7.0,2.0,1.0,5.0,4.0,1.0,1.0,,,,1.0,1.0,0.0132,5.0,3.0,4.0,1.0,,,,,,,,,,,
13472832,home,Ceará,Lourenço,,,lourenco,Lourenço,M,97,169.0,376,M,879871,EUR,873590400,M,97,97,False,33.0,29.0,4.0,0.0,8.0,8.0,25.0,,5.0,3.0,3.0,,,,,,,71.0,49.0,6.8,7.0,0.0759332,3,,2.0,21.0,5.0,1.0,3.0,2.0,2.0,,1.0,2.0,,1.0,,,0.0665,2.0,1.0,2.0,2.0,,,,,,,,,,,
13472832,home,Ceará,Vinicius Zanocelo,,,vinicius-zanocelo,Vinicius Zanocelo,M,25,184.0,587,M,973841,EUR,980812800,M,25,25,False,55.0,47.0,7.0,0.0,17.0,18.0,37.0,1.0,6.0,4.0,3.0,3.0,2.0,,,,,90.0,67.0,6.8,9.0,0.0260021,1,,5.0,30.0,,1.0,2.0,,3.0,,2.0,3.0,,1.0,,,0.0325,,1.0,,,1.0,,,,,,,,,,
13472832,home,Ceará,Antonio Galeano,,,antonio-galeano,Galeano,M,27,169.0,1101,M,883207,EUR,953683200,M,27,27,False,24.0,17.0,5.0,0.0,4.0,5.0,19.0,,5.0,8.0,6.0,,,,,,,81.0,46.0,6.9,15.0,0.00936019,3,,3.0,13.0,2.0,2.0,1.0,3.0,,,1.0,,,1.0,2.0,5.0,0.2131,1.0,2.0,,2.0,2.0,1.0,4.0,,,,,,,,
13472832,home,Ceará,Lucas Mugni,,,lucas-mugni,L. Mugni,M,10,184.0,605,M,249881,EUR,695174400,M,10,10,False,9.0,9.0,,0.0,3.0,3.0,6.0,,1.0,3.0,2.0,2.0,2.0,,,,,45.0,20.0,7.1,3.0,0.102104,1,,,6.0,4.0,,,,,,,,,1.0,,1.0,0.0703,,1.0,2.0,,1.0,,,,,,,,,,
13472832,home,Ceará,Fernandinho,,,fernandinho,Fernandinho,M,11,174.0,370,M,871219,EUR,869270400,M,77,77,False,15.0,9.0,,0.0,2.0,2.0,13.0,1.0,3.0,7.0,3.0,1.0,1.0,,,,,59.0,29.0,6.7,13.0,0.0590071,0,,,7.0,2.0,2.0,,4.0,,,,,,,3.0,2.0,,2.0,,,,,,,,,,,,,,
