match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_wasFouled,stat_fouls,captain,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_unsuccessfulTouch,stat_totalTackle,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_keyPass,stat_blockedScoringAttempt,stat_interceptionWon,stat_dispossessed,stat_onTargetScoringAttempt,stat_wonTackle,stat_aerialLost,stat_bigChanceMissed,stat_hitWoodwork,stat_goals
10411746,home,Monza,Michele Di Gregorio,,,michele-di-gregorio,M. Di Gregorio,G,16,187,8129,M,L'UomoTigre,844609,EUR,869961600,G,16,16,False,33.0,32.0,2.0,1.0,32.0,33.0,1.0,3.0,2.0,2.0,1.0,1.0,90.0,37.0,6.5,1.0,0.0,0.0,5.895e-05,0,-1.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411746,home,Monza,Marlon,,,marlon,Marlon,D,4,182,529,M,,331853,EUR,810432000,D,4,4,False,56.0,53.0,,,47.0,50.0,,,,,,,59.0,59.0,6.1,3.0,0.0,0.0,0.00115846,0,,6.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
10411746,home,Monza,Pablo Marí,,,pablo-mari,P. Marí,D,30,191,1707,M,,208988,EUR,746755200,D,3,3,False,93.0,88.0,13.0,10.0,64.0,66.0,1.0,8.0,,,,,90.0,100.0,7.0,7.0,0.0919,0.0,0.0158373,1,,24.0,27.0,1.0,1.0,,,,,1.0,True,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
10411746,home,Monza,Giulio Donati,,,giulio-donati,G. Donati,D,2,178,48,M,,103156,EUR,634176000,D,2,2,False,90.0,83.0,8.0,6.0,56.0,57.0,2.0,5.0,,,,,90.0,98.0,6.6,9.0,0.0,0.0,0.0158929,0,,27.0,33.0,1.0,3.0,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
10411746,home,Monza,Patrick Ciurria,,,patrick-ciurria,P. Ciurria,F,26,178,222,M,,346676,EUR,792288000,M,84,84,False,49.0,37.0,3.0,1.0,21.0,26.0,,2.0,,,,,90.0,61.0,6.4,17.0,0.0,0.0,0.404888,0,,18.0,27.0,4.0,,1.0,1.0,,,3.0,,,,,1.0,,4.0,2.0,1.0,1.0,2.0,,,,,,,,,
10411746,home,Monza,Nicolò Rovella,,,nicolo-rovella,N. Rovella,M,6,179,2966,M,,937324,EUR,1007424000,M,6,6,False,40.0,37.0,3.0,3.0,28.0,30.0,1.0,5.0,,,,,59.0,52.0,6.9,4.0,0.0675,0.0,0.00522363,2,,9.0,10.0,2.0,3.0,1.0,2.0,1.0,2.0,,,,1.0,,,,,,,,,1.0,4.0,,,,,,,
10411746,home,Monza,José Machín,,,jose-machin,J. Machín,M,28,184,178,M,,792308,EUR,839980800,M,7,7,False,57.0,51.0,2.0,1.0,26.0,28.0,,4.0,,,,,80.0,68.0,6.1,12.0,0.0194,0.0139,0.0433197,1,,25.0,29.0,6.0,1.0,3.0,1.0,,,,,,,,3.0,1.0,,,,,,,,2.0,1.0,1.0,,,,
10411746,home,Monza,Carlos Augusto,,,carlos-augusto,C. Augusto,D,30,184,7355,M,,929199,EUR,915667200,M,30,30,False,55.0,52.0,2.0,,28.0,31.0,,7.0,,,,,90.0,71.0,6.5,5.0,0.2624,0.0,0.0865683,1,,24.0,24.0,2.0,3.0,,,,,,,1.0,1.0,,1.0,2.0,,,,,1.0,,,1.0,,1.0,1.0,1.0,,
10411746,home,Monza,Stefano Sensi,,,stefano-sensi,S. Sensi,M,6,168,1044,M,,294313,EUR,807580800,F,12,12,False,61.0,53.0,7.0,6.0,20.0,22.0,,6.0,,,,,90.0,75.0,7.6,12.0,0.1208,0.0,0.692517,2,,35.0,41.0,4.0,3.0,1.0,2.0,2.0,,2.0,,1.0,1.0,,3.0,,2.0,2.0,1.0,,2.0,1.0,1.0,1.0,,,,,1.0,
10411746,home,Monza,Gianluca Caprari,,,gianluca-caprari,G. Caprari,F,24,170,457,M,,148458,EUR,743990400,F,17,17,False,29.0,24.0,2.0,1.0,9.0,9.0,,2.0,,,,,71.0,42.0,6.4,14.0,0.0,0.0,0.0211075,0,,16.0,26.0,4.0,2.0,1.0,2.0,1.0,,1.0,,1.0,,,2.0,,6.0,1.0,,,,,,1.0,,,,,,
