match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_wasFouled,stat_expectedGoals,stat_blockedScoringAttempt,stat_dispossessed,stat_bigChanceCreated,captain,player_sofascoreId,stat_bigChanceMissed,stat_errorLeadToAShot,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalOffside,stat_expectedGoalsOnTarget
12764198,home,Club Brugge KV,Simon Mignolet,simon-mignolet,S. Mignolet,G,22,193,1239,M,10406,EUR,573609600,G,22,22,False,36.0,28.0,14.0,6.0,0.0,27.0,31.0,1.0,5.0,3.0,1.0,1.0,90.0,41.0,7.0,8.0,0.00061527,0,0.2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764198,home,Club Brugge KV,Kyriani Sabbe,kyriani-sabbe,K. Sabbe,D,64,176,1052,M,1101258,EUR,1106697600,D,64,64,False,42.0,35.0,8.0,5.0,0.0,21.0,24.0,14.0,18.0,5.0,,,69.0,61.0,7.1,8.0,0.00626957,0,,,,1.0,1.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12764198,home,Club Brugge KV,Joel Ordóñez,joel-ordonez,J. Ordóñez,D,4,188,4938,M,1187275,EUR,1082505600,D,4,4,False,58.0,52.0,7.0,2.0,0.0,46.0,47.0,6.0,11.0,2.0,,,90.0,67.0,7.1,6.0,0.00220045,0,,,,1.0,2.0,1.0,3.0,,6.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12764198,home,Club Brugge KV,Brandon Mechele,brandon-mechele,B. Mechele,D,44,188,827,M,248331,EUR,728179200,D,44,44,False,53.0,45.0,10.0,4.0,0.0,33.0,37.0,12.0,16.0,2.0,,,90.0,66.0,7.3,8.0,0.0107568,0,,,,1.0,1.0,1.0,3.0,,6.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
12764198,home,Club Brugge KV,Maxim De Cuyper,maxim-de-cuyper,M. De Cuyper,D,29,183,4478,M,997152,EUR,977443200,D,55,55,False,37.0,27.0,5.0,2.0,0.0,7.0,11.0,21.0,30.0,4.0,,,90.0,52.0,7.5,13.0,0.0993497,0,,,,,,1.0,5.0,,1.0,,4.0,1.0,,4.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,
12764198,home,Club Brugge KV,Raphael Onyedika,raphael-onyedika,R. Onyedika,M,15,184,6286,M,1129862,EUR,987638400,M,15,15,False,32.0,31.0,1.0,1.0,0.0,19.0,20.0,12.0,12.0,4.0,,,90.0,43.0,6.8,2.0,0.00500234,1,,,,,1.0,5.0,7.0,2.0,,,3.0,2.0,,,,1.0,,2.0,,1.0,3.0,0.0982,,,,,,,,,,,,,
12764198,home,Club Brugge KV,Ardon Jashari,ardon-jashari,A. Jashari,M,30,180,4831,M,1034082,EUR,1027987200,M,30,30,False,49.0,45.0,3.0,2.0,0.0,17.0,19.0,28.0,30.0,7.0,,,90.0,63.0,6.9,5.0,0.0285592,1,,,,,,3.0,4.0,1.0,4.0,,2.0,1.0,,,,1.0,,1.0,,,2.0,0.0164,1.0,,,,,,,,,,,,
12764198,home,Club Brugge KV,Chemsdine Talbi,chemsdine-talbi,C. Talbi,M,7,175,12527,M,1142675,EUR,1115596800,M,68,68,False,27.0,25.0,4.0,4.0,0.0,17.0,19.0,9.0,10.0,6.0,,,89.0,41.0,7.0,11.0,0.25564,0,,,,,,2.0,3.0,,1.0,,2.0,2.0,5.0,2.0,1.0,,,,1.0,,1.0,,,2.0,1.0,,,,,,,,,,
12764198,home,Club Brugge KV,Hans Vanaken,hans-vanaken,H. Vanaken,M,20,194,2937,M,118085,EUR,714614400,M,20,20,False,50.0,41.0,3.0,2.0,0.0,18.0,24.0,23.0,27.0,7.0,,,90.0,61.0,7.3,11.0,0.0797639,0,,,,1.0,2.0,2.0,7.0,,1.0,1.0,1.0,1.0,,1.0,,3.0,2.0,,1.0,,2.0,,,,,True,,,,,,,,,
12764198,home,Club Brugge KV,Christos Tzolis,tzolis-christos,C. Tzolis,M,8,180,9510,M,1031259,EUR,1012348800,M,8,8,False,22.0,18.0,1.0,1.0,0.0,6.0,8.0,13.0,15.0,1.0,,,78.0,36.0,6.7,9.0,0.19372,1,,,,,,3.0,2.0,2.0,1.0,,1.0,,3.0,1.0,1.0,,,,2.0,,1.0,0.0225,1.0,1.0,,,absolute_christostzolis,,,,,,,,
