match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_wasFouled,stat_totalOffside,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_blockedScoringAttempt,captain,stat_errorLeadToAShot
11453100,home,Al-Hilal,Bono,,,bono,Bono,G,37,195,54623,M,BonoY,360938,EUR,670809600,G,37,37,False,24.0,18.0,13.0,7.0,12.0,14.0,6.0,10.0,1.0,5.0,1.0,3.0,1.0,1.0,90.0,33.0,7.4,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453100,home,Al-Hilal,Saud Abdulhamid,,,abdulhamid-saud,S. Abdulhamid,D,23,178,8457,M,s.abdulhamed66,966849,EUR,932256000,D,66,66,False,12.0,9.0,1.0,,6.0,7.0,7.0,9.0,1.0,3.0,,,,,90.0,40.0,7.4,11.0,1,1.0,4.0,4.0,1.0,7.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,,,,,,,,,,,,,
11453100,home,Al-Hilal,Kalidou Koulibaly,,,kalidou-koulibaly,K. Koulibaly,D,3,187,26133,M,kkoulibaly26,126071,EUR,677376000,D,3,3,False,23.0,19.0,6.0,2.0,15.0,15.0,4.0,8.0,2.0,7.0,,,,,90.0,39.0,7.3,6.0,1,,,,1.0,4.0,8.0,1.0,,1.0,,1.0,,1.0,1.0,,2.0,6.0,5.0,2.0,,,,,,,,,
11453100,home,Al-Hilal,Ali Albulayhi,,,ali-albulayhi,A. Albulayhi,D,3,182,1057,M,,1138857,EUR,627609600,D,5,5,False,26.0,21.0,3.0,,11.0,11.0,10.0,15.0,2.0,2.0,,,,,90.0,31.0,6.5,5.0,0,,,,1.0,3.0,4.0,,,,,1.0,1.0,,2.0,,1.0,,,,2.0,,,,,,,,
11453100,home,Al-Hilal,Mohammed Al-Burayk,,,mohammed-al-burayk,M. Al-Burayk,D,2,173,281,M,,804096,EUR,716515200,D,2,2,False,17.0,14.0,1.0,1.0,6.0,8.0,8.0,10.0,,3.0,,,,,84.0,40.0,6.8,11.0,0,,1.0,,3.0,8.0,3.0,2.0,2.0,,3.0,2.0,1.0,1.0,,,1.0,1.0,,2.0,,1.0,,,,,,,
11453100,home,Al-Hilal,Sergej Milinković-Savić,,,sergej-milinkovic-savic,S. Milinković-Savić,M,22,191,13384,M,sms,331447,EUR,793843200,M,22,22,False,31.0,21.0,4.0,,8.0,9.0,13.0,24.0,,9.0,,,,,90.0,48.0,8.1,17.0,1,1.0,2.0,,3.0,11.0,5.0,3.0,2.0,,,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,,,,
11453100,home,Al-Hilal,Rúben Neves,,,ruben-neves,R. Neves,M,8,181,15472,M,rubenneves,280955,EUR,858211200,M,8,8,False,34.0,34.0,6.0,6.0,15.0,15.0,21.0,23.0,3.0,6.0,,,,,90.0,55.0,7.9,4.0,0,,4.0,2.0,2.0,6.0,6.0,2.0,,,2.0,2.0,1.0,2.0,3.0,4.0,,2.0,2.0,,2.0,,2.0,,,,,,
11453100,home,Al-Hilal,Michael,,,michael,Michael,M,96,166,9025,M,Michael19,878084,EUR,826588800,M,96,96,False,15.0,11.0,2.0,1.0,3.0,5.0,8.0,12.0,1.0,7.0,,,,,77.0,35.0,6.2,15.0,1,,2.0,,1.0,8.0,2.0,2.0,,,1.0,2.0,2.0,4.0,1.0,,,4.0,,,,1.0,,1.0,,1.0,,,
11453100,home,Al-Hilal,Malcom,,,malcom,Malcom,M,10,171,13905,M,malcomoliveira_97,551772,EUR,856915200,M,77,77,False,25.0,21.0,1.0,1.0,6.0,6.0,15.0,19.0,,4.0,,,,,89.0,39.0,7.4,6.0,4,,,,1.0,2.0,5.0,,,1.0,,1.0,,2.0,1.0,3.0,,2.0,2.0,,2.0,,1.0,1.0,,1.0,2.0,,
11453100,home,Al-Hilal,Salem Al-Dawsari,,,salem-al-dawsari,S. Al-Dawsari,M,29,171,11126,M,29salem,160893,EUR,682560000,M,29,29,False,37.0,26.0,2.0,1.0,4.0,7.0,23.0,33.0,,8.0,,,,,89.0,61.0,7.7,21.0,3,1.0,3.0,1.0,,6.0,4.0,2.0,,2.0,1.0,,,3.0,1.0,1.0,,7.0,4.0,,,,1.0,1.0,,1.0,,True,
11453100,home,Al-Hilal,Aleksandar Mitrović,,,aleksandar-mitrovic,A. Mitrović,F,9,189,24095,M,AleksMitrović,192144,EUR,779673600,F,9,9,False,18.0,11.0,3.0,1.0,3.0,4.0,8.0,14.0,,1.0,,,,,90.0,35.0,9.6,8.0,6,,,,2.0,5.0,9.0,1.0,,4.0,,1.0,,,2.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,
11453100,home,Al-Hilal,Mohamed Kanno,,,mohamed-kanno,M. Kanno,M,28,191,1575,M,,828524,EUR,780192000,M,28,28,True,3.0,2.0,,,1.0,2.0,1.0,1.0,1.0,2.0,,,,,13.0,7.0,6.5,2.0,0,,,,,1.0,2.0,,,,,1.0,,1.0,2.0,,1.0,,,,,,,,,,,,
11453100,home,Al-Hilal,Khalifah Al-Dawsari,,,khalifah-al-dawsari,K. Al-Dawsari,D,4,176,460,M,,931837,EUR,915235200,D,4,4,True,2.0,2.0,,,2.0,2.0,,,1.0,,,,,,17.0,4.0,6.4,,0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
11453100,home,Al-Hilal,Mohammed Jahfali,,,mohammed-jahfali,M. Jahfali,D,70,185,103,M,,791561,EUR,656726400,D,70,70,True,,,,,,,,,,,,,,,1.0,,,,0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
11453100,home,Al-Hilal,Salman Al-Faraj,,,salman-al-faraj,S. Al-Faraj,M,7,180,489,M,,148858,EUR,617932800,M,7,7,True,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,3.0,,2.0,0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
