match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_outfielderBlock,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_wonTackle,stat_shotOffTarget,stat_penaltyWon,stat_expectedGoals,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_dispossessed,stat_lastManTackle,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,player_sofascoreId,captain,stat_goals,stat_bigChanceMissed,stat_penaltyMiss,stat_penaltyConceded,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_bigChanceCreated,stat_hitWoodwork
11396310,home,FC Augsburg,Finn Dahmen,finn-dahmen,F. Dahmen,G,1,188,564,M,822564,EUR,890956800,G,1,1,False,33.0,30.0,6.0,3.0,29.0,29.0,1.0,4.0,1.0,5.0,1.0,90.0,38.0,6.1,3.0,0.00351819,0,-0.8578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396310,home,FC Augsburg,Kevin Mbabu,kevin-mbabu,K. Mbabu,D,43,184,780,M,227900,EUR,798249600,D,43,43,False,27.0,22.0,2.0,1.0,9.0,11.0,14.0,20.0,1.0,3.0,,90.0,50.0,6.6,13.0,0.182664,0,,1.0,4.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396310,home,FC Augsburg,Jeffrey Gouweleeuw,jeffrey-gouweleeuw,J. Gouweleeuw,D,6,187,229,M,146853,EUR,679104000,D,6,6,False,53.0,38.0,14.0,4.0,26.0,28.0,12.0,27.0,1.0,7.0,,90.0,66.0,6.7,19.0,0.0284502,0,,,2.0,,,1.0,3.0,5.0,1.0,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11396310,home,FC Augsburg,Felix Uduokhai,felix-uduokhai,F. Uduokhai,D,14,193,1726,M,792142,EUR,873763200,D,19,19,False,54.0,49.0,3.0,2.0,32.0,33.0,17.0,21.0,1.0,5.0,,90.0,64.0,6.9,7.0,0.0168149,1,,,,,4.0,3.0,6.0,5.0,,2.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,0.0261,,,,,,,,,,,,,,,,,,,,
11396310,home,FC Augsburg,Iago Borduchi,iago,I. Borduchi,D,25,181,849,M,869644,EUR,859075200,D,22,22,False,36.0,28.0,3.0,1.0,14.0,16.0,15.0,24.0,2.0,6.0,,75.0,57.0,6.7,13.0,0.165822,0,,,4.0,1.0,,,3.0,6.0,,1.0,1.0,2.0,1.0,,2.0,3.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11396310,home,FC Augsburg,Fredrik Jensen,fredrik-jensen,F. Jensen,M,97,183,325,M,846356,EUR,873763200,M,24,24,False,18.0,16.0,1.0,1.0,7.0,7.0,11.0,13.0,,4.0,,62.0,27.0,6.9,2.0,0.0878764,2,,,2.0,2.0,1.0,,1.0,3.0,,2.0,,1.0,,2.0,,,,,2.0,1.0,,0.0848,1.0,,,,,,,,,,,,,,,,,,,
11396310,home,FC Augsburg,Kristijan Jakić,kristijan-jakic,K. Jakić,M,17,181,2258,M,796206,EUR,863568000,M,17,17,False,41.0,38.0,4.0,4.0,18.0,19.0,20.0,23.0,1.0,7.0,,90.0,59.0,6.6,8.0,0.0878363,1,,,1.0,,,1.0,10.0,8.0,,4.0,,2.0,2.0,,5.0,1.0,1.0,1.0,,1.0,,0.0314,,,,3.0,1.0,,,,,,,,,,,,,,,
11396310,home,FC Augsburg,Elvis Rexhbeçaj,elvis-rexhbecaj,E. Rexhbeçaj,M,8,178,483,M,842188,EUR,878342400,M,8,8,False,19.0,16.0,4.0,4.0,8.0,9.0,8.0,11.0,,,,62.0,26.0,6.9,5.0,0.0229423,1,,,1.0,,,1.0,1.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.0289,,,,,,1.0,2.0,0.0279,,,,,,,,,,,,
11396310,home,FC Augsburg,Ruben Vargas,ruben-vargas,R. Vargas,M,11,179,2677,M,872919,EUR,902275200,M,16,16,False,27.0,22.0,,,10.0,12.0,12.0,16.0,,2.0,,80.0,43.0,6.3,11.0,0.0204804,4,,,1.0,,1.0,1.0,7.0,2.0,,,,,2.0,2.0,1.0,2.0,1.0,,,2.0,,0.1853,2.0,,,2.0,,,,,,,,,,,,,,,,
11396310,home,FC Augsburg,Ermedin Demirović,ermedin-demirovic,E. Demirović,F,9,184,5628,M,878081,EUR,890784000,F,9,9,False,14.0,9.0,,,6.0,6.0,3.0,8.0,,2.0,,90.0,24.0,9.0,7.0,0.0196077,4,,,,,2.0,1.0,3.0,3.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,1.0418,,,,,,4.0,,1.6859,e.demirovic29,True,2.0,,,,,,,,,
